indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,652,saint barthélemy,bl,1,1950,12607.0
crude rate of net migration,652,saint barthélemy,bl,2,1951,7893.0
crude rate of net migration,652,saint barthélemy,bl,3,1952,0.0
crude rate of net migration,652,saint barthélemy,bl,4,1953,0.0
crude rate of net migration,652,saint barthélemy,bl,5,1954,-7109.0
crude rate of net migration,652,saint barthélemy,bl,6,1955,-5196.0
crude rate of net migration,652,saint barthélemy,bl,7,1956,-4231.0
crude rate of net migration,652,saint barthélemy,bl,8,1957,-3739.0
crude rate of net migration,652,saint barthélemy,bl,9,1958,-1857.0
crude rate of net migration,652,saint barthélemy,bl,10,1959,0.0
crude rate of net migration,652,saint barthélemy,bl,11,1960,1367.0
crude rate of net migration,652,saint barthélemy,bl,12,1961,45689.0
crude rate of net migration,652,saint barthélemy,bl,13,1962,2219.0
crude rate of net migration,652,saint barthélemy,bl,14,1963,1313.0
crude rate of net migration,652,saint barthélemy,bl,15,1964,863.0
crude rate of net migration,652,saint barthélemy,bl,16,1965,-1673.0
crude rate of net migration,652,saint barthélemy,bl,17,1966,0.0
crude rate of net migration,652,saint barthélemy,bl,18,1967,-10373.0
crude rate of net migration,652,saint barthélemy,bl,19,1968,-10352.0
crude rate of net migration,652,saint barthélemy,bl,20,1969,-9508.0
crude rate of net migration,652,saint barthélemy,bl,21,1970,-6.6
crude rate of net migration,652,saint barthélemy,bl,22,1971,0.0
crude rate of net migration,652,saint barthélemy,bl,23,1972,0.0
crude rate of net migration,652,saint barthélemy,bl,24,1973,0.0
crude rate of net migration,652,saint barthélemy,bl,25,1974,9983.0
crude rate of net migration,652,saint barthélemy,bl,26,1975,18044.0
crude rate of net migration,652,saint barthélemy,bl,27,1976,22949.0
crude rate of net migration,652,saint barthélemy,bl,28,1977,28217.0
crude rate of net migration,652,saint barthélemy,bl,29,1978,26528.0
crude rate of net migration,652,saint barthélemy,bl,30,1979,18714.0
crude rate of net migration,652,saint barthélemy,bl,31,1980,10119.0
crude rate of net migration,652,saint barthélemy,bl,32,1981,5292.0
crude rate of net migration,652,saint barthélemy,bl,33,1982,82346.0
crude rate of net migration,652,saint barthélemy,bl,34,1983,70402.0
crude rate of net migration,652,saint barthélemy,bl,35,1984,61118.0
crude rate of net migration,652,saint barthélemy,bl,36,1985,51496.0
crude rate of net migration,652,saint barthélemy,bl,37,1986,45209.0
crude rate of net migration,652,saint barthélemy,bl,38,1987,39958.0
crude rate of net migration,652,saint barthélemy,bl,39,1988,34266.0
crude rate of net migration,652,saint barthélemy,bl,40,1989,30856.0
crude rate of net migration,652,saint barthélemy,bl,41,1990,24854.0
crude rate of net migration,652,saint barthélemy,bl,42,1991,24154.0
crude rate of net migration,652,saint barthélemy,bl,43,1992,24776.0
crude rate of net migration,652,saint barthélemy,bl,44,1993,24281.0
crude rate of net migration,652,saint barthélemy,bl,45,1994,23481.0
crude rate of net migration,652,saint barthélemy,bl,46,1995,22736.0
crude rate of net migration,652,saint barthélemy,bl,47,1996,22203.0
crude rate of net migration,652,saint barthélemy,bl,48,1997,21701.0
crude rate of net migration,652,saint barthélemy,bl,49,1998,20476.0
crude rate of net migration,652,saint barthélemy,bl,50,1999,19921.0
crude rate of net migration,652,saint barthélemy,bl,51,2000,21126.0
crude rate of net migration,652,saint barthélemy,bl,52,2001,20982.0
crude rate of net migration,652,saint barthélemy,bl,53,2002,20567.0
crude rate of net migration,652,saint barthélemy,bl,54,2003,20175.0
crude rate of net migration,652,saint barthélemy,bl,55,2004,19674.0
crude rate of net migration,652,saint barthélemy,bl,56,2005,19071.0
crude rate of net migration,652,saint barthélemy,bl,57,2006,18746.0
crude rate of net migration,652,saint barthélemy,bl,58,2007,18678.0
crude rate of net migration,652,saint barthélemy,bl,59,2008,18611.0
crude rate of net migration,652,saint barthélemy,bl,60,2009,18316.0
crude rate of net migration,652,saint barthélemy,bl,61,2010,12996.0
crude rate of net migration,652,saint barthélemy,bl,62,2011,7386.0
crude rate of net migration,652,saint barthélemy,bl,63,2012,8726.0
crude rate of net migration,652,saint barthélemy,bl,64,2013,10458.0
crude rate of net migration,652,saint barthélemy,bl,65,2014,13301.0
crude rate of net migration,652,saint barthélemy,bl,66,2015,17797.0
crude rate of net migration,652,saint barthélemy,bl,67,2016,18884.0
crude rate of net migration,652,saint barthélemy,bl,68,2017,19713.0
crude rate of net migration,652,saint barthélemy,bl,69,2018,19295.0
crude rate of net migration,652,saint barthélemy,bl,70,2019,19077.0
crude rate of net migration,652,saint barthélemy,bl,71,2020,14446.0
crude rate of net migration,652,saint barthélemy,bl,72,2021,14127.0
crude rate of net migration,652,saint barthélemy,bl,73,2022,0.0
crude rate of net migration,652,saint barthélemy,bl,74,2023,0.0
