indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,652,saint barthélemy,bl,1,1950,25.0
total net number of migrants,652,saint barthélemy,bl,2,1951,16.0
total net number of migrants,652,saint barthélemy,bl,3,1952,0.0
total net number of migrants,652,saint barthélemy,bl,4,1953,0.0
total net number of migrants,652,saint barthélemy,bl,5,1954,-15.0
total net number of migrants,652,saint barthélemy,bl,6,1955,-11.0
total net number of migrants,652,saint barthélemy,bl,7,1956,-9.0
total net number of migrants,652,saint barthélemy,bl,8,1957,-8.0
total net number of migrants,652,saint barthélemy,bl,9,1958,-4.0
total net number of migrants,652,saint barthélemy,bl,10,1959,0.0
total net number of migrants,652,saint barthélemy,bl,11,1960,3.0
total net number of migrants,652,saint barthélemy,bl,12,1961,5.0
total net number of migrants,652,saint barthélemy,bl,13,1962,5.0
total net number of migrants,652,saint barthélemy,bl,14,1963,3.0
total net number of migrants,652,saint barthélemy,bl,15,1964,2.0
total net number of migrants,652,saint barthélemy,bl,16,1965,-4.0
total net number of migrants,652,saint barthélemy,bl,17,1966,0.0
total net number of migrants,652,saint barthélemy,bl,18,1967,-25.0
total net number of migrants,652,saint barthélemy,bl,19,1968,-25.0
total net number of migrants,652,saint barthélemy,bl,20,1969,-23.0
total net number of migrants,652,saint barthélemy,bl,21,1970,-16.0
total net number of migrants,652,saint barthélemy,bl,22,1971,0.0
total net number of migrants,652,saint barthélemy,bl,23,1972,0.0
total net number of migrants,652,saint barthélemy,bl,24,1973,0.0
total net number of migrants,652,saint barthélemy,bl,25,1974,25.0
total net number of migrants,652,saint barthélemy,bl,26,1975,46.0
total net number of migrants,652,saint barthélemy,bl,27,1976,60.0
total net number of migrants,652,saint barthélemy,bl,28,1977,76.0
total net number of migrants,652,saint barthélemy,bl,29,1978,74.0
total net number of migrants,652,saint barthélemy,bl,30,1979,54.0
total net number of migrants,652,saint barthélemy,bl,31,1980,30.0
total net number of migrants,652,saint barthélemy,bl,32,1981,16.0
total net number of migrants,652,saint barthélemy,bl,33,1982,253.0
total net number of migrants,652,saint barthélemy,bl,34,1983,237.0
total net number of migrants,652,saint barthélemy,bl,35,1984,223.0
total net number of migrants,652,saint barthélemy,bl,36,1985,202.0
total net number of migrants,652,saint barthélemy,bl,37,1986,189.0
total net number of migrants,652,saint barthélemy,bl,38,1987,177.0
total net number of migrants,652,saint barthélemy,bl,39,1988,160.0
total net number of migrants,652,saint barthélemy,bl,40,1989,151.0
total net number of migrants,652,saint barthélemy,bl,41,1990,127.0
total net number of migrants,652,saint barthélemy,bl,42,1991,128.0
total net number of migrants,652,saint barthélemy,bl,43,1992,136.0
total net number of migrants,652,saint barthélemy,bl,44,1993,138.0
total net number of migrants,652,saint barthélemy,bl,45,1994,138.0
total net number of migrants,652,saint barthélemy,bl,46,1995,138.0
total net number of migrants,652,saint barthélemy,bl,47,1996,139.0
total net number of migrants,652,saint barthélemy,bl,48,1997,140.0
total net number of migrants,652,saint barthélemy,bl,49,1998,136.0
total net number of migrants,652,saint barthélemy,bl,50,1999,136.0
total net number of migrants,652,saint barthélemy,bl,51,2000,148.0
total net number of migrants,652,saint barthélemy,bl,52,2001,151.0
total net number of migrants,652,saint barthélemy,bl,53,2002,152.0
total net number of migrants,652,saint barthélemy,bl,54,2003,153.0
total net number of migrants,652,saint barthélemy,bl,55,2004,153.0
total net number of migrants,652,saint barthélemy,bl,56,2005,152.0
total net number of migrants,652,saint barthélemy,bl,57,2006,153.0
total net number of migrants,652,saint barthélemy,bl,58,2007,156.0
total net number of migrants,652,saint barthélemy,bl,59,2008,159.0
total net number of migrants,652,saint barthélemy,bl,60,2009,160.0
total net number of migrants,652,saint barthélemy,bl,61,2010,116.0
total net number of migrants,652,saint barthélemy,bl,62,2011,67.0
total net number of migrants,652,saint barthélemy,bl,63,2012,80.0
total net number of migrants,652,saint barthélemy,bl,64,2013,97.0
total net number of migrants,652,saint barthélemy,bl,65,2014,125.0
total net number of migrants,652,saint barthélemy,bl,66,2015,170.0
total net number of migrants,652,saint barthélemy,bl,67,2016,184.0
total net number of migrants,652,saint barthélemy,bl,68,2017,196.0
total net number of migrants,652,saint barthélemy,bl,69,2018,196.0
total net number of migrants,652,saint barthélemy,bl,70,2019,198.0
total net number of migrants,652,saint barthélemy,bl,71,2020,153.0
total net number of migrants,652,saint barthélemy,bl,72,2021,152.0
total net number of migrants,652,saint barthélemy,bl,73,2022,0.0
total net number of migrants,652,saint barthélemy,bl,74,2023,0.0
