indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,654,saint helena,sh,1,1950,-16345.0
crude rate of net migration,654,saint helena,sh,2,1951,-19208.0
crude rate of net migration,654,saint helena,sh,3,1952,-21514.0
crude rate of net migration,654,saint helena,sh,4,1953,-22371.0
crude rate of net migration,654,saint helena,sh,5,1954,-23821.0
crude rate of net migration,654,saint helena,sh,6,1955,-24209.0
crude rate of net migration,654,saint helena,sh,7,1956,-22214.0
crude rate of net migration,654,saint helena,sh,8,1957,-14772.0
crude rate of net migration,654,saint helena,sh,9,1958,-15.44
crude rate of net migration,654,saint helena,sh,10,1959,-16093.0
crude rate of net migration,654,saint helena,sh,11,1960,-16927.0
crude rate of net migration,654,saint helena,sh,12,1961,-17946.0
crude rate of net migration,654,saint helena,sh,13,1962,-17.88
crude rate of net migration,654,saint helena,sh,14,1963,-18.18
crude rate of net migration,654,saint helena,sh,15,1964,-18488.0
crude rate of net migration,654,saint helena,sh,16,1965,-18.27
crude rate of net migration,654,saint helena,sh,17,1966,-14634.0
crude rate of net migration,654,saint helena,sh,18,1967,-6476.0
crude rate of net migration,654,saint helena,sh,19,1968,-6394.0
crude rate of net migration,654,saint helena,sh,20,1969,-6833.0
crude rate of net migration,654,saint helena,sh,21,1970,-5.88
crude rate of net migration,654,saint helena,sh,22,1971,-5119.0
crude rate of net migration,654,saint helena,sh,23,1972,-4882.0
crude rate of net migration,654,saint helena,sh,24,1973,-4985.0
crude rate of net migration,654,saint helena,sh,25,1974,-6073.0
crude rate of net migration,654,saint helena,sh,26,1975,-7959.0
crude rate of net migration,654,saint helena,sh,27,1976,-9346.0
crude rate of net migration,654,saint helena,sh,28,1977,-3526.0
crude rate of net migration,654,saint helena,sh,29,1978,-3495.0
crude rate of net migration,654,saint helena,sh,30,1979,-4247.0
crude rate of net migration,654,saint helena,sh,31,1980,-4678.0
crude rate of net migration,654,saint helena,sh,32,1981,-3249.0
crude rate of net migration,654,saint helena,sh,33,1982,-1688.0
crude rate of net migration,654,saint helena,sh,34,1983,-3344.0
crude rate of net migration,654,saint helena,sh,35,1984,-4069.0
crude rate of net migration,654,saint helena,sh,36,1985,-6738.0
crude rate of net migration,654,saint helena,sh,37,1986,-4324.0
crude rate of net migration,654,saint helena,sh,38,1987,-11134.0
crude rate of net migration,654,saint helena,sh,39,1988,-13984.0
crude rate of net migration,654,saint helena,sh,40,1989,-13899.0
crude rate of net migration,654,saint helena,sh,41,1990,-15322.0
crude rate of net migration,654,saint helena,sh,42,1991,-15264.0
crude rate of net migration,654,saint helena,sh,43,1992,-15677.0
crude rate of net migration,654,saint helena,sh,44,1993,-16106.0
crude rate of net migration,654,saint helena,sh,45,1994,-16558.0
crude rate of net migration,654,saint helena,sh,46,1995,-15783.0
crude rate of net migration,654,saint helena,sh,47,1996,-14839.0
crude rate of net migration,654,saint helena,sh,48,1997,-15244.0
crude rate of net migration,654,saint helena,sh,49,1998,-15137.0
crude rate of net migration,654,saint helena,sh,50,1999,-15.95
crude rate of net migration,654,saint helena,sh,51,2000,-16792.0
crude rate of net migration,654,saint helena,sh,52,2001,-18009.0
crude rate of net migration,654,saint helena,sh,53,2002,-19124.0
crude rate of net migration,654,saint helena,sh,54,2003,-19447.0
crude rate of net migration,654,saint helena,sh,55,2004,-20323.0
crude rate of net migration,654,saint helena,sh,56,2005,-19467.0
crude rate of net migration,654,saint helena,sh,57,2006,-19495.0
crude rate of net migration,654,saint helena,sh,58,2007,-19914.0
crude rate of net migration,654,saint helena,sh,59,2008,6285.0
crude rate of net migration,654,saint helena,sh,60,2009,10072.0
crude rate of net migration,654,saint helena,sh,61,2010,9817.0
crude rate of net migration,654,saint helena,sh,62,2011,9974.0
crude rate of net migration,654,saint helena,sh,63,2012,9936.0
crude rate of net migration,654,saint helena,sh,64,2013,10455.0
crude rate of net migration,654,saint helena,sh,65,2014,12442.0
crude rate of net migration,654,saint helena,sh,66,2015,12811.0
crude rate of net migration,654,saint helena,sh,67,2016,1635.0
crude rate of net migration,654,saint helena,sh,68,2017,2187.0
crude rate of net migration,654,saint helena,sh,69,2018,1097.0
crude rate of net migration,654,saint helena,sh,70,2019,2021.0
crude rate of net migration,654,saint helena,sh,71,2020,2586.0
crude rate of net migration,654,saint helena,sh,72,2021,6383.0
crude rate of net migration,654,saint helena,sh,73,2022,0.0
crude rate of net migration,654,saint helena,sh,74,2023,0.0
