indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,654,saint helena,sh,1,1950,-86.0
total net number of migrants,654,saint helena,sh,2,1951,-102.0
total net number of migrants,654,saint helena,sh,3,1952,-115.0
total net number of migrants,654,saint helena,sh,4,1953,-120.0
total net number of migrants,654,saint helena,sh,5,1954,-128.0
total net number of migrants,654,saint helena,sh,6,1955,-130.0
total net number of migrants,654,saint helena,sh,7,1956,-119.0
total net number of migrants,654,saint helena,sh,8,1957,-79.0
total net number of migrants,654,saint helena,sh,9,1958,-83.0
total net number of migrants,654,saint helena,sh,10,1959,-87.0
total net number of migrants,654,saint helena,sh,11,1960,-92.0
total net number of migrants,654,saint helena,sh,12,1961,-98.0
total net number of migrants,654,saint helena,sh,13,1962,-98.0
total net number of migrants,654,saint helena,sh,14,1963,-100.0
total net number of migrants,654,saint helena,sh,15,1964,-102.0
total net number of migrants,654,saint helena,sh,16,1965,-101.0
total net number of migrants,654,saint helena,sh,17,1966,-81.0
total net number of migrants,654,saint helena,sh,18,1967,-36.0
total net number of migrants,654,saint helena,sh,19,1968,-36.0
total net number of migrants,654,saint helena,sh,20,1969,-39.0
total net number of migrants,654,saint helena,sh,21,1970,-34.0
total net number of migrants,654,saint helena,sh,22,1971,-30.0
total net number of migrants,654,saint helena,sh,23,1972,-29.0
total net number of migrants,654,saint helena,sh,24,1973,-30.0
total net number of migrants,654,saint helena,sh,25,1974,-37.0
total net number of migrants,654,saint helena,sh,26,1975,-49.0
total net number of migrants,654,saint helena,sh,27,1976,-58.0
total net number of migrants,654,saint helena,sh,28,1977,-22.0
total net number of migrants,654,saint helena,sh,29,1978,-22.0
total net number of migrants,654,saint helena,sh,30,1979,-27.0
total net number of migrants,654,saint helena,sh,31,1980,-30.0
total net number of migrants,654,saint helena,sh,32,1981,-21.0
total net number of migrants,654,saint helena,sh,33,1982,-11.0
total net number of migrants,654,saint helena,sh,34,1983,-22.0
total net number of migrants,654,saint helena,sh,35,1984,-27.0
total net number of migrants,654,saint helena,sh,36,1985,-45.0
total net number of migrants,654,saint helena,sh,37,1986,-29.0
total net number of migrants,654,saint helena,sh,38,1987,-75.0
total net number of migrants,654,saint helena,sh,39,1988,-94.0
total net number of migrants,654,saint helena,sh,40,1989,-93.0
total net number of migrants,654,saint helena,sh,41,1990,-102.0
total net number of migrants,654,saint helena,sh,42,1991,-101.0
total net number of migrants,654,saint helena,sh,43,1992,-103.0
total net number of migrants,654,saint helena,sh,44,1993,-105.0
total net number of migrants,654,saint helena,sh,45,1994,-107.0
total net number of migrants,654,saint helena,sh,46,1995,-101.0
total net number of migrants,654,saint helena,sh,47,1996,-94.0
total net number of migrants,654,saint helena,sh,48,1997,-96.0
total net number of migrants,654,saint helena,sh,49,1998,-94.0
total net number of migrants,654,saint helena,sh,50,1999,-98.0
total net number of migrants,654,saint helena,sh,51,2000,-102.0
total net number of migrants,654,saint helena,sh,52,2001,-108.0
total net number of migrants,654,saint helena,sh,53,2002,-113.0
total net number of migrants,654,saint helena,sh,54,2003,-113.0
total net number of migrants,654,saint helena,sh,55,2004,-116.0
total net number of migrants,654,saint helena,sh,56,2005,-109.0
total net number of migrants,654,saint helena,sh,57,2006,-107.0
total net number of migrants,654,saint helena,sh,58,2007,-107.0
total net number of migrants,654,saint helena,sh,59,2008,33.0
total net number of migrants,654,saint helena,sh,60,2009,53.0
total net number of migrants,654,saint helena,sh,61,2010,52.0
total net number of migrants,654,saint helena,sh,62,2011,53.0
total net number of migrants,654,saint helena,sh,63,2012,53.0
total net number of migrants,654,saint helena,sh,64,2013,56.0
total net number of migrants,654,saint helena,sh,65,2014,68.0
total net number of migrants,654,saint helena,sh,66,2015,70.0
total net number of migrants,654,saint helena,sh,67,2016,9.0
total net number of migrants,654,saint helena,sh,68,2017,12.0
total net number of migrants,654,saint helena,sh,69,2018,6.0
total net number of migrants,654,saint helena,sh,70,2019,11.0
total net number of migrants,654,saint helena,sh,71,2020,14.0
total net number of migrants,654,saint helena,sh,72,2021,34.0
total net number of migrants,654,saint helena,sh,73,2022,0.0
total net number of migrants,654,saint helena,sh,74,2023,0.0
