indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,659,saint kitts and nevis,kn,1,1950,-546.0
total net number of migrants,659,saint kitts and nevis,kn,2,1951,-503.0
total net number of migrants,659,saint kitts and nevis,kn,3,1952,-532.0
total net number of migrants,659,saint kitts and nevis,kn,4,1953,-556.0
total net number of migrants,659,saint kitts and nevis,kn,5,1954,-879.0
total net number of migrants,659,saint kitts and nevis,kn,6,1955,-772.0
total net number of migrants,659,saint kitts and nevis,kn,7,1956,-726.0
total net number of migrants,659,saint kitts and nevis,kn,8,1957,-750.0
total net number of migrants,659,saint kitts and nevis,kn,9,1958,-786.0
total net number of migrants,659,saint kitts and nevis,kn,10,1959,-816.0
total net number of migrants,659,saint kitts and nevis,kn,11,1960,-1812.0
total net number of migrants,659,saint kitts and nevis,kn,12,1961,-2347.0
total net number of migrants,659,saint kitts and nevis,kn,13,1962,-2480.0
total net number of migrants,659,saint kitts and nevis,kn,14,1963,-2624.0
total net number of migrants,659,saint kitts and nevis,kn,15,1964,-2655.0
total net number of migrants,659,saint kitts and nevis,kn,16,1965,-2656.0
total net number of migrants,659,saint kitts and nevis,kn,17,1966,-2596.0
total net number of migrants,659,saint kitts and nevis,kn,18,1967,-2501.0
total net number of migrants,659,saint kitts and nevis,kn,19,1968,-2430.0
total net number of migrants,659,saint kitts and nevis,kn,20,1969,-2506.0
total net number of migrants,659,saint kitts and nevis,kn,21,1970,-1280.0
total net number of migrants,659,saint kitts and nevis,kn,22,1971,-831.0
total net number of migrants,659,saint kitts and nevis,kn,23,1972,-814.0
total net number of migrants,659,saint kitts and nevis,kn,24,1973,-852.0
total net number of migrants,659,saint kitts and nevis,kn,25,1974,-911.0
total net number of migrants,659,saint kitts and nevis,kn,26,1975,-929.0
total net number of migrants,659,saint kitts and nevis,kn,27,1976,-931.0
total net number of migrants,659,saint kitts and nevis,kn,28,1977,-899.0
total net number of migrants,659,saint kitts and nevis,kn,29,1978,-862.0
total net number of migrants,659,saint kitts and nevis,kn,30,1979,-865.0
total net number of migrants,659,saint kitts and nevis,kn,31,1980,-799.0
total net number of migrants,659,saint kitts and nevis,kn,32,1981,-849.0
total net number of migrants,659,saint kitts and nevis,kn,33,1982,-940.0
total net number of migrants,659,saint kitts and nevis,kn,34,1983,-922.0
total net number of migrants,659,saint kitts and nevis,kn,35,1984,-892.0
total net number of migrants,659,saint kitts and nevis,kn,36,1985,-894.0
total net number of migrants,659,saint kitts and nevis,kn,37,1986,-845.0
total net number of migrants,659,saint kitts and nevis,kn,38,1987,-828.0
total net number of migrants,659,saint kitts and nevis,kn,39,1988,-825.0
total net number of migrants,659,saint kitts and nevis,kn,40,1989,-835.0
total net number of migrants,659,saint kitts and nevis,kn,41,1990,-861.0
total net number of migrants,659,saint kitts and nevis,kn,42,1991,-240.0
total net number of migrants,659,saint kitts and nevis,kn,43,1992,155.0
total net number of migrants,659,saint kitts and nevis,kn,44,1993,157.0
total net number of migrants,659,saint kitts and nevis,kn,45,1994,165.0
total net number of migrants,659,saint kitts and nevis,kn,46,1995,143.0
total net number of migrants,659,saint kitts and nevis,kn,47,1996,150.0
total net number of migrants,659,saint kitts and nevis,kn,48,1997,122.0
total net number of migrants,659,saint kitts and nevis,kn,49,1998,147.0
total net number of migrants,659,saint kitts and nevis,kn,50,1999,173.0
total net number of migrants,659,saint kitts and nevis,kn,51,2000,248.0
total net number of migrants,659,saint kitts and nevis,kn,52,2001,-5.0
total net number of migrants,659,saint kitts and nevis,kn,53,2002,-195.0
total net number of migrants,659,saint kitts and nevis,kn,54,2003,-214.0
total net number of migrants,659,saint kitts and nevis,kn,55,2004,-228.0
total net number of migrants,659,saint kitts and nevis,kn,56,2005,-222.0
total net number of migrants,659,saint kitts and nevis,kn,57,2006,-205.0
total net number of migrants,659,saint kitts and nevis,kn,58,2007,-192.0
total net number of migrants,659,saint kitts and nevis,kn,59,2008,-174.0
total net number of migrants,659,saint kitts and nevis,kn,60,2009,-171.0
total net number of migrants,659,saint kitts and nevis,kn,61,2010,-160.0
total net number of migrants,659,saint kitts and nevis,kn,62,2011,0.0
total net number of migrants,659,saint kitts and nevis,kn,63,2012,-191.0
total net number of migrants,659,saint kitts and nevis,kn,64,2013,-191.0
total net number of migrants,659,saint kitts and nevis,kn,65,2014,-191.0
total net number of migrants,659,saint kitts and nevis,kn,66,2015,-191.0
total net number of migrants,659,saint kitts and nevis,kn,67,2016,-191.0
total net number of migrants,659,saint kitts and nevis,kn,68,2017,-191.0
total net number of migrants,659,saint kitts and nevis,kn,69,2018,-191.0
total net number of migrants,659,saint kitts and nevis,kn,70,2019,-191.0
total net number of migrants,659,saint kitts and nevis,kn,71,2020,-191.0
total net number of migrants,659,saint kitts and nevis,kn,72,2021,-90.0
total net number of migrants,659,saint kitts and nevis,kn,73,2022,20.0
total net number of migrants,659,saint kitts and nevis,kn,74,2023,20.0
