indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,662,saint lucia,lc,1,1950,-9915.0
crude rate of net migration,662,saint lucia,lc,2,1951,-22012.0
crude rate of net migration,662,saint lucia,lc,3,1952,-24.74
crude rate of net migration,662,saint lucia,lc,4,1953,-26618.0
crude rate of net migration,662,saint lucia,lc,5,1954,-27681.0
crude rate of net migration,662,saint lucia,lc,6,1955,-28112.0
crude rate of net migration,662,saint lucia,lc,7,1956,-27744.0
crude rate of net migration,662,saint lucia,lc,8,1957,-27421.0
crude rate of net migration,662,saint lucia,lc,9,1958,-27028.0
crude rate of net migration,662,saint lucia,lc,10,1959,-27026.0
crude rate of net migration,662,saint lucia,lc,11,1960,-20649.0
crude rate of net migration,662,saint lucia,lc,12,1961,-22216.0
crude rate of net migration,662,saint lucia,lc,13,1962,-21977.0
crude rate of net migration,662,saint lucia,lc,14,1963,-21734.0
crude rate of net migration,662,saint lucia,lc,15,1964,-21465.0
crude rate of net migration,662,saint lucia,lc,16,1965,-21057.0
crude rate of net migration,662,saint lucia,lc,17,1966,-20624.0
crude rate of net migration,662,saint lucia,lc,18,1967,-20077.0
crude rate of net migration,662,saint lucia,lc,19,1968,-19645.0
crude rate of net migration,662,saint lucia,lc,20,1969,-18024.0
crude rate of net migration,662,saint lucia,lc,21,1970,-13393.0
crude rate of net migration,662,saint lucia,lc,22,1971,-13712.0
crude rate of net migration,662,saint lucia,lc,23,1972,-13941.0
crude rate of net migration,662,saint lucia,lc,24,1973,-14475.0
crude rate of net migration,662,saint lucia,lc,25,1974,-15174.0
crude rate of net migration,662,saint lucia,lc,26,1975,-13034.0
crude rate of net migration,662,saint lucia,lc,27,1976,-12926.0
crude rate of net migration,662,saint lucia,lc,28,1977,-12938.0
crude rate of net migration,662,saint lucia,lc,29,1978,-12735.0
crude rate of net migration,662,saint lucia,lc,30,1979,-11996.0
crude rate of net migration,662,saint lucia,lc,31,1980,-10759.0
crude rate of net migration,662,saint lucia,lc,32,1981,-9.99
crude rate of net migration,662,saint lucia,lc,33,1982,-10005.0
crude rate of net migration,662,saint lucia,lc,34,1983,-10294.0
crude rate of net migration,662,saint lucia,lc,35,1984,-10395.0
crude rate of net migration,662,saint lucia,lc,36,1985,-10349.0
crude rate of net migration,662,saint lucia,lc,37,1986,-10339.0
crude rate of net migration,662,saint lucia,lc,38,1987,-10314.0
crude rate of net migration,662,saint lucia,lc,39,1988,-10318.0
crude rate of net migration,662,saint lucia,lc,40,1989,-10.25
crude rate of net migration,662,saint lucia,lc,41,1990,-8475.0
crude rate of net migration,662,saint lucia,lc,42,1991,-7404.0
crude rate of net migration,662,saint lucia,lc,43,1992,-5021.0
crude rate of net migration,662,saint lucia,lc,44,1993,-6072.0
crude rate of net migration,662,saint lucia,lc,45,1994,-6624.0
crude rate of net migration,662,saint lucia,lc,46,1995,-7002.0
crude rate of net migration,662,saint lucia,lc,47,1996,-6968.0
crude rate of net migration,662,saint lucia,lc,48,1997,-6493.0
crude rate of net migration,662,saint lucia,lc,49,1998,-5582.0
crude rate of net migration,662,saint lucia,lc,50,1999,-3918.0
crude rate of net migration,662,saint lucia,lc,51,2000,-4.84
crude rate of net migration,662,saint lucia,lc,52,2001,-3458.0
crude rate of net migration,662,saint lucia,lc,53,2002,-1483.0
crude rate of net migration,662,saint lucia,lc,54,2003,-1116.0
crude rate of net migration,662,saint lucia,lc,55,2004,-719.0
crude rate of net migration,662,saint lucia,lc,56,2005,-532.0
crude rate of net migration,662,saint lucia,lc,57,2006,-469.0
crude rate of net migration,662,saint lucia,lc,58,2007,-161.0
crude rate of net migration,662,saint lucia,lc,59,2008,0.35
crude rate of net migration,662,saint lucia,lc,60,2009,43101.0
crude rate of net migration,662,saint lucia,lc,61,2010,2568.0
crude rate of net migration,662,saint lucia,lc,62,2011,1052.0
crude rate of net migration,662,saint lucia,lc,63,2012,64.0
crude rate of net migration,662,saint lucia,lc,64,2013,0.0
crude rate of net migration,662,saint lucia,lc,65,2014,0.0
crude rate of net migration,662,saint lucia,lc,66,2015,0.0
crude rate of net migration,662,saint lucia,lc,67,2016,0.0
crude rate of net migration,662,saint lucia,lc,68,2017,0.0
crude rate of net migration,662,saint lucia,lc,69,2018,0.0
crude rate of net migration,662,saint lucia,lc,70,2019,0.0
crude rate of net migration,662,saint lucia,lc,71,2020,0.0
crude rate of net migration,662,saint lucia,lc,72,2021,0.0
crude rate of net migration,662,saint lucia,lc,73,2022,0.0
crude rate of net migration,662,saint lucia,lc,74,2023,0.0
