indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,663,saint martin (french part),mf,1,1950,0.0
crude rate of net migration,663,saint martin (french part),mf,2,1951,0.0
crude rate of net migration,663,saint martin (french part),mf,3,1952,0.0
crude rate of net migration,663,saint martin (french part),mf,4,1953,0.0
crude rate of net migration,663,saint martin (french part),mf,5,1954,0.0
crude rate of net migration,663,saint martin (french part),mf,6,1955,0.0
crude rate of net migration,663,saint martin (french part),mf,7,1956,0.0
crude rate of net migration,663,saint martin (french part),mf,8,1957,0.0
crude rate of net migration,663,saint martin (french part),mf,9,1958,0.0
crude rate of net migration,663,saint martin (french part),mf,10,1959,0.0
crude rate of net migration,663,saint martin (french part),mf,11,1960,0.0
crude rate of net migration,663,saint martin (french part),mf,12,1961,0.0
crude rate of net migration,663,saint martin (french part),mf,13,1962,0.0
crude rate of net migration,663,saint martin (french part),mf,14,1963,0.0
crude rate of net migration,663,saint martin (french part),mf,15,1964,0.0
crude rate of net migration,663,saint martin (french part),mf,16,1965,7879.0
crude rate of net migration,663,saint martin (french part),mf,17,1966,15558.0
crude rate of net migration,663,saint martin (french part),mf,18,1967,19031.0
crude rate of net migration,663,saint martin (french part),mf,19,1968,-6871.0
crude rate of net migration,663,saint martin (french part),mf,20,1969,-6523.0
crude rate of net migration,663,saint martin (french part),mf,21,1970,-6011.0
crude rate of net migration,663,saint martin (french part),mf,22,1971,-5689.0
crude rate of net migration,663,saint martin (french part),mf,23,1972,-5218.0
crude rate of net migration,663,saint martin (french part),mf,24,1973,-5086.0
crude rate of net migration,663,saint martin (french part),mf,25,1974,-2325.0
crude rate of net migration,663,saint martin (french part),mf,26,1975,8449.0
crude rate of net migration,663,saint martin (french part),mf,27,1976,5518.0
crude rate of net migration,663,saint martin (french part),mf,28,1977,3084.0
crude rate of net migration,663,saint martin (french part),mf,29,1978,678.0
crude rate of net migration,663,saint martin (french part),mf,30,1979,-1579.0
crude rate of net migration,663,saint martin (french part),mf,31,1980,-3455.0
crude rate of net migration,663,saint martin (french part),mf,32,1981,-6.24
crude rate of net migration,663,saint martin (french part),mf,33,1982,194185.0
crude rate of net migration,663,saint martin (french part),mf,34,1983,195837.0
crude rate of net migration,663,saint martin (french part),mf,35,1984,161273.0
crude rate of net migration,663,saint martin (french part),mf,36,1985,136305.0
crude rate of net migration,663,saint martin (french part),mf,37,1986,117153.0
crude rate of net migration,663,saint martin (french part),mf,38,1987,101589.0
crude rate of net migration,663,saint martin (french part),mf,39,1988,88727.0
crude rate of net migration,663,saint martin (french part),mf,40,1989,77748.0
crude rate of net migration,663,saint martin (french part),mf,41,1990,71.0
crude rate of net migration,663,saint martin (french part),mf,42,1991,-17657.0
crude rate of net migration,663,saint martin (french part),mf,43,1992,-18899.0
crude rate of net migration,663,saint martin (french part),mf,44,1993,-20397.0
crude rate of net migration,663,saint martin (french part),mf,45,1994,-21895.0
crude rate of net migration,663,saint martin (french part),mf,46,1995,-23605.0
crude rate of net migration,663,saint martin (french part),mf,47,1996,-25.47
crude rate of net migration,663,saint martin (french part),mf,48,1997,-27773.0
crude rate of net migration,663,saint martin (french part),mf,49,1998,-30343.0
crude rate of net migration,663,saint martin (french part),mf,50,1999,-13338.0
crude rate of net migration,663,saint martin (french part),mf,51,2000,5376.0
crude rate of net migration,663,saint martin (french part),mf,52,2001,5214.0
crude rate of net migration,663,saint martin (french part),mf,53,2002,5181.0
crude rate of net migration,663,saint martin (french part),mf,54,2003,4961.0
crude rate of net migration,663,saint martin (french part),mf,55,2004,4845.0
crude rate of net migration,663,saint martin (french part),mf,56,2005,4494.0
crude rate of net migration,663,saint martin (french part),mf,57,2006,3751.0
crude rate of net migration,663,saint martin (french part),mf,58,2007,2812.0
crude rate of net migration,663,saint martin (french part),mf,59,2008,1463.0
crude rate of net migration,663,saint martin (french part),mf,60,2009,-249.0
crude rate of net migration,663,saint martin (french part),mf,61,2010,-12166.0
crude rate of net migration,663,saint martin (french part),mf,62,2011,-23279.0
crude rate of net migration,663,saint martin (french part),mf,63,2012,-26322.0
crude rate of net migration,663,saint martin (french part),mf,64,2013,-28003.0
crude rate of net migration,663,saint martin (french part),mf,65,2014,-24203.0
crude rate of net migration,663,saint martin (french part),mf,66,2015,-18709.0
crude rate of net migration,663,saint martin (french part),mf,67,2016,-20858.0
crude rate of net migration,663,saint martin (french part),mf,68,2017,-23361.0
crude rate of net migration,663,saint martin (french part),mf,69,2018,-39222.0
crude rate of net migration,663,saint martin (french part),mf,70,2019,-28269.0
crude rate of net migration,663,saint martin (french part),mf,71,2020,-28736.0
crude rate of net migration,663,saint martin (french part),mf,72,2021,-29242.0
crude rate of net migration,663,saint martin (french part),mf,73,2022,0.0
crude rate of net migration,663,saint martin (french part),mf,74,2023,0.0
