indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,666,saint pierre and miquelon,pm,1,1950,-15332.0
crude rate of net migration,666,saint pierre and miquelon,pm,2,1951,-4436.0
crude rate of net migration,666,saint pierre and miquelon,pm,3,1952,-2848.0
crude rate of net migration,666,saint pierre and miquelon,pm,4,1953,-5398.0
crude rate of net migration,666,saint pierre and miquelon,pm,5,1954,-8514.0
crude rate of net migration,666,saint pierre and miquelon,pm,6,1955,-12602.0
crude rate of net migration,666,saint pierre and miquelon,pm,7,1956,-18694.0
crude rate of net migration,666,saint pierre and miquelon,pm,8,1957,-25078.0
crude rate of net migration,666,saint pierre and miquelon,pm,9,1958,-8608.0
crude rate of net migration,666,saint pierre and miquelon,pm,10,1959,-5.71
crude rate of net migration,666,saint pierre and miquelon,pm,11,1960,-17.46
crude rate of net migration,666,saint pierre and miquelon,pm,12,1961,-27121.0
crude rate of net migration,666,saint pierre and miquelon,pm,13,1962,-9234.0
crude rate of net migration,666,saint pierre and miquelon,pm,14,1963,45078.0
crude rate of net migration,666,saint pierre and miquelon,pm,15,1964,788.0
crude rate of net migration,666,saint pierre and miquelon,pm,16,1965,-7129.0
crude rate of net migration,666,saint pierre and miquelon,pm,17,1966,-6651.0
crude rate of net migration,666,saint pierre and miquelon,pm,18,1967,0.0
crude rate of net migration,666,saint pierre and miquelon,pm,19,1968,744.0
crude rate of net migration,666,saint pierre and miquelon,pm,20,1969,2203.0
crude rate of net migration,666,saint pierre and miquelon,pm,21,1970,-361.0
crude rate of net migration,666,saint pierre and miquelon,pm,22,1971,-1773.0
crude rate of net migration,666,saint pierre and miquelon,pm,23,1972,45140.0
crude rate of net migration,666,saint pierre and miquelon,pm,24,1973,7593.0
crude rate of net migration,666,saint pierre and miquelon,pm,25,1974,-1188.0
crude rate of net migration,666,saint pierre and miquelon,pm,26,1975,-2017.0
crude rate of net migration,666,saint pierre and miquelon,pm,27,1976,-335.0
crude rate of net migration,666,saint pierre and miquelon,pm,28,1977,166.0
crude rate of net migration,666,saint pierre and miquelon,pm,29,1978,-826.0
crude rate of net migration,666,saint pierre and miquelon,pm,30,1979,-2462.0
crude rate of net migration,666,saint pierre and miquelon,pm,31,1980,-4084.0
crude rate of net migration,666,saint pierre and miquelon,pm,32,1981,-14812.0
crude rate of net migration,666,saint pierre and miquelon,pm,33,1982,-2611.0
crude rate of net migration,666,saint pierre and miquelon,pm,34,1983,-488.0
crude rate of net migration,666,saint pierre and miquelon,pm,35,1984,-1454.0
crude rate of net migration,666,saint pierre and miquelon,pm,36,1985,-2884.0
crude rate of net migration,666,saint pierre and miquelon,pm,37,1986,-4134.0
crude rate of net migration,666,saint pierre and miquelon,pm,38,1987,-6161.0
crude rate of net migration,666,saint pierre and miquelon,pm,39,1988,-8332.0
crude rate of net migration,666,saint pierre and miquelon,pm,40,1989,-14054.0
crude rate of net migration,666,saint pierre and miquelon,pm,41,1990,-5.97
crude rate of net migration,666,saint pierre and miquelon,pm,42,1991,-5.18
crude rate of net migration,666,saint pierre and miquelon,pm,43,1992,-6565.0
crude rate of net migration,666,saint pierre and miquelon,pm,44,1993,-7009.0
crude rate of net migration,666,saint pierre and miquelon,pm,45,1994,-7613.0
crude rate of net migration,666,saint pierre and miquelon,pm,46,1995,-7762.0
crude rate of net migration,666,saint pierre and miquelon,pm,47,1996,-9157.0
crude rate of net migration,666,saint pierre and miquelon,pm,48,1997,-9948.0
crude rate of net migration,666,saint pierre and miquelon,pm,49,1998,-18009.0
crude rate of net migration,666,saint pierre and miquelon,pm,50,1999,-8663.0
crude rate of net migration,666,saint pierre and miquelon,pm,51,2000,-5397.0
crude rate of net migration,666,saint pierre and miquelon,pm,52,2001,-6364.0
crude rate of net migration,666,saint pierre and miquelon,pm,53,2002,-7183.0
crude rate of net migration,666,saint pierre and miquelon,pm,54,2003,-8.5
crude rate of net migration,666,saint pierre and miquelon,pm,55,2004,-8879.0
crude rate of net migration,666,saint pierre and miquelon,pm,56,2005,-10481.0
crude rate of net migration,666,saint pierre and miquelon,pm,57,2006,-3116.0
crude rate of net migration,666,saint pierre and miquelon,pm,58,2007,-1812.0
crude rate of net migration,666,saint pierre and miquelon,pm,59,2008,-1649.0
crude rate of net migration,666,saint pierre and miquelon,pm,60,2009,-826.0
crude rate of net migration,666,saint pierre and miquelon,pm,61,2010,0.0
crude rate of net migration,666,saint pierre and miquelon,pm,62,2011,0.0
crude rate of net migration,666,saint pierre and miquelon,pm,63,2012,-1989.0
crude rate of net migration,666,saint pierre and miquelon,pm,64,2013,-832.0
crude rate of net migration,666,saint pierre and miquelon,pm,65,2014,1003.0
crude rate of net migration,666,saint pierre and miquelon,pm,66,2015,3522.0
crude rate of net migration,666,saint pierre and miquelon,pm,67,2016,2015.0
crude rate of net migration,666,saint pierre and miquelon,pm,68,2017,4713.0
crude rate of net migration,666,saint pierre and miquelon,pm,69,2018,0.0
crude rate of net migration,666,saint pierre and miquelon,pm,70,2019,3056.0
crude rate of net migration,666,saint pierre and miquelon,pm,71,2020,1355.0
crude rate of net migration,666,saint pierre and miquelon,pm,72,2021,13150.0
crude rate of net migration,666,saint pierre and miquelon,pm,73,2022,0.0
crude rate of net migration,666,saint pierre and miquelon,pm,74,2023,0.0
