indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,678,sao tome and principe,st,1,1950,-5001.0
crude rate of net migration,678,sao tome and principe,st,2,1951,-4262.0
crude rate of net migration,678,sao tome and principe,st,3,1952,-5462.0
crude rate of net migration,678,sao tome and principe,st,4,1953,-6356.0
crude rate of net migration,678,sao tome and principe,st,5,1954,-7083.0
crude rate of net migration,678,sao tome and principe,st,6,1955,-7662.0
crude rate of net migration,678,sao tome and principe,st,7,1956,-7756.0
crude rate of net migration,678,sao tome and principe,st,8,1957,-10.05
crude rate of net migration,678,sao tome and principe,st,9,1958,-11668.0
crude rate of net migration,678,sao tome and principe,st,10,1959,-13925.0
crude rate of net migration,678,sao tome and principe,st,11,1960,-16869.0
crude rate of net migration,678,sao tome and principe,st,12,1961,-13061.0
crude rate of net migration,678,sao tome and principe,st,13,1962,-12997.0
crude rate of net migration,678,sao tome and principe,st,14,1963,-12116.0
crude rate of net migration,678,sao tome and principe,st,15,1964,-11633.0
crude rate of net migration,678,sao tome and principe,st,16,1965,-10881.0
crude rate of net migration,678,sao tome and principe,st,17,1966,-9733.0
crude rate of net migration,678,sao tome and principe,st,18,1967,-8362.0
crude rate of net migration,678,sao tome and principe,st,19,1968,-6623.0
crude rate of net migration,678,sao tome and principe,st,20,1969,-5605.0
crude rate of net migration,678,sao tome and principe,st,21,1970,-3646.0
crude rate of net migration,678,sao tome and principe,st,22,1971,-5437.0
crude rate of net migration,678,sao tome and principe,st,23,1972,-6374.0
crude rate of net migration,678,sao tome and principe,st,24,1973,-6.38
crude rate of net migration,678,sao tome and principe,st,25,1974,-5613.0
crude rate of net migration,678,sao tome and principe,st,26,1975,-4591.0
crude rate of net migration,678,sao tome and principe,st,27,1976,-3467.0
crude rate of net migration,678,sao tome and principe,st,28,1977,-2852.0
crude rate of net migration,678,sao tome and principe,st,29,1978,-2995.0
crude rate of net migration,678,sao tome and principe,st,30,1979,-5069.0
crude rate of net migration,678,sao tome and principe,st,31,1980,-7938.0
crude rate of net migration,678,sao tome and principe,st,32,1981,-10649.0
crude rate of net migration,678,sao tome and principe,st,33,1982,-11875.0
crude rate of net migration,678,sao tome and principe,st,34,1983,-11677.0
crude rate of net migration,678,sao tome and principe,st,35,1984,-10005.0
crude rate of net migration,678,sao tome and principe,st,36,1985,-7.67
crude rate of net migration,678,sao tome and principe,st,37,1986,-5517.0
crude rate of net migration,678,sao tome and principe,st,38,1987,-4219.0
crude rate of net migration,678,sao tome and principe,st,39,1988,-4086.0
crude rate of net migration,678,sao tome and principe,st,40,1989,-4747.0
crude rate of net migration,678,sao tome and principe,st,41,1990,-5997.0
crude rate of net migration,678,sao tome and principe,st,42,1991,-9065.0
crude rate of net migration,678,sao tome and principe,st,43,1992,-9307.0
crude rate of net migration,678,sao tome and principe,st,44,1993,-9788.0
crude rate of net migration,678,sao tome and principe,st,45,1994,-10473.0
crude rate of net migration,678,sao tome and principe,st,46,1995,-11161.0
crude rate of net migration,678,sao tome and principe,st,47,1996,-11924.0
crude rate of net migration,678,sao tome and principe,st,48,1997,-12991.0
crude rate of net migration,678,sao tome and principe,st,49,1998,-14364.0
crude rate of net migration,678,sao tome and principe,st,50,1999,-15892.0
crude rate of net migration,678,sao tome and principe,st,51,2000,-17305.0
crude rate of net migration,678,sao tome and principe,st,52,2001,-8.78
crude rate of net migration,678,sao tome and principe,st,53,2002,-4918.0
crude rate of net migration,678,sao tome and principe,st,54,2003,-5763.0
crude rate of net migration,678,sao tome and principe,st,55,2004,-6261.0
crude rate of net migration,678,sao tome and principe,st,56,2005,-6303.0
crude rate of net migration,678,sao tome and principe,st,57,2006,-6444.0
crude rate of net migration,678,sao tome and principe,st,58,2007,-6.37
crude rate of net migration,678,sao tome and principe,st,59,2008,-6731.0
crude rate of net migration,678,sao tome and principe,st,60,2009,-7.3
crude rate of net migration,678,sao tome and principe,st,61,2010,-8341.0
crude rate of net migration,678,sao tome and principe,st,62,2011,-8.77
crude rate of net migration,678,sao tome and principe,st,63,2012,-9086.0
crude rate of net migration,678,sao tome and principe,st,64,2013,-9.15
crude rate of net migration,678,sao tome and principe,st,65,2014,-9043.0
crude rate of net migration,678,sao tome and principe,st,66,2015,-8911.0
crude rate of net migration,678,sao tome and principe,st,67,2016,-8691.0
crude rate of net migration,678,sao tome and principe,st,68,2017,-8497.0
crude rate of net migration,678,sao tome and principe,st,69,2018,-8284.0
crude rate of net migration,678,sao tome and principe,st,70,2019,-7974.0
crude rate of net migration,678,sao tome and principe,st,71,2020,0.0
crude rate of net migration,678,sao tome and principe,st,72,2021,-3543.0
crude rate of net migration,678,sao tome and principe,st,73,2022,-2635.0
crude rate of net migration,678,sao tome and principe,st,74,2023,-2584.0
