indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,686,senegal,sn,1,1950,5179.0
total net number of migrants,686,senegal,sn,2,1951,5774.0
total net number of migrants,686,senegal,sn,3,1952,6338.0
total net number of migrants,686,senegal,sn,4,1953,6875.0
total net number of migrants,686,senegal,sn,5,1954,7389.0
total net number of migrants,686,senegal,sn,6,1955,7858.0
total net number of migrants,686,senegal,sn,7,1956,8286.0
total net number of migrants,686,senegal,sn,8,1957,8646.0
total net number of migrants,686,senegal,sn,9,1958,8949.0
total net number of migrants,686,senegal,sn,10,1959,9159.0
total net number of migrants,686,senegal,sn,11,1960,9338.0
total net number of migrants,686,senegal,sn,12,1961,9545.0
total net number of migrants,686,senegal,sn,13,1962,9810.0
total net number of migrants,686,senegal,sn,14,1963,10371.0
total net number of migrants,686,senegal,sn,15,1964,11888.0
total net number of migrants,686,senegal,sn,16,1965,13910.0
total net number of migrants,686,senegal,sn,17,1966,15854.0
total net number of migrants,686,senegal,sn,18,1967,17110.0
total net number of migrants,686,senegal,sn,19,1968,17260.0
total net number of migrants,686,senegal,sn,20,1969,16882.0
total net number of migrants,686,senegal,sn,21,1970,16164.0
total net number of migrants,686,senegal,sn,22,1971,15133.0
total net number of migrants,686,senegal,sn,23,1972,13851.0
total net number of migrants,686,senegal,sn,24,1973,11382.0
total net number of migrants,686,senegal,sn,25,1974,3347.0
total net number of migrants,686,senegal,sn,26,1975,-7870.0
total net number of migrants,686,senegal,sn,27,1976,-18745.0
total net number of migrants,686,senegal,sn,28,1977,-35820.0
total net number of migrants,686,senegal,sn,29,1978,-36651.0
total net number of migrants,686,senegal,sn,30,1979,-35122.0
total net number of migrants,686,senegal,sn,31,1980,-32711.0
total net number of migrants,686,senegal,sn,32,1981,-30044.0
total net number of migrants,686,senegal,sn,33,1982,-27752.0
total net number of migrants,686,senegal,sn,34,1983,-26291.0
total net number of migrants,686,senegal,sn,35,1984,-24926.0
total net number of migrants,686,senegal,sn,36,1985,-18686.0
total net number of migrants,686,senegal,sn,37,1986,-12693.0
total net number of migrants,686,senegal,sn,38,1987,-12114.0
total net number of migrants,686,senegal,sn,39,1988,-12070.0
total net number of migrants,686,senegal,sn,40,1989,-12391.0
total net number of migrants,686,senegal,sn,41,1990,-12986.0
total net number of migrants,686,senegal,sn,42,1991,-13810.0
total net number of migrants,686,senegal,sn,43,1992,-14820.0
total net number of migrants,686,senegal,sn,44,1993,-16672.0
total net number of migrants,686,senegal,sn,45,1994,-22681.0
total net number of migrants,686,senegal,sn,46,1995,-31064.0
total net number of migrants,686,senegal,sn,47,1996,-39240.0
total net number of migrants,686,senegal,sn,48,1997,-44599.0
total net number of migrants,686,senegal,sn,49,1998,-45291.0
total net number of migrants,686,senegal,sn,50,1999,-44377.0
total net number of migrants,686,senegal,sn,51,2000,-42952.0
total net number of migrants,686,senegal,sn,52,2001,-41509.0
total net number of migrants,686,senegal,sn,53,2002,-40555.0
total net number of migrants,686,senegal,sn,54,2003,-40489.0
total net number of migrants,686,senegal,sn,55,2004,-41027.0
total net number of migrants,686,senegal,sn,56,2005,-41857.0
total net number of migrants,686,senegal,sn,57,2006,-42731.0
total net number of migrants,686,senegal,sn,58,2007,-43365.0
total net number of migrants,686,senegal,sn,59,2008,-43583.0
total net number of migrants,686,senegal,sn,60,2009,-43643.0
total net number of migrants,686,senegal,sn,61,2010,-43569.0
total net number of migrants,686,senegal,sn,62,2011,-43352.0
total net number of migrants,686,senegal,sn,63,2012,-42976.0
total net number of migrants,686,senegal,sn,64,2013,-45857.0
total net number of migrants,686,senegal,sn,65,2014,-37405.0
total net number of migrants,686,senegal,sn,66,2015,-31006.0
total net number of migrants,686,senegal,sn,67,2016,-24720.0
total net number of migrants,686,senegal,sn,68,2017,-20576.0
total net number of migrants,686,senegal,sn,69,2018,-19973.0
total net number of migrants,686,senegal,sn,70,2019,-19973.0
total net number of migrants,686,senegal,sn,71,2020,-10090.0
total net number of migrants,686,senegal,sn,72,2021,-10091.0
total net number of migrants,686,senegal,sn,73,2022,-19999.0
total net number of migrants,686,senegal,sn,74,2023,-19999.0
