indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,688,serbia,rs,1,1950,-935.0
crude rate of net migration,688,serbia,rs,2,1951,-926.0
crude rate of net migration,688,serbia,rs,3,1952,-915.0
crude rate of net migration,688,serbia,rs,4,1953,-904.0
crude rate of net migration,688,serbia,rs,5,1954,-2713.0
crude rate of net migration,688,serbia,rs,6,1955,-2332.0
crude rate of net migration,688,serbia,rs,7,1956,-2373.0
crude rate of net migration,688,serbia,rs,8,1957,-2527.0
crude rate of net migration,688,serbia,rs,9,1958,-2691.0
crude rate of net migration,688,serbia,rs,10,1959,-2736.0
crude rate of net migration,688,serbia,rs,11,1960,-1556.0
crude rate of net migration,688,serbia,rs,12,1961,1072.0
crude rate of net migration,688,serbia,rs,13,1962,598.0
crude rate of net migration,688,serbia,rs,14,1963,648.0
crude rate of net migration,688,serbia,rs,15,1964,629.0
crude rate of net migration,688,serbia,rs,16,1965,589.0
crude rate of net migration,688,serbia,rs,17,1966,0.57
crude rate of net migration,688,serbia,rs,18,1967,582.0
crude rate of net migration,688,serbia,rs,19,1968,579.0
crude rate of net migration,688,serbia,rs,20,1969,581.0
crude rate of net migration,688,serbia,rs,21,1970,0.65
crude rate of net migration,688,serbia,rs,22,1971,807.0
crude rate of net migration,688,serbia,rs,23,1972,1484.0
crude rate of net migration,688,serbia,rs,24,1973,1619.0
crude rate of net migration,688,serbia,rs,25,1974,1755.0
crude rate of net migration,688,serbia,rs,26,1975,1913.0
crude rate of net migration,688,serbia,rs,27,1976,2052.0
crude rate of net migration,688,serbia,rs,28,1977,2183.0
crude rate of net migration,688,serbia,rs,29,1978,2306.0
crude rate of net migration,688,serbia,rs,30,1979,2364.0
crude rate of net migration,688,serbia,rs,31,1980,1247.0
crude rate of net migration,688,serbia,rs,32,1981,246.0
crude rate of net migration,688,serbia,rs,33,1982,-162.0
crude rate of net migration,688,serbia,rs,34,1983,24.0
crude rate of net migration,688,serbia,rs,35,1984,122.0
crude rate of net migration,688,serbia,rs,36,1985,236.0
crude rate of net migration,688,serbia,rs,37,1986,261.0
crude rate of net migration,688,serbia,rs,38,1987,-66.0
crude rate of net migration,688,serbia,rs,39,1988,245.0
crude rate of net migration,688,serbia,rs,40,1989,374.0
crude rate of net migration,688,serbia,rs,41,1990,-81.0
crude rate of net migration,688,serbia,rs,42,1991,-7803.0
crude rate of net migration,688,serbia,rs,43,1992,983.0
crude rate of net migration,688,serbia,rs,44,1993,1157.0
crude rate of net migration,688,serbia,rs,45,1994,944.0
crude rate of net migration,688,serbia,rs,46,1995,987.0
crude rate of net migration,688,serbia,rs,47,1996,948.0
crude rate of net migration,688,serbia,rs,48,1997,671.0
crude rate of net migration,688,serbia,rs,49,1998,476.0
crude rate of net migration,688,serbia,rs,50,1999,496.0
crude rate of net migration,688,serbia,rs,51,2000,262.0
crude rate of net migration,688,serbia,rs,52,2001,-1.0
crude rate of net migration,688,serbia,rs,53,2002,195.0
crude rate of net migration,688,serbia,rs,54,2003,65.0
crude rate of net migration,688,serbia,rs,55,2004,61.0
crude rate of net migration,688,serbia,rs,56,2005,45.0
crude rate of net migration,688,serbia,rs,57,2006,24.0
crude rate of net migration,688,serbia,rs,58,2007,15.0
crude rate of net migration,688,serbia,rs,59,2008,13.0
crude rate of net migration,688,serbia,rs,60,2009,6.0
crude rate of net migration,688,serbia,rs,61,2010,-3.0
crude rate of net migration,688,serbia,rs,62,2011,4.0
crude rate of net migration,688,serbia,rs,63,2012,523.0
crude rate of net migration,688,serbia,rs,64,2013,952.0
crude rate of net migration,688,serbia,rs,65,2014,1071.0
crude rate of net migration,688,serbia,rs,66,2015,0.98
crude rate of net migration,688,serbia,rs,67,2016,788.0
crude rate of net migration,688,serbia,rs,68,2017,598.0
crude rate of net migration,688,serbia,rs,69,2018,0.45
crude rate of net migration,688,serbia,rs,70,2019,66.0
crude rate of net migration,688,serbia,rs,71,2020,33.0
crude rate of net migration,688,serbia,rs,72,2021,33.0
crude rate of net migration,688,serbia,rs,73,2022,-1384.0
crude rate of net migration,688,serbia,rs,74,2023,-1398.0
