indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,690,seychelles,sc,1,1950,0.0
total net number of migrants,690,seychelles,sc,2,1951,9.0
total net number of migrants,690,seychelles,sc,3,1952,-23.0
total net number of migrants,690,seychelles,sc,4,1953,-41.0
total net number of migrants,690,seychelles,sc,5,1954,-13.0
total net number of migrants,690,seychelles,sc,6,1955,51.0
total net number of migrants,690,seychelles,sc,7,1956,58.0
total net number of migrants,690,seychelles,sc,8,1957,79.0
total net number of migrants,690,seychelles,sc,9,1958,46.0
total net number of migrants,690,seychelles,sc,10,1959,73.0
total net number of migrants,690,seychelles,sc,11,1960,21.0
total net number of migrants,690,seychelles,sc,12,1961,-8.0
total net number of migrants,690,seychelles,sc,13,1962,2.0
total net number of migrants,690,seychelles,sc,14,1963,13.0
total net number of migrants,690,seychelles,sc,15,1964,71.0
total net number of migrants,690,seychelles,sc,16,1965,56.0
total net number of migrants,690,seychelles,sc,17,1966,86.0
total net number of migrants,690,seychelles,sc,18,1967,127.0
total net number of migrants,690,seychelles,sc,19,1968,166.0
total net number of migrants,690,seychelles,sc,20,1969,160.0
total net number of migrants,690,seychelles,sc,21,1970,167.0
total net number of migrants,690,seychelles,sc,22,1971,242.0
total net number of migrants,690,seychelles,sc,23,1972,244.0
total net number of migrants,690,seychelles,sc,24,1973,93.0
total net number of migrants,690,seychelles,sc,25,1974,84.0
total net number of migrants,690,seychelles,sc,26,1975,93.0
total net number of migrants,690,seychelles,sc,27,1976,24.0
total net number of migrants,690,seychelles,sc,28,1977,-199.0
total net number of migrants,690,seychelles,sc,29,1978,-499.0
total net number of migrants,690,seychelles,sc,30,1979,-601.0
total net number of migrants,690,seychelles,sc,31,1980,-599.0
total net number of migrants,690,seychelles,sc,32,1981,-591.0
total net number of migrants,690,seychelles,sc,33,1982,-592.0
total net number of migrants,690,seychelles,sc,34,1983,-592.0
total net number of migrants,690,seychelles,sc,35,1984,-600.0
total net number of migrants,690,seychelles,sc,36,1985,-601.0
total net number of migrants,690,seychelles,sc,37,1986,-580.0
total net number of migrants,690,seychelles,sc,38,1987,-454.0
total net number of migrants,690,seychelles,sc,39,1988,-327.0
total net number of migrants,690,seychelles,sc,40,1989,-303.0
total net number of migrants,690,seychelles,sc,41,1990,-320.0
total net number of migrants,690,seychelles,sc,42,1991,-339.0
total net number of migrants,690,seychelles,sc,43,1992,-369.0
total net number of migrants,690,seychelles,sc,44,1993,-376.0
total net number of migrants,690,seychelles,sc,45,1994,-55.0
total net number of migrants,690,seychelles,sc,46,1995,-48.0
total net number of migrants,690,seychelles,sc,47,1996,-48.0
total net number of migrants,690,seychelles,sc,48,1997,370.0
total net number of migrants,690,seychelles,sc,49,1998,262.0
total net number of migrants,690,seychelles,sc,50,1999,374.0
total net number of migrants,690,seychelles,sc,51,2000,376.0
total net number of migrants,690,seychelles,sc,52,2001,363.0
total net number of migrants,690,seychelles,sc,53,2002,320.0
total net number of migrants,690,seychelles,sc,54,2003,263.0
total net number of migrants,690,seychelles,sc,55,2004,245.0
total net number of migrants,690,seychelles,sc,56,2005,251.0
total net number of migrants,690,seychelles,sc,57,2006,259.0
total net number of migrants,690,seychelles,sc,58,2007,276.0
total net number of migrants,690,seychelles,sc,59,2008,305.0
total net number of migrants,690,seychelles,sc,60,2009,317.0
total net number of migrants,690,seychelles,sc,61,2010,376.0
total net number of migrants,690,seychelles,sc,62,2011,378.0
total net number of migrants,690,seychelles,sc,63,2012,369.0
total net number of migrants,690,seychelles,sc,64,2013,323.0
total net number of migrants,690,seychelles,sc,65,2014,263.0
total net number of migrants,690,seychelles,sc,66,2015,245.0
total net number of migrants,690,seychelles,sc,67,2016,251.0
total net number of migrants,690,seychelles,sc,68,2017,259.0
total net number of migrants,690,seychelles,sc,69,2018,276.0
total net number of migrants,690,seychelles,sc,70,2019,305.0
total net number of migrants,690,seychelles,sc,71,2020,146.0
total net number of migrants,690,seychelles,sc,72,2021,146.0
total net number of migrants,690,seychelles,sc,73,2022,-200.0
total net number of migrants,690,seychelles,sc,74,2023,-200.0
