indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,694,sierra leone,sl,1,1950,-1642.0
crude rate of net migration,694,sierra leone,sl,2,1951,-1759.0
crude rate of net migration,694,sierra leone,sl,3,1952,-2082.0
crude rate of net migration,694,sierra leone,sl,4,1953,-2645.0
crude rate of net migration,694,sierra leone,sl,5,1954,-2482.0
crude rate of net migration,694,sierra leone,sl,6,1955,-2449.0
crude rate of net migration,694,sierra leone,sl,7,1956,-2392.0
crude rate of net migration,694,sierra leone,sl,8,1957,-2405.0
crude rate of net migration,694,sierra leone,sl,9,1958,-3044.0
crude rate of net migration,694,sierra leone,sl,10,1959,-1947.0
crude rate of net migration,694,sierra leone,sl,11,1960,-1532.0
crude rate of net migration,694,sierra leone,sl,12,1961,-1258.0
crude rate of net migration,694,sierra leone,sl,13,1962,-1115.0
crude rate of net migration,694,sierra leone,sl,14,1963,-1021.0
crude rate of net migration,694,sierra leone,sl,15,1964,-933.0
crude rate of net migration,694,sierra leone,sl,16,1965,-734.0
crude rate of net migration,694,sierra leone,sl,17,1966,-1132.0
crude rate of net migration,694,sierra leone,sl,18,1967,-1075.0
crude rate of net migration,694,sierra leone,sl,19,1968,-1399.0
crude rate of net migration,694,sierra leone,sl,20,1969,-1644.0
crude rate of net migration,694,sierra leone,sl,21,1970,-1782.0
crude rate of net migration,694,sierra leone,sl,22,1971,-2877.0
crude rate of net migration,694,sierra leone,sl,23,1972,-2859.0
crude rate of net migration,694,sierra leone,sl,24,1973,-3163.0
crude rate of net migration,694,sierra leone,sl,25,1974,-3818.0
crude rate of net migration,694,sierra leone,sl,26,1975,-4263.0
crude rate of net migration,694,sierra leone,sl,27,1976,-5026.0
crude rate of net migration,694,sierra leone,sl,28,1977,-3.9
crude rate of net migration,694,sierra leone,sl,29,1978,-4032.0
crude rate of net migration,694,sierra leone,sl,30,1979,-3.96
crude rate of net migration,694,sierra leone,sl,31,1980,-3.45
crude rate of net migration,694,sierra leone,sl,32,1981,-3687.0
crude rate of net migration,694,sierra leone,sl,33,1982,-3237.0
crude rate of net migration,694,sierra leone,sl,34,1983,-2446.0
crude rate of net migration,694,sierra leone,sl,35,1984,-2372.0
crude rate of net migration,694,sierra leone,sl,36,1985,-2097.0
crude rate of net migration,694,sierra leone,sl,37,1986,2081.0
crude rate of net migration,694,sierra leone,sl,38,1987,2424.0
crude rate of net migration,694,sierra leone,sl,39,1988,2337.0
crude rate of net migration,694,sierra leone,sl,40,1989,-1.22
crude rate of net migration,694,sierra leone,sl,41,1990,30886.0
crude rate of net migration,694,sierra leone,sl,42,1991,-53121.0
crude rate of net migration,694,sierra leone,sl,43,1992,-29667.0
crude rate of net migration,694,sierra leone,sl,44,1993,-21977.0
crude rate of net migration,694,sierra leone,sl,45,1994,-17768.0
crude rate of net migration,694,sierra leone,sl,46,1995,-25759.0
crude rate of net migration,694,sierra leone,sl,47,1996,-11913.0
crude rate of net migration,694,sierra leone,sl,48,1997,-10934.0
crude rate of net migration,694,sierra leone,sl,49,1998,-17.1
crude rate of net migration,694,sierra leone,sl,50,1999,-18796.0
crude rate of net migration,694,sierra leone,sl,51,2000,18271.0
crude rate of net migration,694,sierra leone,sl,52,2001,48017.0
crude rate of net migration,694,sierra leone,sl,53,2002,16984.0
crude rate of net migration,694,sierra leone,sl,54,2003,13013.0
crude rate of net migration,694,sierra leone,sl,55,2004,4328.0
crude rate of net migration,694,sierra leone,sl,56,2005,-318.0
crude rate of net migration,694,sierra leone,sl,57,2006,-5843.0
crude rate of net migration,694,sierra leone,sl,58,2007,-1017.0
crude rate of net migration,694,sierra leone,sl,59,2008,194.0
crude rate of net migration,694,sierra leone,sl,60,2009,2903.0
crude rate of net migration,694,sierra leone,sl,61,2010,1241.0
crude rate of net migration,694,sierra leone,sl,62,2011,1043.0
crude rate of net migration,694,sierra leone,sl,63,2012,146.0
crude rate of net migration,694,sierra leone,sl,64,2013,398.0
crude rate of net migration,694,sierra leone,sl,65,2014,68.0
crude rate of net migration,694,sierra leone,sl,66,2015,-49.0
crude rate of net migration,694,sierra leone,sl,67,2016,622.0
crude rate of net migration,694,sierra leone,sl,68,2017,161.0
crude rate of net migration,694,sierra leone,sl,69,2018,-349.0
crude rate of net migration,694,sierra leone,sl,70,2019,-278.0
crude rate of net migration,694,sierra leone,sl,71,2020,157.0
crude rate of net migration,694,sierra leone,sl,72,2021,-183.0
crude rate of net migration,694,sierra leone,sl,73,2022,-465.0
crude rate of net migration,694,sierra leone,sl,74,2023,-455.0
