indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,702,singapore,sg,1,1950,10308.0
crude rate of net migration,702,singapore,sg,2,1951,11271.0
crude rate of net migration,702,singapore,sg,3,1952,11688.0
crude rate of net migration,702,singapore,sg,4,1953,11461.0
crude rate of net migration,702,singapore,sg,5,1954,11533.0
crude rate of net migration,702,singapore,sg,6,1955,11179.0
crude rate of net migration,702,singapore,sg,7,1956,10604.0
crude rate of net migration,702,singapore,sg,8,1957,9625.0
crude rate of net migration,702,singapore,sg,9,1958,7699.0
crude rate of net migration,702,singapore,sg,10,1959,6581.0
crude rate of net migration,702,singapore,sg,11,1960,1055.0
crude rate of net migration,702,singapore,sg,12,1961,127.0
crude rate of net migration,702,singapore,sg,13,1962,-442.0
crude rate of net migration,702,singapore,sg,14,1963,-1231.0
crude rate of net migration,702,singapore,sg,15,1964,-1206.0
crude rate of net migration,702,singapore,sg,16,1965,227.0
crude rate of net migration,702,singapore,sg,17,1966,-795.0
crude rate of net migration,702,singapore,sg,18,1967,191.0
crude rate of net migration,702,singapore,sg,19,1968,526.0
crude rate of net migration,702,singapore,sg,20,1969,-21.0
crude rate of net migration,702,singapore,sg,21,1970,294.0
crude rate of net migration,702,singapore,sg,22,1971,-104.0
crude rate of net migration,702,singapore,sg,23,1972,424.0
crude rate of net migration,702,singapore,sg,24,1973,585.0
crude rate of net migration,702,singapore,sg,25,1974,512.0
crude rate of net migration,702,singapore,sg,26,1975,495.0
crude rate of net migration,702,singapore,sg,27,1976,191.0
crude rate of net migration,702,singapore,sg,28,1977,1703.0
crude rate of net migration,702,singapore,sg,29,1978,46054.0
crude rate of net migration,702,singapore,sg,30,1979,4192.0
crude rate of net migration,702,singapore,sg,31,1980,7261.0
crude rate of net migration,702,singapore,sg,32,1981,10532.0
crude rate of net migration,702,singapore,sg,33,1982,10727.0
crude rate of net migration,702,singapore,sg,34,1983,43800.0
crude rate of net migration,702,singapore,sg,35,1984,12031.0
crude rate of net migration,702,singapore,sg,36,1985,11757.0
crude rate of net migration,702,singapore,sg,37,1986,13923.0
crude rate of net migration,702,singapore,sg,38,1987,12168.0
crude rate of net migration,702,singapore,sg,39,1988,9265.0
crude rate of net migration,702,singapore,sg,40,1989,9897.0
crude rate of net migration,702,singapore,sg,41,1990,14.79
crude rate of net migration,702,singapore,sg,42,1991,23328.0
crude rate of net migration,702,singapore,sg,43,1992,22391.0
crude rate of net migration,702,singapore,sg,44,1993,20894.0
crude rate of net migration,702,singapore,sg,45,1994,20458.0
crude rate of net migration,702,singapore,sg,46,1995,19212.0
crude rate of net migration,702,singapore,sg,47,1996,21374.0
crude rate of net migration,702,singapore,sg,48,1997,18825.0
crude rate of net migration,702,singapore,sg,49,1998,19572.0
crude rate of net migration,702,singapore,sg,50,1999,17578.0
crude rate of net migration,702,singapore,sg,51,2000,9756.0
crude rate of net migration,702,singapore,sg,52,2001,7808.0
crude rate of net migration,702,singapore,sg,53,2002,5499.0
crude rate of net migration,702,singapore,sg,54,2003,25294.0
crude rate of net migration,702,singapore,sg,55,2004,3667.0
crude rate of net migration,702,singapore,sg,56,2005,18677.0
crude rate of net migration,702,singapore,sg,57,2006,33848.0
crude rate of net migration,702,singapore,sg,58,2007,32192.0
crude rate of net migration,702,singapore,sg,59,2008,30.42
crude rate of net migration,702,singapore,sg,60,2009,28933.0
crude rate of net migration,702,singapore,sg,61,2010,21336.0
crude rate of net migration,702,singapore,sg,62,2011,13798.0
crude rate of net migration,702,singapore,sg,63,2012,12712.0
crude rate of net migration,702,singapore,sg,64,2013,12397.0
crude rate of net migration,702,singapore,sg,65,2014,10881.0
crude rate of net migration,702,singapore,sg,66,2015,7271.0
crude rate of net migration,702,singapore,sg,67,2016,6412.0
crude rate of net migration,702,singapore,sg,68,2017,6172.0
crude rate of net migration,702,singapore,sg,69,2018,6167.0
crude rate of net migration,702,singapore,sg,70,2019,6953.0
crude rate of net migration,702,singapore,sg,71,2020,3618.0
crude rate of net migration,702,singapore,sg,72,2021,3257.0
crude rate of net migration,702,singapore,sg,73,2022,4528.0
crude rate of net migration,702,singapore,sg,74,2023,4499.0
