indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,703,slovakia,sk,1,1950,-1628.0
crude rate of net migration,703,slovakia,sk,2,1951,1151.0
crude rate of net migration,703,slovakia,sk,3,1952,1278.0
crude rate of net migration,703,slovakia,sk,4,1953,1226.0
crude rate of net migration,703,slovakia,sk,5,1954,1094.0
crude rate of net migration,703,slovakia,sk,6,1955,1186.0
crude rate of net migration,703,slovakia,sk,7,1956,12420.0
crude rate of net migration,703,slovakia,sk,8,1957,1254.0
crude rate of net migration,703,slovakia,sk,9,1958,1216.0
crude rate of net migration,703,slovakia,sk,10,1959,0.84
crude rate of net migration,703,slovakia,sk,11,1960,902.0
crude rate of net migration,703,slovakia,sk,12,1961,1115.0
crude rate of net migration,703,slovakia,sk,13,1962,-2271.0
crude rate of net migration,703,slovakia,sk,14,1963,-2142.0
crude rate of net migration,703,slovakia,sk,15,1964,-2129.0
crude rate of net migration,703,slovakia,sk,16,1965,-2118.0
crude rate of net migration,703,slovakia,sk,17,1966,-2107.0
crude rate of net migration,703,slovakia,sk,18,1967,-2097.0
crude rate of net migration,703,slovakia,sk,19,1968,-2114.0
crude rate of net migration,703,slovakia,sk,20,1969,-2037.0
crude rate of net migration,703,slovakia,sk,21,1970,-1.17
crude rate of net migration,703,slovakia,sk,22,1971,-796.0
crude rate of net migration,703,slovakia,sk,23,1972,-822.0
crude rate of net migration,703,slovakia,sk,24,1973,-873.0
crude rate of net migration,703,slovakia,sk,25,1974,-958.0
crude rate of net migration,703,slovakia,sk,26,1975,-1043.0
crude rate of net migration,703,slovakia,sk,27,1976,-1027.0
crude rate of net migration,703,slovakia,sk,28,1977,-1042.0
crude rate of net migration,703,slovakia,sk,29,1978,-1057.0
crude rate of net migration,703,slovakia,sk,30,1979,-1042.0
crude rate of net migration,703,slovakia,sk,31,1980,-1.29
crude rate of net migration,703,slovakia,sk,32,1981,-1362.0
crude rate of net migration,703,slovakia,sk,33,1982,-1.39
crude rate of net migration,703,slovakia,sk,34,1983,-1.44
crude rate of net migration,703,slovakia,sk,35,1984,-1422.0
crude rate of net migration,703,slovakia,sk,36,1985,-1326.0
crude rate of net migration,703,slovakia,sk,37,1986,-1324.0
crude rate of net migration,703,slovakia,sk,38,1987,-1348.0
crude rate of net migration,703,slovakia,sk,39,1988,-1377.0
crude rate of net migration,703,slovakia,sk,40,1989,-1.51
crude rate of net migration,703,slovakia,sk,41,1990,-1924.0
crude rate of net migration,703,slovakia,sk,42,1991,-0.1
crude rate of net migration,703,slovakia,sk,43,1992,-185.0
crude rate of net migration,703,slovakia,sk,44,1993,-113.0
crude rate of net migration,703,slovakia,sk,45,1994,-131.0
crude rate of net migration,703,slovakia,sk,46,1995,-0.11
crude rate of net migration,703,slovakia,sk,47,1996,-29.0
crude rate of net migration,703,slovakia,sk,48,1997,8.0
crude rate of net migration,703,slovakia,sk,49,1998,-35.0
crude rate of net migration,703,slovakia,sk,50,1999,-19.0
crude rate of net migration,703,slovakia,sk,51,2000,-211.0
crude rate of net migration,703,slovakia,sk,52,2001,-147.0
crude rate of net migration,703,slovakia,sk,53,2002,-106.0
crude rate of net migration,703,slovakia,sk,54,2003,-0.06
crude rate of net migration,703,slovakia,sk,55,2004,-42.0
crude rate of net migration,703,slovakia,sk,56,2005,-41.0
crude rate of net migration,703,slovakia,sk,57,2006,-5.0
crude rate of net migration,703,slovakia,sk,58,2007,67.0
crude rate of net migration,703,slovakia,sk,59,2008,141.0
crude rate of net migration,703,slovakia,sk,60,2009,213.0
crude rate of net migration,703,slovakia,sk,61,2010,-289.0
crude rate of net migration,703,slovakia,sk,62,2011,-343.0
crude rate of net migration,703,slovakia,sk,63,2012,486.0
crude rate of net migration,703,slovakia,sk,64,2013,236.0
crude rate of net migration,703,slovakia,sk,65,2014,195.0
crude rate of net migration,703,slovakia,sk,66,2015,486.0
crude rate of net migration,703,slovakia,sk,67,2016,678.0
crude rate of net migration,703,slovakia,sk,68,2017,651.0
crude rate of net migration,703,slovakia,sk,69,2018,689.0
crude rate of net migration,703,slovakia,sk,70,2019,0.62
crude rate of net migration,703,slovakia,sk,71,2020,0.32
crude rate of net migration,703,slovakia,sk,72,2021,321.0
crude rate of net migration,703,slovakia,sk,73,2022,78261.0
crude rate of net migration,703,slovakia,sk,74,2023,-19.15
