indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,703,slovakia,sk,1,1950,-5651.0
total net number of migrants,703,slovakia,sk,2,1951,4057.0
total net number of migrants,703,slovakia,sk,3,1952,4586.0
total net number of migrants,703,slovakia,sk,4,1953,4484.0
total net number of migrants,703,slovakia,sk,5,1954,4075.0
total net number of migrants,703,slovakia,sk,6,1955,4499.0
total net number of migrants,703,slovakia,sk,7,1956,5180.0
total net number of migrants,703,slovakia,sk,8,1957,4930.0
total net number of migrants,703,slovakia,sk,9,1958,4864.0
total net number of migrants,703,slovakia,sk,10,1959,3412.0
total net number of migrants,703,slovakia,sk,11,1960,3717.0
total net number of migrants,703,slovakia,sk,12,1961,4665.0
total net number of migrants,703,slovakia,sk,13,1962,-9628.0
total net number of migrants,703,slovakia,sk,14,1963,-9175.0
total net number of migrants,703,slovakia,sk,15,1964,-9212.0
total net number of migrants,703,slovakia,sk,16,1965,-9248.0
total net number of migrants,703,slovakia,sk,17,1966,-9277.0
total net number of migrants,703,slovakia,sk,18,1967,-9304.0
total net number of migrants,703,slovakia,sk,19,1968,-9443.0
total net number of migrants,703,slovakia,sk,20,1969,-9161.0
total net number of migrants,703,slovakia,sk,21,1970,-5293.0
total net number of migrants,703,slovakia,sk,22,1971,-3628.0
total net number of migrants,703,slovakia,sk,23,1972,-3782.0
total net number of migrants,703,slovakia,sk,24,1973,-4057.0
total net number of migrants,703,slovakia,sk,25,1974,-4496.0
total net number of migrants,703,slovakia,sk,26,1975,-4945.0
total net number of migrants,703,slovakia,sk,27,1976,-4919.0
total net number of migrants,703,slovakia,sk,28,1977,-5041.0
total net number of migrants,703,slovakia,sk,29,1978,-5165.0
total net number of migrants,703,slovakia,sk,30,1979,-5142.0
total net number of migrants,703,slovakia,sk,31,1980,-6420.0
total net number of migrants,703,slovakia,sk,32,1981,-6829.0
total net number of migrants,703,slovakia,sk,33,1982,-7022.0
total net number of migrants,703,slovakia,sk,34,1983,-7322.0
total net number of migrants,703,slovakia,sk,35,1984,-7276.0
total net number of migrants,703,slovakia,sk,36,1985,-6829.0
total net number of migrants,703,slovakia,sk,37,1986,-6853.0
total net number of migrants,703,slovakia,sk,38,1987,-7012.0
total net number of migrants,703,slovakia,sk,39,1988,-7201.0
total net number of migrants,703,slovakia,sk,40,1989,-7923.0
total net number of migrants,703,slovakia,sk,41,1990,-10132.0
total net number of migrants,703,slovakia,sk,42,1991,-526.0
total net number of migrants,703,slovakia,sk,43,1992,-983.0
total net number of migrants,703,slovakia,sk,44,1993,-602.0
total net number of migrants,703,slovakia,sk,45,1994,-699.0
total net number of migrants,703,slovakia,sk,46,1995,-591.0
total net number of migrants,703,slovakia,sk,47,1996,-157.0
total net number of migrants,703,slovakia,sk,48,1997,45.0
total net number of migrants,703,slovakia,sk,49,1998,-186.0
total net number of migrants,703,slovakia,sk,50,1999,-102.0
total net number of migrants,703,slovakia,sk,51,2000,-1135.0
total net number of migrants,703,slovakia,sk,52,2001,-791.0
total net number of migrants,703,slovakia,sk,53,2002,-571.0
total net number of migrants,703,slovakia,sk,54,2003,-325.0
total net number of migrants,703,slovakia,sk,55,2004,-225.0
total net number of migrants,703,slovakia,sk,56,2005,-219.0
total net number of migrants,703,slovakia,sk,57,2006,-26.0
total net number of migrants,703,slovakia,sk,58,2007,363.0
total net number of migrants,703,slovakia,sk,59,2008,761.0
total net number of migrants,703,slovakia,sk,60,2009,1148.0
total net number of migrants,703,slovakia,sk,61,2010,-1558.0
total net number of migrants,703,slovakia,sk,62,2011,-1855.0
total net number of migrants,703,slovakia,sk,63,2012,2629.0
total net number of migrants,703,slovakia,sk,64,2013,1279.0
total net number of migrants,703,slovakia,sk,65,2014,1058.0
total net number of migrants,703,slovakia,sk,66,2015,2637.0
total net number of migrants,703,slovakia,sk,67,2016,3682.0
total net number of migrants,703,slovakia,sk,68,2017,3542.0
total net number of migrants,703,slovakia,sk,69,2018,3752.0
total net number of migrants,703,slovakia,sk,70,2019,3378.0
total net number of migrants,703,slovakia,sk,71,2020,1746.0
total net number of migrants,703,slovakia,sk,72,2021,1746.0
total net number of migrants,703,slovakia,sk,73,2022,425001.0
total net number of migrants,703,slovakia,sk,74,2023,-112067.0
