indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,705,slovenia,si,1,1950,253.0
crude rate of net migration,705,slovenia,si,2,1951,0.81
crude rate of net migration,705,slovenia,si,3,1952,715.0
crude rate of net migration,705,slovenia,si,4,1953,1306.0
crude rate of net migration,705,slovenia,si,5,1954,2067.0
crude rate of net migration,705,slovenia,si,6,1955,1703.0
crude rate of net migration,705,slovenia,si,7,1956,1696.0
crude rate of net migration,705,slovenia,si,8,1957,2102.0
crude rate of net migration,705,slovenia,si,9,1958,2329.0
crude rate of net migration,705,slovenia,si,10,1959,2164.0
crude rate of net migration,705,slovenia,si,11,1960,1946.0
crude rate of net migration,705,slovenia,si,12,1961,915.0
crude rate of net migration,705,slovenia,si,13,1962,851.0
crude rate of net migration,705,slovenia,si,14,1963,1001.0
crude rate of net migration,705,slovenia,si,15,1964,945.0
crude rate of net migration,705,slovenia,si,16,1965,419.0
crude rate of net migration,705,slovenia,si,17,1966,551.0
crude rate of net migration,705,slovenia,si,18,1967,1241.0
crude rate of net migration,705,slovenia,si,19,1968,1531.0
crude rate of net migration,705,slovenia,si,20,1969,1678.0
crude rate of net migration,705,slovenia,si,21,1970,1649.0
crude rate of net migration,705,slovenia,si,22,1971,2051.0
crude rate of net migration,705,slovenia,si,23,1972,2184.0
crude rate of net migration,705,slovenia,si,24,1973,1865.0
crude rate of net migration,705,slovenia,si,25,1974,2348.0
crude rate of net migration,705,slovenia,si,26,1975,2027.0
crude rate of net migration,705,slovenia,si,27,1976,1908.0
crude rate of net migration,705,slovenia,si,28,1977,2124.0
crude rate of net migration,705,slovenia,si,29,1978,1847.0
crude rate of net migration,705,slovenia,si,30,1979,1764.0
crude rate of net migration,705,slovenia,si,31,1980,2246.0
crude rate of net migration,705,slovenia,si,32,1981,1331.0
crude rate of net migration,705,slovenia,si,33,1982,503.0
crude rate of net migration,705,slovenia,si,34,1983,1014.0
crude rate of net migration,705,slovenia,si,35,1984,885.0
crude rate of net migration,705,slovenia,si,36,1985,705.0
crude rate of net migration,705,slovenia,si,37,1986,676.0
crude rate of net migration,705,slovenia,si,38,1987,909.0
crude rate of net migration,705,slovenia,si,39,1988,737.0
crude rate of net migration,705,slovenia,si,40,1989,936.0
crude rate of net migration,705,slovenia,si,41,1990,866.0
crude rate of net migration,705,slovenia,si,42,1991,-5.0
crude rate of net migration,705,slovenia,si,43,1992,-3.0
crude rate of net migration,705,slovenia,si,44,1993,-106.0
crude rate of net migration,705,slovenia,si,45,1994,-356.0
crude rate of net migration,705,slovenia,si,46,1995,-383.0
crude rate of net migration,705,slovenia,si,47,1996,-454.0
crude rate of net migration,705,slovenia,si,48,1997,-413.0
crude rate of net migration,705,slovenia,si,49,1998,-518.0
crude rate of net migration,705,slovenia,si,50,1999,-607.0
crude rate of net migration,705,slovenia,si,51,2000,-787.0
crude rate of net migration,705,slovenia,si,52,2001,-723.0
crude rate of net migration,705,slovenia,si,53,2002,2724.0
crude rate of net migration,705,slovenia,si,54,2003,4225.0
crude rate of net migration,705,slovenia,si,55,2004,4045.0
crude rate of net migration,705,slovenia,si,56,2005,4143.0
crude rate of net migration,705,slovenia,si,57,2006,3999.0
crude rate of net migration,705,slovenia,si,58,2007,3958.0
crude rate of net migration,705,slovenia,si,59,2008,3734.0
crude rate of net migration,705,slovenia,si,60,2009,3752.0
crude rate of net migration,705,slovenia,si,61,2010,26359.0
crude rate of net migration,705,slovenia,si,62,2011,189.0
crude rate of net migration,705,slovenia,si,63,2012,106.0
crude rate of net migration,705,slovenia,si,64,2013,101.0
crude rate of net migration,705,slovenia,si,65,2014,-108.0
crude rate of net migration,705,slovenia,si,66,2015,30011.0
crude rate of net migration,705,slovenia,si,67,2016,3684.0
crude rate of net migration,705,slovenia,si,68,2017,3562.0
crude rate of net migration,705,slovenia,si,69,2018,3596.0
crude rate of net migration,705,slovenia,si,70,2019,3522.0
crude rate of net migration,705,slovenia,si,71,2020,3634.0
crude rate of net migration,705,slovenia,si,72,2021,2158.0
crude rate of net migration,705,slovenia,si,73,2022,944.0
crude rate of net migration,705,slovenia,si,74,2023,944.0
