indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,90,solomon islands,sb,1,1950,0.0
total net number of migrants,90,solomon islands,sb,2,1951,79.0
total net number of migrants,90,solomon islands,sb,3,1952,146.0
total net number of migrants,90,solomon islands,sb,4,1953,236.0
total net number of migrants,90,solomon islands,sb,5,1954,276.0
total net number of migrants,90,solomon islands,sb,6,1955,260.0
total net number of migrants,90,solomon islands,sb,7,1956,376.0
total net number of migrants,90,solomon islands,sb,8,1957,116.0
total net number of migrants,90,solomon islands,sb,9,1958,129.0
total net number of migrants,90,solomon islands,sb,10,1959,0.0
total net number of migrants,90,solomon islands,sb,11,1960,-385.0
total net number of migrants,90,solomon islands,sb,12,1961,-395.0
total net number of migrants,90,solomon islands,sb,13,1962,-404.0
total net number of migrants,90,solomon islands,sb,14,1963,-408.0
total net number of migrants,90,solomon islands,sb,15,1964,-417.0
total net number of migrants,90,solomon islands,sb,16,1965,-423.0
total net number of migrants,90,solomon islands,sb,17,1966,-445.0
total net number of migrants,90,solomon islands,sb,18,1967,-462.0
total net number of migrants,90,solomon islands,sb,19,1968,-471.0
total net number of migrants,90,solomon islands,sb,20,1969,-612.0
total net number of migrants,90,solomon islands,sb,21,1970,-901.0
total net number of migrants,90,solomon islands,sb,22,1971,-1031.0
total net number of migrants,90,solomon islands,sb,23,1972,-952.0
total net number of migrants,90,solomon islands,sb,24,1973,-844.0
total net number of migrants,90,solomon islands,sb,25,1974,-682.0
total net number of migrants,90,solomon islands,sb,26,1975,-406.0
total net number of migrants,90,solomon islands,sb,27,1976,-39.0
total net number of migrants,90,solomon islands,sb,28,1977,180.0
total net number of migrants,90,solomon islands,sb,29,1978,253.0
total net number of migrants,90,solomon islands,sb,30,1979,302.0
total net number of migrants,90,solomon islands,sb,31,1980,333.0
total net number of migrants,90,solomon islands,sb,32,1981,352.0
total net number of migrants,90,solomon islands,sb,33,1982,375.0
total net number of migrants,90,solomon islands,sb,34,1983,383.0
total net number of migrants,90,solomon islands,sb,35,1984,398.0
total net number of migrants,90,solomon islands,sb,36,1985,397.0
total net number of migrants,90,solomon islands,sb,37,1986,188.0
total net number of migrants,90,solomon islands,sb,38,1987,-220.0
total net number of migrants,90,solomon islands,sb,39,1988,-430.0
total net number of migrants,90,solomon islands,sb,40,1989,-475.0
total net number of migrants,90,solomon islands,sb,41,1990,-529.0
total net number of migrants,90,solomon islands,sb,42,1991,-585.0
total net number of migrants,90,solomon islands,sb,43,1992,-650.0
total net number of migrants,90,solomon islands,sb,44,1993,-726.0
total net number of migrants,90,solomon islands,sb,45,1994,-793.0
total net number of migrants,90,solomon islands,sb,46,1995,-859.0
total net number of migrants,90,solomon islands,sb,47,1996,-908.0
total net number of migrants,90,solomon islands,sb,48,1997,-971.0
total net number of migrants,90,solomon islands,sb,49,1998,-1065.0
total net number of migrants,90,solomon islands,sb,50,1999,-1478.0
total net number of migrants,90,solomon islands,sb,51,2000,-2137.0
total net number of migrants,90,solomon islands,sb,52,2001,-2511.0
total net number of migrants,90,solomon islands,sb,53,2002,-2603.0
total net number of migrants,90,solomon islands,sb,54,2003,-2685.0
total net number of migrants,90,solomon islands,sb,55,2004,-2745.0
total net number of migrants,90,solomon islands,sb,56,2005,-2800.0
total net number of migrants,90,solomon islands,sb,57,2006,-2848.0
total net number of migrants,90,solomon islands,sb,58,2007,-2901.0
total net number of migrants,90,solomon islands,sb,59,2008,-2964.0
total net number of migrants,90,solomon islands,sb,60,2009,-2579.0
total net number of migrants,90,solomon islands,sb,61,2010,-2225.0
total net number of migrants,90,solomon islands,sb,62,2011,-1875.0
total net number of migrants,90,solomon islands,sb,63,2012,-1634.0
total net number of migrants,90,solomon islands,sb,64,2013,-1603.0
total net number of migrants,90,solomon islands,sb,65,2014,-1603.0
total net number of migrants,90,solomon islands,sb,66,2015,-1603.0
total net number of migrants,90,solomon islands,sb,67,2016,-1603.0
total net number of migrants,90,solomon islands,sb,68,2017,-1603.0
total net number of migrants,90,solomon islands,sb,69,2018,-1603.0
total net number of migrants,90,solomon islands,sb,70,2019,-1603.0
total net number of migrants,90,solomon islands,sb,71,2020,-808.0
total net number of migrants,90,solomon islands,sb,72,2021,-808.0
total net number of migrants,90,solomon islands,sb,73,2022,-1600.0
total net number of migrants,90,solomon islands,sb,74,2023,-1600.0
