indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,706,somalia,so,1,1950,538.0
crude rate of net migration,706,somalia,so,2,1951,451.0
crude rate of net migration,706,somalia,so,3,1952,138.0
crude rate of net migration,706,somalia,so,4,1953,-438.0
crude rate of net migration,706,somalia,so,5,1954,-302.0
crude rate of net migration,706,somalia,so,6,1955,-326.0
crude rate of net migration,706,somalia,so,7,1956,-331.0
crude rate of net migration,706,somalia,so,8,1957,-411.0
crude rate of net migration,706,somalia,so,9,1958,-1114.0
crude rate of net migration,706,somalia,so,10,1959,-79.0
crude rate of net migration,706,somalia,so,11,1960,261.0
crude rate of net migration,706,somalia,so,12,1961,454.0
crude rate of net migration,706,somalia,so,13,1962,495.0
crude rate of net migration,706,somalia,so,14,1963,467.0
crude rate of net migration,706,somalia,so,15,1964,477.0
crude rate of net migration,706,somalia,so,16,1965,656.0
crude rate of net migration,706,somalia,so,17,1966,281.0
crude rate of net migration,706,somalia,so,18,1967,435.0
crude rate of net migration,706,somalia,so,19,1968,256.0
crude rate of net migration,706,somalia,so,20,1969,0.19
crude rate of net migration,706,somalia,so,21,1970,297.0
crude rate of net migration,706,somalia,so,22,1971,-484.0
crude rate of net migration,706,somalia,so,23,1972,-0.09
crude rate of net migration,706,somalia,so,24,1973,36.0
crude rate of net migration,706,somalia,so,25,1974,-0.12
crude rate of net migration,706,somalia,so,26,1975,-457.0
crude rate of net migration,706,somalia,so,27,1976,-883.0
crude rate of net migration,706,somalia,so,28,1977,488.0
crude rate of net migration,706,somalia,so,29,1978,87809.0
crude rate of net migration,706,somalia,so,30,1979,113846.0
crude rate of net migration,706,somalia,so,31,1980,11179.0
crude rate of net migration,706,somalia,so,32,1981,-54424.0
crude rate of net migration,706,somalia,so,33,1982,1028.0
crude rate of net migration,706,somalia,so,34,1983,1548.0
crude rate of net migration,706,somalia,so,35,1984,9563.0
crude rate of net migration,706,somalia,so,36,1985,15585.0
crude rate of net migration,706,somalia,so,37,1986,10828.0
crude rate of net migration,706,somalia,so,38,1987,-2426.0
crude rate of net migration,706,somalia,so,39,1988,-56.4
crude rate of net migration,706,somalia,so,40,1989,-37136.0
crude rate of net migration,706,somalia,so,41,1990,-34.83
crude rate of net migration,706,somalia,so,42,1991,-81011.0
crude rate of net migration,706,somalia,so,43,1992,-27.56
crude rate of net migration,706,somalia,so,44,1993,40306.0
crude rate of net migration,706,somalia,so,45,1994,-7288.0
crude rate of net migration,706,somalia,so,46,1995,9177.0
crude rate of net migration,706,somalia,so,47,1996,-6174.0
crude rate of net migration,706,somalia,so,48,1997,6444.0
crude rate of net migration,706,somalia,so,49,1998,6901.0
crude rate of net migration,706,somalia,so,50,1999,4487.0
crude rate of net migration,706,somalia,so,51,2000,6161.0
crude rate of net migration,706,somalia,so,52,2001,4449.0
crude rate of net migration,706,somalia,so,53,2002,12420.0
crude rate of net migration,706,somalia,so,54,2003,3405.0
crude rate of net migration,706,somalia,so,55,2004,1716.0
crude rate of net migration,706,somalia,so,56,2005,-569.0
crude rate of net migration,706,somalia,so,57,2006,-6.21
crude rate of net migration,706,somalia,so,58,2007,762.0
crude rate of net migration,706,somalia,so,59,2008,-8874.0
crude rate of net migration,706,somalia,so,60,2009,-8639.0
crude rate of net migration,706,somalia,so,61,2010,-7326.0
crude rate of net migration,706,somalia,so,62,2011,-26342.0
crude rate of net migration,706,somalia,so,63,2012,-4157.0
crude rate of net migration,706,somalia,so,64,2013,1613.0
crude rate of net migration,706,somalia,so,65,2014,456.0
crude rate of net migration,706,somalia,so,66,2015,-1247.0
crude rate of net migration,706,somalia,so,67,2016,8712.0
crude rate of net migration,706,somalia,so,68,2017,2564.0
crude rate of net migration,706,somalia,so,69,2018,2653.0
crude rate of net migration,706,somalia,so,70,2019,3011.0
crude rate of net migration,706,somalia,so,71,2020,-688.0
crude rate of net migration,706,somalia,so,72,2021,-1.0
crude rate of net migration,706,somalia,so,73,2022,-1703.0
crude rate of net migration,706,somalia,so,74,2023,-1652.0
