indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,931,south america,aj,1,1950,647.0
crude rate of net migration,931,south america,aj,2,1951,554.0
crude rate of net migration,931,south america,aj,3,1952,369.0
crude rate of net migration,931,south america,aj,4,1953,77.0
crude rate of net migration,931,south america,aj,5,1954,0.08
crude rate of net migration,931,south america,aj,6,1955,41.0
crude rate of net migration,931,south america,aj,7,1956,31.0
crude rate of net migration,931,south america,aj,8,1957,11.0
crude rate of net migration,931,south america,aj,9,1958,-278.0
crude rate of net migration,931,south america,aj,10,1959,42.0
crude rate of net migration,931,south america,aj,11,1960,-105.0
crude rate of net migration,931,south america,aj,12,1961,-402.0
crude rate of net migration,931,south america,aj,13,1962,-443.0
crude rate of net migration,931,south america,aj,14,1963,-471.0
crude rate of net migration,931,south america,aj,15,1964,-481.0
crude rate of net migration,931,south america,aj,16,1965,-417.0
crude rate of net migration,931,south america,aj,17,1966,-593.0
crude rate of net migration,931,south america,aj,18,1967,-0.53
crude rate of net migration,931,south america,aj,19,1968,-588.0
crude rate of net migration,931,south america,aj,20,1969,-576.0
crude rate of net migration,931,south america,aj,21,1970,-0.55
crude rate of net migration,931,south america,aj,22,1971,-782.0
crude rate of net migration,931,south america,aj,23,1972,-757.0
crude rate of net migration,931,south america,aj,24,1973,-711.0
crude rate of net migration,931,south america,aj,25,1974,-731.0
crude rate of net migration,931,south america,aj,26,1975,-967.0
crude rate of net migration,931,south america,aj,27,1976,-1098.0
crude rate of net migration,931,south america,aj,28,1977,-0.76
crude rate of net migration,931,south america,aj,29,1978,-757.0
crude rate of net migration,931,south america,aj,30,1979,-705.0
crude rate of net migration,931,south america,aj,31,1980,-528.0
crude rate of net migration,931,south america,aj,32,1981,-0.65
crude rate of net migration,931,south america,aj,33,1982,-598.0
crude rate of net migration,931,south america,aj,34,1983,-432.0
crude rate of net migration,931,south america,aj,35,1984,-472.0
crude rate of net migration,931,south america,aj,36,1985,-445.0
crude rate of net migration,931,south america,aj,37,1986,-556.0
crude rate of net migration,931,south america,aj,38,1987,-527.0
crude rate of net migration,931,south america,aj,39,1988,-422.0
crude rate of net migration,931,south america,aj,40,1989,-419.0
crude rate of net migration,931,south america,aj,41,1990,-409.0
crude rate of net migration,931,south america,aj,42,1991,-759.0
crude rate of net migration,931,south america,aj,43,1992,-669.0
crude rate of net migration,931,south america,aj,44,1993,-699.0
crude rate of net migration,931,south america,aj,45,1994,-573.0
crude rate of net migration,931,south america,aj,46,1995,-677.0
crude rate of net migration,931,south america,aj,47,1996,-622.0
crude rate of net migration,931,south america,aj,48,1997,-567.0
crude rate of net migration,931,south america,aj,49,1998,-577.0
crude rate of net migration,931,south america,aj,50,1999,-665.0
crude rate of net migration,931,south america,aj,51,2000,-694.0
crude rate of net migration,931,south america,aj,52,2001,-776.0
crude rate of net migration,931,south america,aj,53,2002,-839.0
crude rate of net migration,931,south america,aj,54,2003,-973.0
crude rate of net migration,931,south america,aj,55,2004,-954.0
crude rate of net migration,931,south america,aj,56,2005,-1163.0
crude rate of net migration,931,south america,aj,57,2006,-1.15
crude rate of net migration,931,south america,aj,58,2007,-1169.0
crude rate of net migration,931,south america,aj,59,2008,-1192.0
crude rate of net migration,931,south america,aj,60,2009,-1067.0
crude rate of net migration,931,south america,aj,61,2010,-765.0
crude rate of net migration,931,south america,aj,62,2011,-633.0
crude rate of net migration,931,south america,aj,63,2012,-507.0
crude rate of net migration,931,south america,aj,64,2013,-463.0
crude rate of net migration,931,south america,aj,65,2014,-0.33
crude rate of net migration,931,south america,aj,66,2015,-0.18
crude rate of net migration,931,south america,aj,67,2016,195.0
crude rate of net migration,931,south america,aj,68,2017,-19.0
crude rate of net migration,931,south america,aj,69,2018,-166.0
crude rate of net migration,931,south america,aj,70,2019,-0.28
crude rate of net migration,931,south america,aj,71,2020,-85.0
crude rate of net migration,931,south america,aj,72,2021,-0.21
crude rate of net migration,931,south america,aj,73,2022,-65.0
crude rate of net migration,931,south america,aj,74,2023,-43.0
