indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,728,south sudan,ss,1,1950,0.0
crude rate of net migration,728,south sudan,ss,2,1951,0.0
crude rate of net migration,728,south sudan,ss,3,1952,0.0
crude rate of net migration,728,south sudan,ss,4,1953,0.0
crude rate of net migration,728,south sudan,ss,5,1954,0.0
crude rate of net migration,728,south sudan,ss,6,1955,0.0
crude rate of net migration,728,south sudan,ss,7,1956,0.0
crude rate of net migration,728,south sudan,ss,8,1957,0.0
crude rate of net migration,728,south sudan,ss,9,1958,0.0
crude rate of net migration,728,south sudan,ss,10,1959,0.0
crude rate of net migration,728,south sudan,ss,11,1960,0.0
crude rate of net migration,728,south sudan,ss,12,1961,0.0
crude rate of net migration,728,south sudan,ss,13,1962,0.0
crude rate of net migration,728,south sudan,ss,14,1963,0.0
crude rate of net migration,728,south sudan,ss,15,1964,0.0
crude rate of net migration,728,south sudan,ss,16,1965,0.0
crude rate of net migration,728,south sudan,ss,17,1966,0.0
crude rate of net migration,728,south sudan,ss,18,1967,0.0
crude rate of net migration,728,south sudan,ss,19,1968,0.0
crude rate of net migration,728,south sudan,ss,20,1969,0.0
crude rate of net migration,728,south sudan,ss,21,1970,0.0
crude rate of net migration,728,south sudan,ss,22,1971,0.0
crude rate of net migration,728,south sudan,ss,23,1972,0.0
crude rate of net migration,728,south sudan,ss,24,1973,0.0
crude rate of net migration,728,south sudan,ss,25,1974,0.0
crude rate of net migration,728,south sudan,ss,26,1975,0.0
crude rate of net migration,728,south sudan,ss,27,1976,0.0
crude rate of net migration,728,south sudan,ss,28,1977,0.0
crude rate of net migration,728,south sudan,ss,29,1978,0.0
crude rate of net migration,728,south sudan,ss,30,1979,0.0
crude rate of net migration,728,south sudan,ss,31,1980,0.0
crude rate of net migration,728,south sudan,ss,32,1981,0.0
crude rate of net migration,728,south sudan,ss,33,1982,0.0
crude rate of net migration,728,south sudan,ss,34,1983,0.0
crude rate of net migration,728,south sudan,ss,35,1984,0.0
crude rate of net migration,728,south sudan,ss,36,1985,0.0
crude rate of net migration,728,south sudan,ss,37,1986,0.0
crude rate of net migration,728,south sudan,ss,38,1987,0.0
crude rate of net migration,728,south sudan,ss,39,1988,-19983.0
crude rate of net migration,728,south sudan,ss,40,1989,-27372.0
crude rate of net migration,728,south sudan,ss,41,1990,2738.0
crude rate of net migration,728,south sudan,ss,42,1991,2947.0
crude rate of net migration,728,south sudan,ss,43,1992,3045.0
crude rate of net migration,728,south sudan,ss,44,1993,3148.0
crude rate of net migration,728,south sudan,ss,45,1994,3197.0
crude rate of net migration,728,south sudan,ss,46,1995,3226.0
crude rate of net migration,728,south sudan,ss,47,1996,3308.0
crude rate of net migration,728,south sudan,ss,48,1997,8673.0
crude rate of net migration,728,south sudan,ss,49,1998,11348.0
crude rate of net migration,728,south sudan,ss,50,1999,12076.0
crude rate of net migration,728,south sudan,ss,51,2000,12211.0
crude rate of net migration,728,south sudan,ss,52,2001,12247.0
crude rate of net migration,728,south sudan,ss,53,2002,12467.0
crude rate of net migration,728,south sudan,ss,54,2003,13238.0
crude rate of net migration,728,south sudan,ss,55,2004,15173.0
crude rate of net migration,728,south sudan,ss,56,2005,17492.0
crude rate of net migration,728,south sudan,ss,57,2006,19357.0
crude rate of net migration,728,south sudan,ss,58,2007,20077.0
crude rate of net migration,728,south sudan,ss,59,2008,18933.0
crude rate of net migration,728,south sudan,ss,60,2009,15184.0
crude rate of net migration,728,south sudan,ss,61,2010,31294.0
crude rate of net migration,728,south sudan,ss,62,2011,19144.0
crude rate of net migration,728,south sudan,ss,63,2012,11818.0
crude rate of net migration,728,south sudan,ss,64,2013,5899.0
crude rate of net migration,728,south sudan,ss,65,2014,-41188.0
crude rate of net migration,728,south sudan,ss,66,2015,-14209.0
crude rate of net migration,728,south sudan,ss,67,2016,-57.57
crude rate of net migration,728,south sudan,ss,68,2017,-61228.0
crude rate of net migration,728,south sudan,ss,69,2018,-28192.0
crude rate of net migration,728,south sudan,ss,70,2019,196.0
crude rate of net migration,728,south sudan,ss,71,2020,-6.99
crude rate of net migration,728,south sudan,ss,72,2021,-2962.0
crude rate of net migration,728,south sudan,ss,73,2022,-2808.0
crude rate of net migration,728,south sudan,ss,74,2023,-2098.0
