indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,728,south sudan,ss,1,1950,0.0
total net number of migrants,728,south sudan,ss,2,1951,0.0
total net number of migrants,728,south sudan,ss,3,1952,0.0
total net number of migrants,728,south sudan,ss,4,1953,0.0
total net number of migrants,728,south sudan,ss,5,1954,0.0
total net number of migrants,728,south sudan,ss,6,1955,0.0
total net number of migrants,728,south sudan,ss,7,1956,0.0
total net number of migrants,728,south sudan,ss,8,1957,0.0
total net number of migrants,728,south sudan,ss,9,1958,0.0
total net number of migrants,728,south sudan,ss,10,1959,0.0
total net number of migrants,728,south sudan,ss,11,1960,0.0
total net number of migrants,728,south sudan,ss,12,1961,0.0
total net number of migrants,728,south sudan,ss,13,1962,0.0
total net number of migrants,728,south sudan,ss,14,1963,0.0
total net number of migrants,728,south sudan,ss,15,1964,0.0
total net number of migrants,728,south sudan,ss,16,1965,0.0
total net number of migrants,728,south sudan,ss,17,1966,0.0
total net number of migrants,728,south sudan,ss,18,1967,0.0
total net number of migrants,728,south sudan,ss,19,1968,0.0
total net number of migrants,728,south sudan,ss,20,1969,0.0
total net number of migrants,728,south sudan,ss,21,1970,0.0
total net number of migrants,728,south sudan,ss,22,1971,0.0
total net number of migrants,728,south sudan,ss,23,1972,0.0
total net number of migrants,728,south sudan,ss,24,1973,0.0
total net number of migrants,728,south sudan,ss,25,1974,0.0
total net number of migrants,728,south sudan,ss,26,1975,0.0
total net number of migrants,728,south sudan,ss,27,1976,0.0
total net number of migrants,728,south sudan,ss,28,1977,0.0
total net number of migrants,728,south sudan,ss,29,1978,0.0
total net number of migrants,728,south sudan,ss,30,1979,0.0
total net number of migrants,728,south sudan,ss,31,1980,0.0
total net number of migrants,728,south sudan,ss,32,1981,0.0
total net number of migrants,728,south sudan,ss,33,1982,0.0
total net number of migrants,728,south sudan,ss,34,1983,0.0
total net number of migrants,728,south sudan,ss,35,1984,0.0
total net number of migrants,728,south sudan,ss,36,1985,0.0
total net number of migrants,728,south sudan,ss,37,1986,0.0
total net number of migrants,728,south sudan,ss,38,1987,0.0
total net number of migrants,728,south sudan,ss,39,1988,-97065.0
total net number of migrants,728,south sudan,ss,40,1989,-130821.0
total net number of migrants,728,south sudan,ss,41,1990,12993.0
total net number of migrants,728,south sudan,ss,42,1991,14325.0
total net number of migrants,728,south sudan,ss,43,1992,15074.0
total net number of migrants,728,south sudan,ss,44,1993,15772.0
total net number of migrants,728,south sudan,ss,45,1994,16418.0
total net number of migrants,728,south sudan,ss,46,1995,17077.0
total net number of migrants,728,south sudan,ss,47,1996,17951.0
total net number of migrants,728,south sudan,ss,48,1997,48277.0
total net number of migrants,728,south sudan,ss,49,1998,64284.0
total net number of migrants,728,south sudan,ss,50,1999,70269.0
total net number of migrants,728,south sudan,ss,51,2000,74224.0
total net number of migrants,728,south sudan,ss,52,2001,77854.0
total net number of migrants,728,south sudan,ss,53,2002,82850.0
total net number of migrants,728,south sudan,ss,54,2003,91958.0
total net number of migrants,728,south sudan,ss,55,2004,110187.0
total net number of migrants,728,south sudan,ss,56,2005,132868.0
total net number of migrants,728,south sudan,ss,57,2006,153929.0
total net number of migrants,728,south sudan,ss,58,2007,167356.0
total net number of migrants,728,south sudan,ss,59,2008,165553.0
total net number of migrants,728,south sudan,ss,60,2009,139129.0
total net number of migrants,728,south sudan,ss,61,2010,299400.0
total net number of migrants,728,south sudan,ss,62,2011,194323.0
total net number of migrants,728,south sudan,ss,63,2012,125766.0
total net number of migrants,728,south sudan,ss,64,2013,65337.0
total net number of migrants,728,south sudan,ss,65,2014,-471614.0
total net number of migrants,728,south sudan,ss,66,2015,-160109.0
total net number of migrants,728,south sudan,ss,67,2016,-655870.0
total net number of migrants,728,south sudan,ss,68,2017,-672697.0
total net number of migrants,728,south sudan,ss,69,2018,-297041.0
total net number of migrants,728,south sudan,ss,70,2019,2048.0
total net number of migrants,728,south sudan,ss,71,2020,-74415.0
total net number of migrants,728,south sudan,ss,72,2021,-31885.0
total net number of migrants,728,south sudan,ss,73,2022,-30694.0
total net number of migrants,728,south sudan,ss,74,2023,-23291.0
