indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,913,southern africa,sf,1,1950,106.0
crude rate of net migration,913,southern africa,sf,2,1951,27.0
crude rate of net migration,913,southern africa,sf,3,1952,-237.0
crude rate of net migration,913,southern africa,sf,4,1953,-0.9
crude rate of net migration,913,southern africa,sf,5,1954,-0.8
crude rate of net migration,913,southern africa,sf,6,1955,-821.0
crude rate of net migration,913,southern africa,sf,7,1956,-0.81
crude rate of net migration,913,southern africa,sf,8,1957,-659.0
crude rate of net migration,913,southern africa,sf,9,1958,-1247.0
crude rate of net migration,913,southern africa,sf,10,1959,-167.0
crude rate of net migration,913,southern africa,sf,11,1960,634.0
crude rate of net migration,913,southern africa,sf,12,1961,2584.0
crude rate of net migration,913,southern africa,sf,13,1962,3147.0
crude rate of net migration,913,southern africa,sf,14,1963,3229.0
crude rate of net migration,913,southern africa,sf,15,1964,3333.0
crude rate of net migration,913,southern africa,sf,16,1965,3126.0
crude rate of net migration,913,southern africa,sf,17,1966,2864.0
crude rate of net migration,913,southern africa,sf,18,1967,42795.0
crude rate of net migration,913,southern africa,sf,19,1968,2918.0
crude rate of net migration,913,southern africa,sf,20,1969,2601.0
crude rate of net migration,913,southern africa,sf,21,1970,2217.0
crude rate of net migration,913,southern africa,sf,22,1971,1417.0
crude rate of net migration,913,southern africa,sf,23,1972,1939.0
crude rate of net migration,913,southern africa,sf,24,1973,2106.0
crude rate of net migration,913,southern africa,sf,25,1974,1983.0
crude rate of net migration,913,southern africa,sf,26,1975,1914.0
crude rate of net migration,913,southern africa,sf,27,1976,1239.0
crude rate of net migration,913,southern africa,sf,28,1977,2296.0
crude rate of net migration,913,southern africa,sf,29,1978,1605.0
crude rate of net migration,913,southern africa,sf,30,1979,1934.0
crude rate of net migration,913,southern africa,sf,31,1980,1436.0
crude rate of net migration,913,southern africa,sf,32,1981,0.34
crude rate of net migration,913,southern africa,sf,33,1982,45078.0
crude rate of net migration,913,southern africa,sf,34,1983,1591.0
crude rate of net migration,913,southern africa,sf,35,1984,1999.0
crude rate of net migration,913,southern africa,sf,36,1985,3422.0
crude rate of net migration,913,southern africa,sf,37,1986,6366.0
crude rate of net migration,913,southern africa,sf,38,1987,6569.0
crude rate of net migration,913,southern africa,sf,39,1988,7278.0
crude rate of net migration,913,southern africa,sf,40,1989,8225.0
crude rate of net migration,913,southern africa,sf,41,1990,5178.0
crude rate of net migration,913,southern africa,sf,42,1991,0.23
crude rate of net migration,913,southern africa,sf,43,1992,-1777.0
crude rate of net migration,913,southern africa,sf,44,1993,-2188.0
crude rate of net migration,913,southern africa,sf,45,1994,-2591.0
crude rate of net migration,913,southern africa,sf,46,1995,-2068.0
crude rate of net migration,913,southern africa,sf,47,1996,-1806.0
crude rate of net migration,913,southern africa,sf,48,1997,-1316.0
crude rate of net migration,913,southern africa,sf,49,1998,-1379.0
crude rate of net migration,913,southern africa,sf,50,1999,-1743.0
crude rate of net migration,913,southern africa,sf,51,2000,-1815.0
crude rate of net migration,913,southern africa,sf,52,2001,-946.0
crude rate of net migration,913,southern africa,sf,53,2002,382.0
crude rate of net migration,913,southern africa,sf,54,2003,557.0
crude rate of net migration,913,southern africa,sf,55,2004,393.0
crude rate of net migration,913,southern africa,sf,56,2005,-48.0
crude rate of net migration,913,southern africa,sf,57,2006,0.18
crude rate of net migration,913,southern africa,sf,58,2007,256.0
crude rate of net migration,913,southern africa,sf,59,2008,344.0
crude rate of net migration,913,southern africa,sf,60,2009,384.0
crude rate of net migration,913,southern africa,sf,61,2010,795.0
crude rate of net migration,913,southern africa,sf,62,2011,676.0
crude rate of net migration,913,southern africa,sf,63,2012,712.0
crude rate of net migration,913,southern africa,sf,64,2013,627.0
crude rate of net migration,913,southern africa,sf,65,2014,47209.0
crude rate of net migration,913,southern africa,sf,66,2015,9842.0
crude rate of net migration,913,southern africa,sf,67,2016,-13666.0
crude rate of net migration,913,southern africa,sf,68,2017,-447.0
crude rate of net migration,913,southern africa,sf,69,2018,142.0
crude rate of net migration,913,southern africa,sf,70,2019,64.0
crude rate of net migration,913,southern africa,sf,71,2020,327.0
crude rate of net migration,913,southern africa,sf,72,2021,0.03
crude rate of net migration,913,southern africa,sf,73,2022,696.0
crude rate of net migration,913,southern africa,sf,74,2023,698.0
