indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,5501,southern asia,8s,1,1950,160840.0
total net number of migrants,5501,southern asia,8s,2,1951,128593.0
total net number of migrants,5501,southern asia,8s,3,1952,9798.0
total net number of migrants,5501,southern asia,8s,4,1953,-214646.0
total net number of migrants,5501,southern asia,8s,5,1954,-170549.0
total net number of migrants,5501,southern asia,8s,6,1955,-186090.0
total net number of migrants,5501,southern asia,8s,7,1956,-194127.0
total net number of migrants,5501,southern asia,8s,8,1957,-243908.0
total net number of migrants,5501,southern asia,8s,9,1958,-540446.0
total net number of migrants,5501,southern asia,8s,10,1959,-93284.0
total net number of migrants,5501,southern asia,8s,11,1960,68127.0
total net number of migrants,5501,southern asia,8s,12,1961,38323.0
total net number of migrants,5501,southern asia,8s,13,1962,59297.0
total net number of migrants,5501,southern asia,8s,14,1963,11873.0
total net number of migrants,5501,southern asia,8s,15,1964,-11833.0
total net number of migrants,5501,southern asia,8s,16,1965,42414.0
total net number of migrants,5501,southern asia,8s,17,1966,-201080.0
total net number of migrants,5501,southern asia,8s,18,1967,-173662.0
total net number of migrants,5501,southern asia,8s,19,1968,-283661.0
total net number of migrants,5501,southern asia,8s,20,1969,-380348.0
total net number of migrants,5501,southern asia,8s,21,1970,-302823.0
total net number of migrants,5501,southern asia,8s,22,1971,-638609.0
total net number of migrants,5501,southern asia,8s,23,1972,-494495.0
total net number of migrants,5501,southern asia,8s,24,1973,-457010.0
total net number of migrants,5501,southern asia,8s,25,1974,-569799.0
total net number of migrants,5501,southern asia,8s,26,1975,-737979.0
total net number of migrants,5501,southern asia,8s,27,1976,-1175545.0
total net number of migrants,5501,southern asia,8s,28,1977,-506193.0
total net number of migrants,5501,southern asia,8s,29,1978,-532278.0
total net number of migrants,5501,southern asia,8s,30,1979,-469282.0
total net number of migrants,5501,southern asia,8s,31,1980,-288172.0
total net number of migrants,5501,southern asia,8s,32,1981,-113005.0
total net number of migrants,5501,southern asia,8s,33,1982,-202879.0
total net number of migrants,5501,southern asia,8s,34,1983,-106493.0
total net number of migrants,5501,southern asia,8s,35,1984,-224607.0
total net number of migrants,5501,southern asia,8s,36,1985,-245457.0
total net number of migrants,5501,southern asia,8s,37,1986,-811144.0
total net number of migrants,5501,southern asia,8s,38,1987,-680059.0
total net number of migrants,5501,southern asia,8s,39,1988,-393168.0
total net number of migrants,5501,southern asia,8s,40,1989,-239578.0
total net number of migrants,5501,southern asia,8s,41,1990,609834.0
total net number of migrants,5501,southern asia,8s,42,1991,-350661.0
total net number of migrants,5501,southern asia,8s,43,1992,25084.0
total net number of migrants,5501,southern asia,8s,44,1993,-799478.0
total net number of migrants,5501,southern asia,8s,45,1994,-14011.0
total net number of migrants,5501,southern asia,8s,46,1995,-346019.0
total net number of migrants,5501,southern asia,8s,47,1996,-410976.0
total net number of migrants,5501,southern asia,8s,48,1997,-225098.0
total net number of migrants,5501,southern asia,8s,49,1998,-164528.0
total net number of migrants,5501,southern asia,8s,50,1999,-240759.0
total net number of migrants,5501,southern asia,8s,51,2000,-479587.0
total net number of migrants,5501,southern asia,8s,52,2001,-137817.0
total net number of migrants,5501,southern asia,8s,53,2002,-910112.0
total net number of migrants,5501,southern asia,8s,54,2003,-805503.0
total net number of migrants,5501,southern asia,8s,55,2004,-1361016.0
total net number of migrants,5501,southern asia,8s,56,2005,-1596231.0
total net number of migrants,5501,southern asia,8s,57,2006,-2430167.0
total net number of migrants,5501,southern asia,8s,58,2007,-3356643.0
total net number of migrants,5501,southern asia,8s,59,2008,-2753578.0
total net number of migrants,5501,southern asia,8s,60,2009,-2132949.0
total net number of migrants,5501,southern asia,8s,61,2010,-1603057.0
total net number of migrants,5501,southern asia,8s,62,2011,-1562400.0
total net number of migrants,5501,southern asia,8s,63,2012,-2408327.0
total net number of migrants,5501,southern asia,8s,64,2013,-2729514.0
total net number of migrants,5501,southern asia,8s,65,2014,-2055666.0
total net number of migrants,5501,southern asia,8s,66,2015,-2895497.0
total net number of migrants,5501,southern asia,8s,67,2016,-2529026.0
total net number of migrants,5501,southern asia,8s,68,2017,-2174078.0
total net number of migrants,5501,southern asia,8s,69,2018,-2439100.0
total net number of migrants,5501,southern asia,8s,70,2019,-2315933.0
total net number of migrants,5501,southern asia,8s,71,2020,-458821.0
total net number of migrants,5501,southern asia,8s,72,2021,-897837.0
total net number of migrants,5501,southern asia,8s,73,2022,-1216354.0
total net number of migrants,5501,southern asia,8s,74,2023,-1215823.0
