indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,925,southern europe,ed,1,1950,-1737.0
crude rate of net migration,925,southern europe,ed,2,1951,-1888.0
crude rate of net migration,925,southern europe,ed,3,1952,-2259.0
crude rate of net migration,925,southern europe,ed,4,1953,402.0
crude rate of net migration,925,southern europe,ed,5,1954,-2626.0
crude rate of net migration,925,southern europe,ed,6,1955,-2.7
crude rate of net migration,925,southern europe,ed,7,1956,-2751.0
crude rate of net migration,925,southern europe,ed,8,1957,-2902.0
crude rate of net migration,925,southern europe,ed,9,1958,-3155.0
crude rate of net migration,925,southern europe,ed,10,1959,-3248.0
crude rate of net migration,925,southern europe,ed,11,1960,-4.03
crude rate of net migration,925,southern europe,ed,12,1961,-2972.0
crude rate of net migration,925,southern europe,ed,13,1962,-2426.0
crude rate of net migration,925,southern europe,ed,14,1963,-2347.0
crude rate of net migration,925,southern europe,ed,15,1964,-2.31
crude rate of net migration,925,southern europe,ed,16,1965,-2.43
crude rate of net migration,925,southern europe,ed,17,1966,-2388.0
crude rate of net migration,925,southern europe,ed,18,1967,-2297.0
crude rate of net migration,925,southern europe,ed,19,1968,-2529.0
crude rate of net migration,925,southern europe,ed,20,1969,-2374.0
crude rate of net migration,925,southern europe,ed,21,1970,-2866.0
crude rate of net migration,925,southern europe,ed,22,1971,-182.0
crude rate of net migration,925,southern europe,ed,23,1972,617.0
crude rate of net migration,925,southern europe,ed,24,1973,756.0
crude rate of net migration,925,southern europe,ed,25,1974,1562.0
crude rate of net migration,925,southern europe,ed,26,1975,834.0
crude rate of net migration,925,southern europe,ed,27,1976,984.0
crude rate of net migration,925,southern europe,ed,28,1977,1.0
crude rate of net migration,925,southern europe,ed,29,1978,985.0
crude rate of net migration,925,southern europe,ed,30,1979,987.0
crude rate of net migration,925,southern europe,ed,31,1980,2602.0
crude rate of net migration,925,southern europe,ed,32,1981,176.0
crude rate of net migration,925,southern europe,ed,33,1982,-296.0
crude rate of net migration,925,southern europe,ed,34,1983,-281.0
crude rate of net migration,925,southern europe,ed,35,1984,-244.0
crude rate of net migration,925,southern europe,ed,36,1985,-186.0
crude rate of net migration,925,southern europe,ed,37,1986,-0.22
crude rate of net migration,925,southern europe,ed,38,1987,-261.0
crude rate of net migration,925,southern europe,ed,39,1988,-309.0
crude rate of net migration,925,southern europe,ed,40,1989,-411.0
crude rate of net migration,925,southern europe,ed,41,1990,-573.0
crude rate of net migration,925,southern europe,ed,42,1991,-337.0
crude rate of net migration,925,southern europe,ed,43,1992,-2089.0
crude rate of net migration,925,southern europe,ed,44,1993,257.0
crude rate of net migration,925,southern europe,ed,45,1994,504.0
crude rate of net migration,925,southern europe,ed,46,1995,2113.0
crude rate of net migration,925,southern europe,ed,47,1996,2618.0
crude rate of net migration,925,southern europe,ed,48,1997,1902.0
crude rate of net migration,925,southern europe,ed,49,1998,-519.0
crude rate of net migration,925,southern europe,ed,50,1999,385.0
crude rate of net migration,925,southern europe,ed,51,2000,1452.0
crude rate of net migration,925,southern europe,ed,52,2001,1704.0
crude rate of net migration,925,southern europe,ed,53,2002,6255.0
crude rate of net migration,925,southern europe,ed,54,2003,7215.0
crude rate of net migration,925,southern europe,ed,55,2004,6353.0
crude rate of net migration,925,southern europe,ed,56,2005,5186.0
crude rate of net migration,925,southern europe,ed,57,2006,5021.0
crude rate of net migration,925,southern europe,ed,58,2007,7416.0
crude rate of net migration,925,southern europe,ed,59,2008,4523.0
crude rate of net migration,925,southern europe,ed,60,2009,1732.0
crude rate of net migration,925,southern europe,ed,61,2010,1086.0
crude rate of net migration,925,southern europe,ed,62,2011,0.69
crude rate of net migration,925,southern europe,ed,63,2012,-433.0
crude rate of net migration,925,southern europe,ed,64,2013,-1703.0
crude rate of net migration,925,southern europe,ed,65,2014,-1377.0
crude rate of net migration,925,southern europe,ed,66,2015,-387.0
crude rate of net migration,925,southern europe,ed,67,2016,244.0
crude rate of net migration,925,southern europe,ed,68,2017,992.0
crude rate of net migration,925,southern europe,ed,69,2018,2205.0
crude rate of net migration,925,southern europe,ed,70,2019,2872.0
crude rate of net migration,925,southern europe,ed,71,2020,1412.0
crude rate of net migration,925,southern europe,ed,72,2021,1774.0
crude rate of net migration,925,southern europe,ed,73,2022,591.0
crude rate of net migration,925,southern europe,ed,74,2023,593.0
