indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,275,state of palestine,ps,1,1950,-18744.0
crude rate of net migration,275,state of palestine,ps,2,1951,-18244.0
crude rate of net migration,275,state of palestine,ps,3,1952,-17812.0
crude rate of net migration,275,state of palestine,ps,4,1953,-17.43
crude rate of net migration,275,state of palestine,ps,5,1954,-17109.0
crude rate of net migration,275,state of palestine,ps,6,1955,-16832.0
crude rate of net migration,275,state of palestine,ps,7,1956,-16606.0
crude rate of net migration,275,state of palestine,ps,8,1957,-16407.0
crude rate of net migration,275,state of palestine,ps,9,1958,-16247.0
crude rate of net migration,275,state of palestine,ps,10,1959,-16215.0
crude rate of net migration,275,state of palestine,ps,11,1960,-16309.0
crude rate of net migration,275,state of palestine,ps,12,1961,-16.55
crude rate of net migration,275,state of palestine,ps,13,1962,-16938.0
crude rate of net migration,275,state of palestine,ps,14,1963,-18625.0
crude rate of net migration,275,state of palestine,ps,15,1964,-26887.0
crude rate of net migration,275,state of palestine,ps,16,1965,-31206.0
crude rate of net migration,275,state of palestine,ps,17,1966,-40.77
crude rate of net migration,275,state of palestine,ps,18,1967,-47425.0
crude rate of net migration,275,state of palestine,ps,19,1968,-47742.0
crude rate of net migration,275,state of palestine,ps,20,1969,-40056.0
crude rate of net migration,275,state of palestine,ps,21,1970,-27687.0
crude rate of net migration,275,state of palestine,ps,22,1971,-15051.0
crude rate of net migration,275,state of palestine,ps,23,1972,-6701.0
crude rate of net migration,275,state of palestine,ps,24,1973,-5617.0
crude rate of net migration,275,state of palestine,ps,25,1974,-7048.0
crude rate of net migration,275,state of palestine,ps,26,1975,-9131.0
crude rate of net migration,275,state of palestine,ps,27,1976,-11091.0
crude rate of net migration,275,state of palestine,ps,28,1977,-12217.0
crude rate of net migration,275,state of palestine,ps,29,1978,-12042.0
crude rate of net migration,275,state of palestine,ps,30,1979,-11299.0
crude rate of net migration,275,state of palestine,ps,31,1980,-10307.0
crude rate of net migration,275,state of palestine,ps,32,1981,-9229.0
crude rate of net migration,275,state of palestine,ps,33,1982,-6315.0
crude rate of net migration,275,state of palestine,ps,34,1983,426.0
crude rate of net migration,275,state of palestine,ps,35,1984,5452.0
crude rate of net migration,275,state of palestine,ps,36,1985,-18103.0
crude rate of net migration,275,state of palestine,ps,37,1986,-11793.0
crude rate of net migration,275,state of palestine,ps,38,1987,27578.0
crude rate of net migration,275,state of palestine,ps,39,1988,-1.53
crude rate of net migration,275,state of palestine,ps,40,1989,-1.48
crude rate of net migration,275,state of palestine,ps,41,1990,-224.0
crude rate of net migration,275,state of palestine,ps,42,1991,956.0
crude rate of net migration,275,state of palestine,ps,43,1992,33239.0
crude rate of net migration,275,state of palestine,ps,44,1993,2481.0
crude rate of net migration,275,state of palestine,ps,45,1994,2959.0
crude rate of net migration,275,state of palestine,ps,46,1995,3345.0
crude rate of net migration,275,state of palestine,ps,47,1996,3594.0
crude rate of net migration,275,state of palestine,ps,48,1997,3665.0
crude rate of net migration,275,state of palestine,ps,49,1998,-4443.0
crude rate of net migration,275,state of palestine,ps,50,1999,-4.54
crude rate of net migration,275,state of palestine,ps,51,2000,-3655.0
crude rate of net migration,275,state of palestine,ps,52,2001,-7.91
crude rate of net migration,275,state of palestine,ps,53,2002,-10529.0
crude rate of net migration,275,state of palestine,ps,54,2003,-10.57
crude rate of net migration,275,state of palestine,ps,55,2004,-9448.0
crude rate of net migration,275,state of palestine,ps,56,2005,-7919.0
crude rate of net migration,275,state of palestine,ps,57,2006,-6443.0
crude rate of net migration,275,state of palestine,ps,58,2007,-5454.0
crude rate of net migration,275,state of palestine,ps,59,2008,-6275.0
crude rate of net migration,275,state of palestine,ps,60,2009,-6.62
crude rate of net migration,275,state of palestine,ps,61,2010,-6575.0
crude rate of net migration,275,state of palestine,ps,62,2011,-6.5
crude rate of net migration,275,state of palestine,ps,63,2012,-6412.0
crude rate of net migration,275,state of palestine,ps,64,2013,-6279.0
crude rate of net migration,275,state of palestine,ps,65,2014,-6.16
crude rate of net migration,275,state of palestine,ps,66,2015,-5092.0
crude rate of net migration,275,state of palestine,ps,67,2016,-4945.0
crude rate of net migration,275,state of palestine,ps,68,2017,-5.4
crude rate of net migration,275,state of palestine,ps,69,2018,-5217.0
crude rate of net migration,275,state of palestine,ps,70,2019,-5026.0
crude rate of net migration,275,state of palestine,ps,71,2020,-2461.0
crude rate of net migration,275,state of palestine,ps,72,2021,-2406.0
crude rate of net migration,275,state of palestine,ps,73,2022,-952.0
crude rate of net migration,275,state of palestine,ps,74,2023,-0.93
