indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,275,state of palestine,ps,1,1950,-17881.0
total net number of migrants,275,state of palestine,ps,2,1951,-17558.0
total net number of migrants,275,state of palestine,ps,3,1952,-17309.0
total net number of migrants,275,state of palestine,ps,4,1953,-17118.0
total net number of migrants,275,state of palestine,ps,5,1954,-16997.0
total net number of migrants,275,state of palestine,ps,6,1955,-16930.0
total net number of migrants,275,state of palestine,ps,7,1956,-16925.0
total net number of migrants,275,state of palestine,ps,8,1957,-16958.0
total net number of migrants,275,state of palestine,ps,9,1958,-17044.0
total net number of migrants,275,state of palestine,ps,10,1959,-17278.0
total net number of migrants,275,state of palestine,ps,11,1960,-17662.0
total net number of migrants,275,state of palestine,ps,12,1961,-18224.0
total net number of migrants,275,state of palestine,ps,13,1962,-18971.0
total net number of migrants,275,state of palestine,ps,14,1963,-21220.0
total net number of migrants,275,state of palestine,ps,15,1964,-31125.0
total net number of migrants,275,state of palestine,ps,16,1965,-36419.0
total net number of migrants,275,state of palestine,ps,17,1966,-47780.0
total net number of migrants,275,state of palestine,ps,18,1967,-55265.0
total net number of migrants,275,state of palestine,ps,19,1968,-54963.0
total net number of migrants,275,state of palestine,ps,20,1969,-45586.0
total net number of migrants,275,state of palestine,ps,21,1970,-31405.0
total net number of migrants,275,state of palestine,ps,22,1971,-17235.0
total net number of migrants,275,state of palestine,ps,23,1972,-7848.0
total net number of migrants,275,state of palestine,ps,24,1973,-6736.0
total net number of migrants,275,state of palestine,ps,25,1974,-8670.0
total net number of migrants,275,state of palestine,ps,26,1975,-11596.0
total net number of migrants,275,state of palestine,ps,27,1976,-14515.0
total net number of migrants,275,state of palestine,ps,28,1977,-16444.0
total net number of migrants,275,state of palestine,ps,29,1978,-16654.0
total net number of migrants,275,state of palestine,ps,30,1979,-16058.0
total net number of migrants,275,state of palestine,ps,31,1980,-15067.0
total net number of migrants,275,state of palestine,ps,32,1981,-13892.0
total net number of migrants,275,state of palestine,ps,33,1982,-9799.0
total net number of migrants,275,state of palestine,ps,34,1983,684.0
total net number of migrants,275,state of palestine,ps,35,1984,9108.0
total net number of migrants,275,state of palestine,ps,36,1985,-31640.0
total net number of migrants,275,state of palestine,ps,37,1986,-21071.0
total net number of migrants,275,state of palestine,ps,38,1987,50702.0
total net number of migrants,275,state of palestine,ps,39,1988,-3008.0
total net number of migrants,275,state of palestine,ps,40,1989,-3026.0
total net number of migrants,275,state of palestine,ps,41,1990,-476.0
total net number of migrants,275,state of palestine,ps,42,1991,2116.0
total net number of migrants,275,state of palestine,ps,43,1992,4411.0
total net number of migrants,275,state of palestine,ps,44,1993,5975.0
total net number of migrants,275,state of palestine,ps,45,1994,7434.0
total net number of migrants,275,state of palestine,ps,46,1995,8763.0
total net number of migrants,275,state of palestine,ps,47,1996,9810.0
total net number of migrants,275,state of palestine,ps,48,1997,10417.0
total net number of migrants,275,state of palestine,ps,49,1998,-13145.0
total net number of migrants,275,state of palestine,ps,50,1999,-13857.0
total net number of migrants,275,state of palestine,ps,51,2000,-11501.0
total net number of migrants,275,state of palestine,ps,52,2001,-25657.0
total net number of migrants,275,state of palestine,ps,53,2002,-35034.0
total net number of migrants,275,state of palestine,ps,54,2003,-35960.0
total net number of migrants,275,state of palestine,ps,55,2004,-32854.0
total net number of migrants,275,state of palestine,ps,56,2005,-28157.0
total net number of migrants,275,state of palestine,ps,57,2006,-23450.0
total net number of migrants,275,state of palestine,ps,58,2007,-20334.0
total net number of migrants,275,state of palestine,ps,59,2008,-23981.0
total net number of migrants,275,state of palestine,ps,60,2009,-25908.0
total net number of migrants,275,state of palestine,ps,61,2010,-26350.0
total net number of migrants,275,state of palestine,ps,62,2011,-26662.0
total net number of migrants,275,state of palestine,ps,63,2012,-26918.0
total net number of migrants,275,state of palestine,ps,64,2013,-26976.0
total net number of migrants,275,state of palestine,ps,65,2014,-27076.0
total net number of migrants,275,state of palestine,ps,66,2015,-22904.0
total net number of migrants,275,state of palestine,ps,67,2016,-22774.0
total net number of migrants,275,state of palestine,ps,68,2017,-25452.0
total net number of migrants,275,state of palestine,ps,69,2018,-25137.0
total net number of migrants,275,state of palestine,ps,70,2019,-24737.0
total net number of migrants,275,state of palestine,ps,71,2020,-12369.0
total net number of migrants,275,state of palestine,ps,72,2021,-12369.0
total net number of migrants,275,state of palestine,ps,73,2022,-5000.0
total net number of migrants,275,state of palestine,ps,74,2023,-5000.0
