indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,947,sub-saharan africa,ah,1,1950,-26.0
crude rate of net migration,947,sub-saharan africa,ah,2,1951,-0.14
crude rate of net migration,947,sub-saharan africa,ah,3,1952,-386.0
crude rate of net migration,947,sub-saharan africa,ah,4,1953,-909.0
crude rate of net migration,947,sub-saharan africa,ah,5,1954,-841.0
crude rate of net migration,947,sub-saharan africa,ah,6,1955,-894.0
crude rate of net migration,947,sub-saharan africa,ah,7,1956,-918.0
crude rate of net migration,947,sub-saharan africa,ah,8,1957,-964.0
crude rate of net migration,947,sub-saharan africa,ah,9,1958,-1524.0
crude rate of net migration,947,sub-saharan africa,ah,10,1959,-693.0
crude rate of net migration,947,sub-saharan africa,ah,11,1960,-412.0
crude rate of net migration,947,sub-saharan africa,ah,12,1961,-198.0
crude rate of net migration,947,sub-saharan africa,ah,13,1962,-275.0
crude rate of net migration,947,sub-saharan africa,ah,14,1963,-239.0
crude rate of net migration,947,sub-saharan africa,ah,15,1964,-43.0
crude rate of net migration,947,sub-saharan africa,ah,16,1965,-47.0
crude rate of net migration,947,sub-saharan africa,ah,17,1966,-147.0
crude rate of net migration,947,sub-saharan africa,ah,18,1967,34.0
crude rate of net migration,947,sub-saharan africa,ah,19,1968,0.05
crude rate of net migration,947,sub-saharan africa,ah,20,1969,-88.0
crude rate of net migration,947,sub-saharan africa,ah,21,1970,24.0
crude rate of net migration,947,sub-saharan africa,ah,22,1971,-594.0
crude rate of net migration,947,sub-saharan africa,ah,23,1972,-613.0
crude rate of net migration,947,sub-saharan africa,ah,24,1973,-73.0
crude rate of net migration,947,sub-saharan africa,ah,25,1974,146.0
crude rate of net migration,947,sub-saharan africa,ah,26,1975,-102.0
crude rate of net migration,947,sub-saharan africa,ah,27,1976,-643.0
crude rate of net migration,947,sub-saharan africa,ah,28,1977,-1631.0
crude rate of net migration,947,sub-saharan africa,ah,29,1978,988.0
crude rate of net migration,947,sub-saharan africa,ah,30,1979,-211.0
crude rate of net migration,947,sub-saharan africa,ah,31,1980,-1622.0
crude rate of net migration,947,sub-saharan africa,ah,32,1981,216.0
crude rate of net migration,947,sub-saharan africa,ah,33,1982,197.0
crude rate of net migration,947,sub-saharan africa,ah,34,1983,-1336.0
crude rate of net migration,947,sub-saharan africa,ah,35,1984,-0.02
crude rate of net migration,947,sub-saharan africa,ah,36,1985,212.0
crude rate of net migration,947,sub-saharan africa,ah,37,1986,577.0
crude rate of net migration,947,sub-saharan africa,ah,38,1987,599.0
crude rate of net migration,947,sub-saharan africa,ah,39,1988,-162.0
crude rate of net migration,947,sub-saharan africa,ah,40,1989,0.14
crude rate of net migration,947,sub-saharan africa,ah,41,1990,-455.0
crude rate of net migration,947,sub-saharan africa,ah,42,1991,-652.0
crude rate of net migration,947,sub-saharan africa,ah,43,1992,-841.0
crude rate of net migration,947,sub-saharan africa,ah,44,1993,-746.0
crude rate of net migration,947,sub-saharan africa,ah,45,1994,-961.0
crude rate of net migration,947,sub-saharan africa,ah,46,1995,-283.0
crude rate of net migration,947,sub-saharan africa,ah,47,1996,-945.0
crude rate of net migration,947,sub-saharan africa,ah,48,1997,-1156.0
crude rate of net migration,947,sub-saharan africa,ah,49,1998,-634.0
crude rate of net migration,947,sub-saharan africa,ah,50,1999,-0.78
crude rate of net migration,947,sub-saharan africa,ah,51,2000,-775.0
crude rate of net migration,947,sub-saharan africa,ah,52,2001,-0.46
crude rate of net migration,947,sub-saharan africa,ah,53,2002,-0.48
crude rate of net migration,947,sub-saharan africa,ah,54,2003,-427.0
crude rate of net migration,947,sub-saharan africa,ah,55,2004,-412.0
crude rate of net migration,947,sub-saharan africa,ah,56,2005,-668.0
crude rate of net migration,947,sub-saharan africa,ah,57,2006,-647.0
crude rate of net migration,947,sub-saharan africa,ah,58,2007,-0.54
crude rate of net migration,947,sub-saharan africa,ah,59,2008,-666.0
crude rate of net migration,947,sub-saharan africa,ah,60,2009,-747.0
crude rate of net migration,947,sub-saharan africa,ah,61,2010,-363.0
crude rate of net migration,947,sub-saharan africa,ah,62,2011,-629.0
crude rate of net migration,947,sub-saharan africa,ah,63,2012,-563.0
crude rate of net migration,947,sub-saharan africa,ah,64,2013,-312.0
crude rate of net migration,947,sub-saharan africa,ah,65,2014,-593.0
crude rate of net migration,947,sub-saharan africa,ah,66,2015,-18.0
crude rate of net migration,947,sub-saharan africa,ah,67,2016,-1133.0
crude rate of net migration,947,sub-saharan africa,ah,68,2017,-713.0
crude rate of net migration,947,sub-saharan africa,ah,69,2018,-659.0
crude rate of net migration,947,sub-saharan africa,ah,70,2019,-448.0
crude rate of net migration,947,sub-saharan africa,ah,71,2020,-133.0
crude rate of net migration,947,sub-saharan africa,ah,72,2021,-376.0
crude rate of net migration,947,sub-saharan africa,ah,73,2022,-386.0
crude rate of net migration,947,sub-saharan africa,ah,74,2023,-372.0
