indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,947,sub-saharan africa,ah,1,1950,-4600.0
total net number of migrants,947,sub-saharan africa,ah,2,1951,-25436.0
total net number of migrants,947,sub-saharan africa,ah,3,1952,-71434.0
total net number of migrants,947,sub-saharan africa,ah,4,1953,-171911.0
total net number of migrants,947,sub-saharan africa,ah,5,1954,-162311.0
total net number of migrants,947,sub-saharan africa,ah,6,1955,-176388.0
total net number of migrants,947,sub-saharan africa,ah,7,1956,-185079.0
total net number of migrants,947,sub-saharan africa,ah,8,1957,-198661.0
total net number of migrants,947,sub-saharan africa,ah,9,1958,-320784.0
total net number of migrants,947,sub-saharan africa,ah,10,1959,-149017.0
total net number of migrants,947,sub-saharan africa,ah,11,1960,-90658.0
total net number of migrants,947,sub-saharan africa,ah,12,1961,-44718.0
total net number of migrants,947,sub-saharan africa,ah,13,1962,-63633.0
total net number of migrants,947,sub-saharan africa,ah,14,1963,-56496.0
total net number of migrants,947,sub-saharan africa,ah,15,1964,-10350.0
total net number of migrants,947,sub-saharan africa,ah,16,1965,-11763.0
total net number of migrants,947,sub-saharan africa,ah,17,1966,-37500.0
total net number of migrants,947,sub-saharan africa,ah,18,1967,8909.0
total net number of migrants,947,sub-saharan africa,ah,19,1968,13538.0
total net number of migrants,947,sub-saharan africa,ah,20,1969,-24269.0
total net number of migrants,947,sub-saharan africa,ah,21,1970,6796.0
total net number of migrants,947,sub-saharan africa,ah,22,1971,-172970.0
total net number of migrants,947,sub-saharan africa,ah,23,1972,-183008.0
total net number of migrants,947,sub-saharan africa,ah,24,1973,-22279.0
total net number of migrants,947,sub-saharan africa,ah,25,1974,45885.0
total net number of migrants,947,sub-saharan africa,ah,26,1975,-32947.0
total net number of migrants,947,sub-saharan africa,ah,27,1976,-214287.0
total net number of migrants,947,sub-saharan africa,ah,28,1977,-559073.0
total net number of migrants,947,sub-saharan africa,ah,29,1978,348002.0
total net number of migrants,947,sub-saharan africa,ah,30,1979,-76497.0
total net number of migrants,947,sub-saharan africa,ah,31,1980,-605558.0
total net number of migrants,947,sub-saharan africa,ah,32,1981,82865.0
total net number of migrants,947,sub-saharan africa,ah,33,1982,77811.0
total net number of migrants,947,sub-saharan africa,ah,34,1983,-543644.0
total net number of migrants,947,sub-saharan africa,ah,35,1984,-8446.0
total net number of migrants,947,sub-saharan africa,ah,36,1985,91315.0
total net number of migrants,947,sub-saharan africa,ah,37,1986,255429.0
total net number of migrants,947,sub-saharan africa,ah,38,1987,273344.0
total net number of migrants,947,sub-saharan africa,ah,39,1988,-76171.0
total net number of migrants,947,sub-saharan africa,ah,40,1989,67749.0
total net number of migrants,947,sub-saharan africa,ah,41,1990,-226320.0
total net number of migrants,947,sub-saharan africa,ah,42,1991,-333313.0
total net number of migrants,947,sub-saharan africa,ah,43,1992,-441487.0
total net number of migrants,947,sub-saharan africa,ah,44,1993,-402199.0
total net number of migrants,947,sub-saharan africa,ah,45,1994,-531717.0
total net number of migrants,947,sub-saharan africa,ah,46,1995,-160596.0
total net number of migrants,947,sub-saharan africa,ah,47,1996,-551407.0
total net number of migrants,947,sub-saharan africa,ah,48,1997,-692207.0
total net number of migrants,947,sub-saharan africa,ah,49,1998,-389228.0
total net number of migrants,947,sub-saharan africa,ah,50,1999,-491405.0
total net number of migrants,947,sub-saharan africa,ah,51,2000,-501302.0
total net number of migrants,947,sub-saharan africa,ah,52,2001,-305549.0
total net number of migrants,947,sub-saharan africa,ah,53,2002,-327273.0
total net number of migrants,947,sub-saharan africa,ah,54,2003,-299182.0
total net number of migrants,947,sub-saharan africa,ah,55,2004,-296878.0
total net number of migrants,947,sub-saharan africa,ah,56,2005,-494126.0
total net number of migrants,947,sub-saharan africa,ah,57,2006,-491883.0
total net number of migrants,947,sub-saharan africa,ah,58,2007,-422013.0
total net number of migrants,947,sub-saharan africa,ah,59,2008,-534941.0
total net number of migrants,947,sub-saharan africa,ah,60,2009,-616633.0
total net number of migrants,947,sub-saharan africa,ah,61,2010,-307973.0
total net number of migrants,947,sub-saharan africa,ah,62,2011,-548685.0
total net number of migrants,947,sub-saharan africa,ah,63,2012,-504475.0
total net number of migrants,947,sub-saharan africa,ah,64,2013,-287585.0
total net number of migrants,947,sub-saharan africa,ah,65,2014,-561673.0
total net number of migrants,947,sub-saharan africa,ah,66,2015,-17301.0
total net number of migrants,947,sub-saharan africa,ah,67,2016,-1132985.0
total net number of migrants,947,sub-saharan africa,ah,68,2017,-731655.0
total net number of migrants,947,sub-saharan africa,ah,69,2018,-694481.0
total net number of migrants,947,sub-saharan africa,ah,70,2019,-484702.0
total net number of migrants,947,sub-saharan africa,ah,71,2020,-147723.0
total net number of migrants,947,sub-saharan africa,ah,72,2021,-427925.0
total net number of migrants,947,sub-saharan africa,ah,73,2022,-450072.0
total net number of migrants,947,sub-saharan africa,ah,74,2023,-444768.0
