indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,729,sudan,sd,1,1950,539.0
crude rate of net migration,729,sudan,sd,2,1951,0.45
crude rate of net migration,729,sudan,sd,3,1952,137.0
crude rate of net migration,729,sudan,sd,4,1953,-437.0
crude rate of net migration,729,sudan,sd,5,1954,-304.0
crude rate of net migration,729,sudan,sd,6,1955,-326.0
crude rate of net migration,729,sudan,sd,7,1956,-331.0
crude rate of net migration,729,sudan,sd,8,1957,-412.0
crude rate of net migration,729,sudan,sd,9,1958,-1116.0
crude rate of net migration,729,sudan,sd,10,1959,-78.0
crude rate of net migration,729,sudan,sd,11,1960,263.0
crude rate of net migration,729,sudan,sd,12,1961,455.0
crude rate of net migration,729,sudan,sd,13,1962,495.0
crude rate of net migration,729,sudan,sd,14,1963,467.0
crude rate of net migration,729,sudan,sd,15,1964,478.0
crude rate of net migration,729,sudan,sd,16,1965,656.0
crude rate of net migration,729,sudan,sd,17,1966,281.0
crude rate of net migration,729,sudan,sd,18,1967,436.0
crude rate of net migration,729,sudan,sd,19,1968,261.0
crude rate of net migration,729,sudan,sd,20,1969,227.0
crude rate of net migration,729,sudan,sd,21,1970,395.0
crude rate of net migration,729,sudan,sd,22,1971,-306.0
crude rate of net migration,729,sudan,sd,23,1972,186.0
crude rate of net migration,729,sudan,sd,24,1973,464.0
crude rate of net migration,729,sudan,sd,25,1974,7775.0
crude rate of net migration,729,sudan,sd,26,1975,7845.0
crude rate of net migration,729,sudan,sd,27,1976,7463.0
crude rate of net migration,729,sudan,sd,28,1977,8864.0
crude rate of net migration,729,sudan,sd,29,1978,8841.0
crude rate of net migration,729,sudan,sd,30,1979,8825.0
crude rate of net migration,729,sudan,sd,31,1980,9112.0
crude rate of net migration,729,sudan,sd,32,1981,8525.0
crude rate of net migration,729,sudan,sd,33,1982,4609.0
crude rate of net migration,729,sudan,sd,34,1983,-2895.0
crude rate of net migration,729,sudan,sd,35,1984,-9807.0
crude rate of net migration,729,sudan,sd,36,1985,-10574.0
crude rate of net migration,729,sudan,sd,37,1986,-11241.0
crude rate of net migration,729,sudan,sd,38,1987,-11011.0
crude rate of net migration,729,sudan,sd,39,1988,-10668.0
crude rate of net migration,729,sudan,sd,40,1989,-10798.0
crude rate of net migration,729,sudan,sd,41,1990,-10712.0
crude rate of net migration,729,sudan,sd,42,1991,-11793.0
crude rate of net migration,729,sudan,sd,43,1992,-11354.0
crude rate of net migration,729,sudan,sd,44,1993,-3939.0
crude rate of net migration,729,sudan,sd,45,1994,-3095.0
crude rate of net migration,729,sudan,sd,46,1995,-3073.0
crude rate of net migration,729,sudan,sd,47,1996,-2377.0
crude rate of net migration,729,sudan,sd,48,1997,-1934.0
crude rate of net migration,729,sudan,sd,49,1998,-1924.0
crude rate of net migration,729,sudan,sd,50,1999,-2291.0
crude rate of net migration,729,sudan,sd,51,2000,-3063.0
crude rate of net migration,729,sudan,sd,52,2001,-5042.0
crude rate of net migration,729,sudan,sd,53,2002,-5783.0
crude rate of net migration,729,sudan,sd,54,2003,-5292.0
crude rate of net migration,729,sudan,sd,55,2004,-3004.0
crude rate of net migration,729,sudan,sd,56,2005,-0.36
crude rate of net migration,729,sudan,sd,57,2006,-408.0
crude rate of net migration,729,sudan,sd,58,2007,-441.0
crude rate of net migration,729,sudan,sd,59,2008,-2246.0
crude rate of net migration,729,sudan,sd,60,2009,-2408.0
crude rate of net migration,729,sudan,sd,61,2010,-9.78
crude rate of net migration,729,sudan,sd,62,2011,-9748.0
crude rate of net migration,729,sudan,sd,63,2012,-6.28
crude rate of net migration,729,sudan,sd,64,2013,-5135.0
crude rate of net migration,729,sudan,sd,65,2014,44987.0
crude rate of net migration,729,sudan,sd,66,2015,1286.0
crude rate of net migration,729,sudan,sd,67,2016,2482.0
crude rate of net migration,729,sudan,sd,68,2017,4668.0
crude rate of net migration,729,sudan,sd,69,2018,1768.0
crude rate of net migration,729,sudan,sd,70,2019,-681.0
crude rate of net migration,729,sudan,sd,71,2020,2.0
crude rate of net migration,729,sudan,sd,72,2021,-333.0
crude rate of net migration,729,sudan,sd,73,2022,-213.0
crude rate of net migration,729,sudan,sd,74,2023,-208.0
