indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,752,sweden,se,1,1950,1569.0
crude rate of net migration,752,sweden,se,2,1951,1461.0
crude rate of net migration,752,sweden,se,3,1952,1383.0
crude rate of net migration,752,sweden,se,4,1953,1346.0
crude rate of net migration,752,sweden,se,5,1954,1331.0
crude rate of net migration,752,sweden,se,6,1955,1352.0
crude rate of net migration,752,sweden,se,7,1956,14977.0
crude rate of net migration,752,sweden,se,8,1957,1506.0
crude rate of net migration,752,sweden,se,9,1958,1638.0
crude rate of net migration,752,sweden,se,10,1959,28856.0
crude rate of net migration,752,sweden,se,11,1960,1976.0
crude rate of net migration,752,sweden,se,12,1961,2139.0
crude rate of net migration,752,sweden,se,13,1962,2269.0
crude rate of net migration,752,sweden,se,14,1963,2359.0
crude rate of net migration,752,sweden,se,15,1964,2433.0
crude rate of net migration,752,sweden,se,16,1965,2469.0
crude rate of net migration,752,sweden,se,17,1966,2467.0
crude rate of net migration,752,sweden,se,18,1967,2411.0
crude rate of net migration,752,sweden,se,19,1968,2305.0
crude rate of net migration,752,sweden,se,20,1969,2174.0
crude rate of net migration,752,sweden,se,21,1970,1967.0
crude rate of net migration,752,sweden,se,22,1971,28491.0
crude rate of net migration,752,sweden,se,23,1972,1619.0
crude rate of net migration,752,sweden,se,24,1973,17899.0
crude rate of net migration,752,sweden,se,25,1974,1374.0
crude rate of net migration,752,sweden,se,26,1975,1289.0
crude rate of net migration,752,sweden,se,27,1976,1242.0
crude rate of net migration,752,sweden,se,28,1977,1223.0
crude rate of net migration,752,sweden,se,29,1978,1233.0
crude rate of net migration,752,sweden,se,30,1979,1257.0
crude rate of net migration,752,sweden,se,31,1980,1345.0
crude rate of net migration,752,sweden,se,32,1981,1422.0
crude rate of net migration,752,sweden,se,33,1982,1499.0
crude rate of net migration,752,sweden,se,34,1983,1576.0
crude rate of net migration,752,sweden,se,35,1984,1652.0
crude rate of net migration,752,sweden,se,36,1985,1734.0
crude rate of net migration,752,sweden,se,37,1986,1808.0
crude rate of net migration,752,sweden,se,38,1987,1875.0
crude rate of net migration,752,sweden,se,39,1988,1952.0
crude rate of net migration,752,sweden,se,40,1989,2017.0
crude rate of net migration,752,sweden,se,41,1990,2075.0
crude rate of net migration,752,sweden,se,42,1991,2157.0
crude rate of net migration,752,sweden,se,43,1992,2244.0
crude rate of net migration,752,sweden,se,44,1993,2338.0
crude rate of net migration,752,sweden,se,45,1994,2432.0
crude rate of net migration,752,sweden,se,46,1995,2534.0
crude rate of net migration,752,sweden,se,47,1996,2647.0
crude rate of net migration,752,sweden,se,48,1997,27426.0
crude rate of net migration,752,sweden,se,49,1998,2882.0
crude rate of net migration,752,sweden,se,50,1999,3005.0
crude rate of net migration,752,sweden,se,51,2000,3131.0
crude rate of net migration,752,sweden,se,52,2001,3293.0
crude rate of net migration,752,sweden,se,53,2002,3486.0
crude rate of net migration,752,sweden,se,54,2003,3739.0
crude rate of net migration,752,sweden,se,55,2004,4011.0
crude rate of net migration,752,sweden,se,56,2005,4329.0
crude rate of net migration,752,sweden,se,57,2006,4687.0
crude rate of net migration,752,sweden,se,58,2007,5074.0
crude rate of net migration,752,sweden,se,59,2008,5505.0
crude rate of net migration,752,sweden,se,60,2009,5974.0
crude rate of net migration,752,sweden,se,61,2010,6484.0
crude rate of net migration,752,sweden,se,62,2011,6933.0
crude rate of net migration,752,sweden,se,63,2012,7294.0
crude rate of net migration,752,sweden,se,64,2013,7581.0
crude rate of net migration,752,sweden,se,65,2014,7793.0
crude rate of net migration,752,sweden,se,66,2015,34881.0
crude rate of net migration,752,sweden,se,67,2016,8036.0
crude rate of net migration,752,sweden,se,68,2017,8063.0
crude rate of net migration,752,sweden,se,69,2018,8052.0
crude rate of net migration,752,sweden,se,70,2019,7978.0
crude rate of net migration,752,sweden,se,71,2020,31229.0
crude rate of net migration,752,sweden,se,72,2021,7682.0
crude rate of net migration,752,sweden,se,73,2022,3799.0
crude rate of net migration,752,sweden,se,74,2023,3776.0
