indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,752,sweden,se,1,1950,10997.0
total net number of migrants,752,sweden,se,2,1951,10316.0
total net number of migrants,752,sweden,se,3,1952,9840.0
total net number of migrants,752,sweden,se,4,1953,9647.0
total net number of migrants,752,sweden,se,5,1954,9601.0
total net number of migrants,752,sweden,se,6,1955,9814.0
total net number of migrants,752,sweden,se,7,1956,10303.0
total net number of migrants,752,sweden,se,8,1957,11071.0
total net number of migrants,752,sweden,se,9,1958,12113.0
total net number of migrants,752,sweden,se,10,1959,13324.0
total net number of migrants,752,sweden,se,11,1960,14792.0
total net number of migrants,752,sweden,se,12,1961,16108.0
total net number of migrants,752,sweden,se,13,1962,17188.0
total net number of migrants,752,sweden,se,14,1963,17993.0
total net number of migrants,752,sweden,se,15,1964,18697.0
total net number of migrants,752,sweden,se,16,1965,19129.0
total net number of migrants,752,sweden,se,17,1966,19267.0
total net number of migrants,752,sweden,se,18,1967,18977.0
total net number of migrants,752,sweden,se,19,1968,18272.0
total net number of migrants,752,sweden,se,20,1969,17334.0
total net number of migrants,752,sweden,se,21,1970,15779.0
total net number of migrants,752,sweden,se,22,1971,14363.0
total net number of migrants,752,sweden,se,23,1972,13131.0
total net number of migrants,752,sweden,se,24,1973,12147.0
total net number of migrants,752,sweden,se,25,1974,11254.0
total net number of migrants,752,sweden,se,26,1975,10588.0
total net number of migrants,752,sweden,se,27,1976,10238.0
total net number of migrants,752,sweden,se,28,1977,10098.0
total net number of migrants,752,sweden,se,29,1978,10204.0
total net number of migrants,752,sweden,se,30,1979,10422.0
total net number of migrants,752,sweden,se,31,1980,11174.0
total net number of migrants,752,sweden,se,32,1981,11834.0
total net number of migrants,752,sweden,se,33,1982,12496.0
total net number of migrants,752,sweden,se,34,1983,13153.0
total net number of migrants,752,sweden,se,35,1984,13823.0
total net number of migrants,752,sweden,se,36,1985,14534.0
total net number of migrants,752,sweden,se,37,1986,15194.0
total net number of migrants,752,sweden,se,38,1987,15812.0
total net number of migrants,752,sweden,se,39,1988,16519.0
total net number of migrants,752,sweden,se,40,1989,17140.0
total net number of migrants,752,sweden,se,41,1990,17724.0
total net number of migrants,752,sweden,se,42,1991,18514.0
total net number of migrants,752,sweden,se,43,1992,19363.0
total net number of migrants,752,sweden,se,44,1993,20278.0
total net number of migrants,752,sweden,se,45,1994,21185.0
total net number of migrants,752,sweden,se,46,1995,22161.0
total net number of migrants,752,sweden,se,47,1996,23219.0
total net number of migrants,752,sweden,se,48,1997,24183.0
total net number of migrants,752,sweden,se,49,1998,25405.0
total net number of migrants,752,sweden,se,50,1999,26554.0
total net number of migrants,752,sweden,se,51,2000,27734.0
total net number of migrants,752,sweden,se,52,2001,29249.0
total net number of migrants,752,sweden,se,53,2002,31068.0
total net number of migrants,752,sweden,se,54,2003,33445.0
total net number of migrants,752,sweden,se,55,2004,36044.0
total net number of migrants,752,sweden,se,56,2005,39103.0
total net number of migrants,752,sweden,se,57,2006,42580.0
total net number of migrants,752,sweden,se,58,2007,46383.0
total net number of migrants,752,sweden,se,59,2008,50669.0
total net number of migrants,752,sweden,se,60,2009,55405.0
total net number of migrants,752,sweden,se,61,2010,60639.0
total net number of migrants,752,sweden,se,62,2011,65397.0
total net number of migrants,752,sweden,se,63,2012,69451.0
total net number of migrants,752,sweden,se,64,2013,72873.0
total net number of migrants,752,sweden,se,65,2014,75670.0
total net number of migrants,752,sweden,se,66,2015,77987.0
total net number of migrants,752,sweden,se,67,2016,79667.0
total net number of migrants,752,sweden,se,68,2017,80765.0
total net number of migrants,752,sweden,se,69,2018,81492.0
total net number of migrants,752,sweden,se,70,2019,81585.0
total net number of migrants,752,sweden,se,71,2020,81066.0
total net number of migrants,752,sweden,se,72,2021,80097.0
total net number of migrants,752,sweden,se,73,2022,39998.0
total net number of migrants,752,sweden,se,74,2023,39998.0
