indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,760,syrian arab republic,sy,1,1950,0
total net number of migrants,760,syrian arab republic,sy,2,1951,0
total net number of migrants,760,syrian arab republic,sy,3,1952,0
total net number of migrants,760,syrian arab republic,sy,4,1953,0
total net number of migrants,760,syrian arab republic,sy,5,1954,0
total net number of migrants,760,syrian arab republic,sy,6,1955,0
total net number of migrants,760,syrian arab republic,sy,7,1956,0
total net number of migrants,760,syrian arab republic,sy,8,1957,0
total net number of migrants,760,syrian arab republic,sy,9,1958,0
total net number of migrants,760,syrian arab republic,sy,10,1959,0
total net number of migrants,760,syrian arab republic,sy,11,1960,0
total net number of migrants,760,syrian arab republic,sy,12,1961,-7368
total net number of migrants,760,syrian arab republic,sy,13,1962,-7602
total net number of migrants,760,syrian arab republic,sy,14,1963,-7918
total net number of migrants,760,syrian arab republic,sy,15,1964,-8365
total net number of migrants,760,syrian arab republic,sy,16,1965,-9099
total net number of migrants,760,syrian arab republic,sy,17,1966,-10245
total net number of migrants,760,syrian arab republic,sy,18,1967,-11981
total net number of migrants,760,syrian arab republic,sy,19,1968,-14193
total net number of migrants,760,syrian arab republic,sy,20,1969,-16578
total net number of migrants,760,syrian arab republic,sy,21,1970,-19260
total net number of migrants,760,syrian arab republic,sy,22,1971,-13486
total net number of migrants,760,syrian arab republic,sy,23,1972,-15537
total net number of migrants,760,syrian arab republic,sy,24,1973,-17352
total net number of migrants,760,syrian arab republic,sy,25,1974,-19620
total net number of migrants,760,syrian arab republic,sy,26,1975,-21100
total net number of migrants,760,syrian arab republic,sy,27,1976,-22324
total net number of migrants,760,syrian arab republic,sy,28,1977,-24316
total net number of migrants,760,syrian arab republic,sy,29,1978,-26537
total net number of migrants,760,syrian arab republic,sy,30,1979,-28341
total net number of migrants,760,syrian arab republic,sy,31,1980,-28012
total net number of migrants,760,syrian arab republic,sy,32,1981,-21022
total net number of migrants,760,syrian arab republic,sy,33,1982,-13552
total net number of migrants,760,syrian arab republic,sy,34,1983,-12486
total net number of migrants,760,syrian arab republic,sy,35,1984,-13170
total net number of migrants,760,syrian arab republic,sy,36,1985,-12623
total net number of migrants,760,syrian arab republic,sy,37,1986,-12927
total net number of migrants,760,syrian arab republic,sy,38,1987,-12956
total net number of migrants,760,syrian arab republic,sy,39,1988,-12793
total net number of migrants,760,syrian arab republic,sy,40,1989,-12471
total net number of migrants,760,syrian arab republic,sy,41,1990,-12182
total net number of migrants,760,syrian arab republic,sy,42,1991,-11960
total net number of migrants,760,syrian arab republic,sy,43,1992,-11272
total net number of migrants,760,syrian arab republic,sy,44,1993,-11553
total net number of migrants,760,syrian arab republic,sy,45,1994,-18146
total net number of migrants,760,syrian arab republic,sy,46,1995,-13569
total net number of migrants,760,syrian arab republic,sy,47,1996,-16245
total net number of migrants,760,syrian arab republic,sy,48,1997,-16907
total net number of migrants,760,syrian arab republic,sy,49,1998,-17572
total net number of migrants,760,syrian arab republic,sy,50,1999,-18162
total net number of migrants,760,syrian arab republic,sy,51,2000,-18458
total net number of migrants,760,syrian arab republic,sy,52,2001,-18374
total net number of migrants,760,syrian arab republic,sy,53,2002,-17963
total net number of migrants,760,syrian arab republic,sy,54,2003,-17451
total net number of migrants,760,syrian arab republic,sy,55,2004,10911
total net number of migrants,760,syrian arab republic,sy,56,2005,13431
total net number of migrants,760,syrian arab republic,sy,57,2006,682984
total net number of migrants,760,syrian arab republic,sy,58,2007,801533
total net number of migrants,760,syrian arab republic,sy,59,2008,-402356
total net number of migrants,760,syrian arab republic,sy,60,2009,-52701
total net number of migrants,760,syrian arab republic,sy,61,2010,-54336
total net number of migrants,760,syrian arab republic,sy,62,2011,-256835
total net number of migrants,760,syrian arab republic,sy,63,2012,-999191
total net number of migrants,760,syrian arab republic,sy,64,2013,-2081259
total net number of migrants,760,syrian arab republic,sy,65,2014,-1457678
total net number of migrants,760,syrian arab republic,sy,66,2015,-827474
total net number of migrants,760,syrian arab republic,sy,67,2016,-133823
total net number of migrants,760,syrian arab republic,sy,68,2017,-293599
total net number of migrants,760,syrian arab republic,sy,69,2018,513647
total net number of migrants,760,syrian arab republic,sy,70,2019,500572
total net number of migrants,760,syrian arab republic,sy,71,2020,270006
total net number of migrants,760,syrian arab republic,sy,72,2021,212187
total net number of migrants,760,syrian arab republic,sy,73,2022,734304
total net number of migrants,760,syrian arab republic,sy,74,2023,757103
