indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,762,tajikistan,tj,1,1950,15428.0
crude rate of net migration,762,tajikistan,tj,2,1951,11574.0
crude rate of net migration,762,tajikistan,tj,3,1952,8389.0
crude rate of net migration,762,tajikistan,tj,4,1953,30072.0
crude rate of net migration,762,tajikistan,tj,5,1954,3814.0
crude rate of net migration,762,tajikistan,tj,6,1955,2354.0
crude rate of net migration,762,tajikistan,tj,7,1956,1391.0
crude rate of net migration,762,tajikistan,tj,8,1957,911.0
crude rate of net migration,762,tajikistan,tj,9,1958,953.0
crude rate of net migration,762,tajikistan,tj,10,1959,1655.0
crude rate of net migration,762,tajikistan,tj,11,1960,1156.0
crude rate of net migration,762,tajikistan,tj,12,1961,1489.0
crude rate of net migration,762,tajikistan,tj,13,1962,1866.0
crude rate of net migration,762,tajikistan,tj,14,1963,2273.0
crude rate of net migration,762,tajikistan,tj,15,1964,2681.0
crude rate of net migration,762,tajikistan,tj,16,1965,3056.0
crude rate of net migration,762,tajikistan,tj,17,1966,3358.0
crude rate of net migration,762,tajikistan,tj,18,1967,3568.0
crude rate of net migration,762,tajikistan,tj,19,1968,3682.0
crude rate of net migration,762,tajikistan,tj,20,1969,3069.0
crude rate of net migration,762,tajikistan,tj,21,1970,1859.0
crude rate of net migration,762,tajikistan,tj,22,1971,1389.0
crude rate of net migration,762,tajikistan,tj,23,1972,1612.0
crude rate of net migration,762,tajikistan,tj,24,1973,1794.0
crude rate of net migration,762,tajikistan,tj,25,1974,1935.0
crude rate of net migration,762,tajikistan,tj,26,1975,2079.0
crude rate of net migration,762,tajikistan,tj,27,1976,2141.0
crude rate of net migration,762,tajikistan,tj,28,1977,2163.0
crude rate of net migration,762,tajikistan,tj,29,1978,11324.0
crude rate of net migration,762,tajikistan,tj,30,1979,-435.0
crude rate of net migration,762,tajikistan,tj,31,1980,-1371.0
crude rate of net migration,762,tajikistan,tj,32,1981,-1493.0
crude rate of net migration,762,tajikistan,tj,33,1982,-1571.0
crude rate of net migration,762,tajikistan,tj,34,1983,-1584.0
crude rate of net migration,762,tajikistan,tj,35,1984,-1579.0
crude rate of net migration,762,tajikistan,tj,36,1985,-2788.0
crude rate of net migration,762,tajikistan,tj,37,1986,-1679.0
crude rate of net migration,762,tajikistan,tj,38,1987,-1353.0
crude rate of net migration,762,tajikistan,tj,39,1988,-2281.0
crude rate of net migration,762,tajikistan,tj,40,1989,0.0
crude rate of net migration,762,tajikistan,tj,41,1990,-7644.0
crude rate of net migration,762,tajikistan,tj,42,1991,-5307.0
crude rate of net migration,762,tajikistan,tj,43,1992,-16705.0
crude rate of net migration,762,tajikistan,tj,44,1993,-13056.0
crude rate of net migration,762,tajikistan,tj,45,1994,-8518.0
crude rate of net migration,762,tajikistan,tj,46,1995,-6808.0
crude rate of net migration,762,tajikistan,tj,47,1996,-5112.0
crude rate of net migration,762,tajikistan,tj,48,1997,-17729.0
crude rate of net migration,762,tajikistan,tj,49,1998,-18983.0
crude rate of net migration,762,tajikistan,tj,50,1999,-19858.0
crude rate of net migration,762,tajikistan,tj,51,2000,-2208.0
crude rate of net migration,762,tajikistan,tj,52,2001,-3062.0
crude rate of net migration,762,tajikistan,tj,53,2002,-3133.0
crude rate of net migration,762,tajikistan,tj,54,2003,-3376.0
crude rate of net migration,762,tajikistan,tj,55,2004,-3.68
crude rate of net migration,762,tajikistan,tj,56,2005,-4025.0
crude rate of net migration,762,tajikistan,tj,57,2006,-4325.0
crude rate of net migration,762,tajikistan,tj,58,2007,-4556.0
crude rate of net migration,762,tajikistan,tj,59,2008,-4745.0
crude rate of net migration,762,tajikistan,tj,60,2009,-4896.0
crude rate of net migration,762,tajikistan,tj,61,2010,-4414.0
crude rate of net migration,762,tajikistan,tj,62,2011,-3945.0
crude rate of net migration,762,tajikistan,tj,63,2012,-3491.0
crude rate of net migration,762,tajikistan,tj,64,2013,-3052.0
crude rate of net migration,762,tajikistan,tj,65,2014,-2.63
crude rate of net migration,762,tajikistan,tj,66,2015,-2224.0
crude rate of net migration,762,tajikistan,tj,67,2016,-1836.0
crude rate of net migration,762,tajikistan,tj,68,2017,-1465.0
crude rate of net migration,762,tajikistan,tj,69,2018,-1.11
crude rate of net migration,762,tajikistan,tj,70,2019,-0.77
crude rate of net migration,762,tajikistan,tj,71,2020,-373.0
crude rate of net migration,762,tajikistan,tj,72,2021,-365.0
crude rate of net migration,762,tajikistan,tj,73,2022,-2007.0
crude rate of net migration,762,tajikistan,tj,74,2023,-1.97
