indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,764,thailand,th,1,1950,532.0
crude rate of net migration,764,thailand,th,2,1951,444.0
crude rate of net migration,764,thailand,th,3,1952,136.0
crude rate of net migration,764,thailand,th,4,1953,-431.0
crude rate of net migration,764,thailand,th,5,1954,-0.3
crude rate of net migration,764,thailand,th,6,1955,-322.0
crude rate of net migration,764,thailand,th,7,1956,-326.0
crude rate of net migration,764,thailand,th,8,1957,-407.0
crude rate of net migration,764,thailand,th,9,1958,-1102.0
crude rate of net migration,764,thailand,th,10,1959,-77.0
crude rate of net migration,764,thailand,th,11,1960,0.26
crude rate of net migration,764,thailand,th,12,1961,449.0
crude rate of net migration,764,thailand,th,13,1962,489.0
crude rate of net migration,764,thailand,th,14,1963,462.0
crude rate of net migration,764,thailand,th,15,1964,473.0
crude rate of net migration,764,thailand,th,16,1965,647.0
crude rate of net migration,764,thailand,th,17,1966,277.0
crude rate of net migration,764,thailand,th,18,1967,0.43
crude rate of net migration,764,thailand,th,19,1968,317.0
crude rate of net migration,764,thailand,th,20,1969,667.0
crude rate of net migration,764,thailand,th,21,1970,1376.0
crude rate of net migration,764,thailand,th,22,1971,1181.0
crude rate of net migration,764,thailand,th,23,1972,1932.0
crude rate of net migration,764,thailand,th,24,1973,2077.0
crude rate of net migration,764,thailand,th,25,1974,1825.0
crude rate of net migration,764,thailand,th,26,1975,22647.0
crude rate of net migration,764,thailand,th,27,1976,968.0
crude rate of net migration,764,thailand,th,28,1977,2077.0
crude rate of net migration,764,thailand,th,29,1978,1874.0
crude rate of net migration,764,thailand,th,30,1979,1916.0
crude rate of net migration,764,thailand,th,31,1980,2401.0
crude rate of net migration,764,thailand,th,32,1981,2104.0
crude rate of net migration,764,thailand,th,33,1982,2414.0
crude rate of net migration,764,thailand,th,34,1983,2979.0
crude rate of net migration,764,thailand,th,35,1984,2855.0
crude rate of net migration,764,thailand,th,36,1985,2915.0
crude rate of net migration,764,thailand,th,37,1986,2559.0
crude rate of net migration,764,thailand,th,38,1987,2645.0
crude rate of net migration,764,thailand,th,39,1988,2742.0
crude rate of net migration,764,thailand,th,40,1989,2032.0
crude rate of net migration,764,thailand,th,41,1990,2359.0
crude rate of net migration,764,thailand,th,42,1991,1025.0
crude rate of net migration,764,thailand,th,43,1992,1281.0
crude rate of net migration,764,thailand,th,44,1993,1266.0
crude rate of net migration,764,thailand,th,45,1994,1822.0
crude rate of net migration,764,thailand,th,46,1995,1718.0
crude rate of net migration,764,thailand,th,47,1996,20090.0
crude rate of net migration,764,thailand,th,48,1997,1668.0
crude rate of net migration,764,thailand,th,49,1998,1966.0
crude rate of net migration,764,thailand,th,50,1999,41306.0
crude rate of net migration,764,thailand,th,51,2000,32509.0
crude rate of net migration,764,thailand,th,52,2001,1973.0
crude rate of net migration,764,thailand,th,53,2002,2095.0
crude rate of net migration,764,thailand,th,54,2003,1733.0
crude rate of net migration,764,thailand,th,55,2004,1829.0
crude rate of net migration,764,thailand,th,56,2005,1068.0
crude rate of net migration,764,thailand,th,57,2006,43101.0
crude rate of net migration,764,thailand,th,58,2007,1366.0
crude rate of net migration,764,thailand,th,59,2008,1275.0
crude rate of net migration,764,thailand,th,60,2009,1278.0
crude rate of net migration,764,thailand,th,61,2010,774.0
crude rate of net migration,764,thailand,th,62,2011,972.0
crude rate of net migration,764,thailand,th,63,2012,1074.0
crude rate of net migration,764,thailand,th,64,2013,972.0
crude rate of net migration,764,thailand,th,65,2014,792.0
crude rate of net migration,764,thailand,th,66,2015,464.0
crude rate of net migration,764,thailand,th,67,2016,1087.0
crude rate of net migration,764,thailand,th,68,2017,622.0
crude rate of net migration,764,thailand,th,69,2018,131.0
crude rate of net migration,764,thailand,th,70,2019,53.0
crude rate of net migration,764,thailand,th,71,2020,497.0
crude rate of net migration,764,thailand,th,72,2021,16.0
crude rate of net migration,764,thailand,th,73,2022,265.0
crude rate of net migration,764,thailand,th,74,2023,265.0
