indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,626,timor-leste,tl,1,1950,0.0
crude rate of net migration,626,timor-leste,tl,2,1951,0.0
crude rate of net migration,626,timor-leste,tl,3,1952,0.0
crude rate of net migration,626,timor-leste,tl,4,1953,0.0
crude rate of net migration,626,timor-leste,tl,5,1954,0.0
crude rate of net migration,626,timor-leste,tl,6,1955,0.0
crude rate of net migration,626,timor-leste,tl,7,1956,0.0
crude rate of net migration,626,timor-leste,tl,8,1957,0.0
crude rate of net migration,626,timor-leste,tl,9,1958,0.0
crude rate of net migration,626,timor-leste,tl,10,1959,0.0
crude rate of net migration,626,timor-leste,tl,11,1960,0.0
crude rate of net migration,626,timor-leste,tl,12,1961,0.0
crude rate of net migration,626,timor-leste,tl,13,1962,0.0
crude rate of net migration,626,timor-leste,tl,14,1963,0.0
crude rate of net migration,626,timor-leste,tl,15,1964,0.0
crude rate of net migration,626,timor-leste,tl,16,1965,0.0
crude rate of net migration,626,timor-leste,tl,17,1966,0.0
crude rate of net migration,626,timor-leste,tl,18,1967,0.0
crude rate of net migration,626,timor-leste,tl,19,1968,0.0
crude rate of net migration,626,timor-leste,tl,20,1969,0.0
crude rate of net migration,626,timor-leste,tl,21,1970,0.0
crude rate of net migration,626,timor-leste,tl,22,1971,0.0
crude rate of net migration,626,timor-leste,tl,23,1972,0.0
crude rate of net migration,626,timor-leste,tl,24,1973,-483.0
crude rate of net migration,626,timor-leste,tl,25,1974,-3.74
crude rate of net migration,626,timor-leste,tl,26,1975,16031.0
crude rate of net migration,626,timor-leste,tl,27,1976,15984.0
crude rate of net migration,626,timor-leste,tl,28,1977,17357.0
crude rate of net migration,626,timor-leste,tl,29,1978,17.64
crude rate of net migration,626,timor-leste,tl,30,1979,14168.0
crude rate of net migration,626,timor-leste,tl,31,1980,8526.0
crude rate of net migration,626,timor-leste,tl,32,1981,-934.0
crude rate of net migration,626,timor-leste,tl,33,1982,-243.0
crude rate of net migration,626,timor-leste,tl,34,1983,859.0
crude rate of net migration,626,timor-leste,tl,35,1984,1034.0
crude rate of net migration,626,timor-leste,tl,36,1985,3117.0
crude rate of net migration,626,timor-leste,tl,37,1986,3895.0
crude rate of net migration,626,timor-leste,tl,38,1987,4519.0
crude rate of net migration,626,timor-leste,tl,39,1988,5779.0
crude rate of net migration,626,timor-leste,tl,40,1989,1834.0
crude rate of net migration,626,timor-leste,tl,41,1990,527.0
crude rate of net migration,626,timor-leste,tl,42,1991,-9292.0
crude rate of net migration,626,timor-leste,tl,43,1992,-9866.0
crude rate of net migration,626,timor-leste,tl,44,1993,-9711.0
crude rate of net migration,626,timor-leste,tl,45,1994,-9847.0
crude rate of net migration,626,timor-leste,tl,46,1995,-9617.0
crude rate of net migration,626,timor-leste,tl,47,1996,-10089.0
crude rate of net migration,626,timor-leste,tl,48,1997,-10176.0
crude rate of net migration,626,timor-leste,tl,49,1998,-9971.0
crude rate of net migration,626,timor-leste,tl,50,1999,-9368.0
crude rate of net migration,626,timor-leste,tl,51,2000,-14312.0
crude rate of net migration,626,timor-leste,tl,52,2001,-11015.0
crude rate of net migration,626,timor-leste,tl,53,2002,-10861.0
crude rate of net migration,626,timor-leste,tl,54,2003,-10444.0
crude rate of net migration,626,timor-leste,tl,55,2004,-6109.0
crude rate of net migration,626,timor-leste,tl,56,2005,-1527.0
crude rate of net migration,626,timor-leste,tl,57,2006,-1598.0
crude rate of net migration,626,timor-leste,tl,58,2007,-1931.0
crude rate of net migration,626,timor-leste,tl,59,2008,-3097.0
crude rate of net migration,626,timor-leste,tl,60,2009,-3763.0
crude rate of net migration,626,timor-leste,tl,61,2010,-1475.0
crude rate of net migration,626,timor-leste,tl,62,2011,-278.0
crude rate of net migration,626,timor-leste,tl,63,2012,-676.0
crude rate of net migration,626,timor-leste,tl,64,2013,-1359.0
crude rate of net migration,626,timor-leste,tl,65,2014,-1337.0
crude rate of net migration,626,timor-leste,tl,66,2015,-4574.0
crude rate of net migration,626,timor-leste,tl,67,2016,-4461.0
crude rate of net migration,626,timor-leste,tl,68,2017,-4343.0
crude rate of net migration,626,timor-leste,tl,69,2018,-4232.0
crude rate of net migration,626,timor-leste,tl,70,2019,-4104.0
crude rate of net migration,626,timor-leste,tl,71,2020,-2693.0
crude rate of net migration,626,timor-leste,tl,72,2021,-1511.0
crude rate of net migration,626,timor-leste,tl,73,2022,-3.72
crude rate of net migration,626,timor-leste,tl,74,2023,-3668.0
