indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,772,tokelau,tk,1,1950,-52634.0
crude rate of net migration,772,tokelau,tk,2,1951,-38.47
crude rate of net migration,772,tokelau,tk,3,1952,-11514.0
crude rate of net migration,772,tokelau,tk,4,1953,-12615.0
crude rate of net migration,772,tokelau,tk,5,1954,-13688.0
crude rate of net migration,772,tokelau,tk,6,1955,-12891.0
crude rate of net migration,772,tokelau,tk,7,1956,-7255.0
crude rate of net migration,772,tokelau,tk,8,1957,-5917.0
crude rate of net migration,772,tokelau,tk,9,1958,-5783.0
crude rate of net migration,772,tokelau,tk,10,1959,-5083.0
crude rate of net migration,772,tokelau,tk,11,1960,-3858.0
crude rate of net migration,772,tokelau,tk,12,1961,-8597.0
crude rate of net migration,772,tokelau,tk,13,1962,-26315.0
crude rate of net migration,772,tokelau,tk,14,1963,-25187.0
crude rate of net migration,772,tokelau,tk,15,1964,-23555.0
crude rate of net migration,772,tokelau,tk,16,1965,-22965.0
crude rate of net migration,772,tokelau,tk,17,1966,-23957.0
crude rate of net migration,772,tokelau,tk,18,1967,-48427.0
crude rate of net migration,772,tokelau,tk,19,1968,-50.22
crude rate of net migration,772,tokelau,tk,20,1969,-51116.0
crude rate of net migration,772,tokelau,tk,21,1970,-52123.0
crude rate of net migration,772,tokelau,tk,22,1971,-53.12
crude rate of net migration,772,tokelau,tk,23,1972,-22988.0
crude rate of net migration,772,tokelau,tk,24,1973,-19407.0
crude rate of net migration,772,tokelau,tk,25,1974,-19388.0
crude rate of net migration,772,tokelau,tk,26,1975,-19969.0
crude rate of net migration,772,tokelau,tk,27,1976,-17542.0
crude rate of net migration,772,tokelau,tk,28,1977,-19313.0
crude rate of net migration,772,tokelau,tk,29,1978,-19303.0
crude rate of net migration,772,tokelau,tk,30,1979,-19294.0
crude rate of net migration,772,tokelau,tk,31,1980,-19284.0
crude rate of net migration,772,tokelau,tk,32,1981,-19273.0
crude rate of net migration,772,tokelau,tk,33,1982,-19264.0
crude rate of net migration,772,tokelau,tk,34,1983,1203.0
crude rate of net migration,772,tokelau,tk,35,1984,0.0
crude rate of net migration,772,tokelau,tk,36,1985,0.0
crude rate of net migration,772,tokelau,tk,37,1986,-17.48
crude rate of net migration,772,tokelau,tk,38,1987,-36478.0
crude rate of net migration,772,tokelau,tk,39,1988,-37563.0
crude rate of net migration,772,tokelau,tk,40,1989,-36994.0
crude rate of net migration,772,tokelau,tk,41,1990,-35831.0
crude rate of net migration,772,tokelau,tk,42,1991,-23882.0
crude rate of net migration,772,tokelau,tk,43,1992,-23371.0
crude rate of net migration,772,tokelau,tk,44,1993,-23434.0
crude rate of net migration,772,tokelau,tk,45,1994,-24119.0
crude rate of net migration,772,tokelau,tk,46,1995,-24217.0
crude rate of net migration,772,tokelau,tk,47,1996,-20682.0
crude rate of net migration,772,tokelau,tk,48,1997,-12792.0
crude rate of net migration,772,tokelau,tk,49,1998,-11502.0
crude rate of net migration,772,tokelau,tk,50,1999,-10223.0
crude rate of net migration,772,tokelau,tk,51,2000,-8359.0
crude rate of net migration,772,tokelau,tk,52,2001,-13027.0
crude rate of net migration,772,tokelau,tk,53,2002,-53701.0
crude rate of net migration,772,tokelau,tk,54,2003,-58.81
crude rate of net migration,772,tokelau,tk,55,2004,-62805.0
crude rate of net migration,772,tokelau,tk,56,2005,-64757.0
crude rate of net migration,772,tokelau,tk,57,2006,-47059.0
crude rate of net migration,772,tokelau,tk,58,2007,-5927.0
crude rate of net migration,772,tokelau,tk,59,2008,-4435.0
crude rate of net migration,772,tokelau,tk,60,2009,-2208.0
crude rate of net migration,772,tokelau,tk,61,2010,-1464.0
crude rate of net migration,772,tokelau,tk,62,2011,13241.0
crude rate of net migration,772,tokelau,tk,63,2012,61609.0
crude rate of net migration,772,tokelau,tk,64,2013,8697.0
crude rate of net migration,772,tokelau,tk,65,2014,-33601.0
crude rate of net migration,772,tokelau,tk,66,2015,-34413.0
crude rate of net migration,772,tokelau,tk,67,2016,-22063.0
crude rate of net migration,772,tokelau,tk,68,2017,82587.0
crude rate of net migration,772,tokelau,tk,69,2018,76295.0
crude rate of net migration,772,tokelau,tk,70,2019,66637.0
crude rate of net migration,772,tokelau,tk,71,2020,0.0
crude rate of net migration,772,tokelau,tk,72,2021,0.0
crude rate of net migration,772,tokelau,tk,73,2022,0.0
crude rate of net migration,772,tokelau,tk,74,2023,0.0
