indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,772,tokelau,tk,1,1950,-86.0
total net number of migrants,772,tokelau,tk,2,1951,-61.0
total net number of migrants,772,tokelau,tk,3,1952,-18.0
total net number of migrants,772,tokelau,tk,4,1953,-20.0
total net number of migrants,772,tokelau,tk,5,1954,-22.0
total net number of migrants,772,tokelau,tk,6,1955,-21.0
total net number of migrants,772,tokelau,tk,7,1956,-12.0
total net number of migrants,772,tokelau,tk,8,1957,-10.0
total net number of migrants,772,tokelau,tk,9,1958,-10.0
total net number of migrants,772,tokelau,tk,10,1959,-9.0
total net number of migrants,772,tokelau,tk,11,1960,-7.0
total net number of migrants,772,tokelau,tk,12,1961,-16.0
total net number of migrants,772,tokelau,tk,13,1962,-50.0
total net number of migrants,772,tokelau,tk,14,1963,-48.0
total net number of migrants,772,tokelau,tk,15,1964,-45.0
total net number of migrants,772,tokelau,tk,16,1965,-44.0
total net number of migrants,772,tokelau,tk,17,1966,-46.0
total net number of migrants,772,tokelau,tk,18,1967,-93.0
total net number of migrants,772,tokelau,tk,19,1968,-94.0
total net number of migrants,772,tokelau,tk,20,1969,-93.0
total net number of migrants,772,tokelau,tk,21,1970,-92.0
total net number of migrants,772,tokelau,tk,22,1971,-91.0
total net number of migrants,772,tokelau,tk,23,1972,-38.0
total net number of migrants,772,tokelau,tk,24,1973,-32.0
total net number of migrants,772,tokelau,tk,25,1974,-32.0
total net number of migrants,772,tokelau,tk,26,1975,-33.0
total net number of migrants,772,tokelau,tk,27,1976,-29.0
total net number of migrants,772,tokelau,tk,28,1977,-32.0
total net number of migrants,772,tokelau,tk,29,1978,-32.0
total net number of migrants,772,tokelau,tk,30,1979,-32.0
total net number of migrants,772,tokelau,tk,31,1980,-32.0
total net number of migrants,772,tokelau,tk,32,1981,-32.0
total net number of migrants,772,tokelau,tk,33,1982,-32.0
total net number of migrants,772,tokelau,tk,34,1983,2.0
total net number of migrants,772,tokelau,tk,35,1984,0.0
total net number of migrants,772,tokelau,tk,36,1985,0.0
total net number of migrants,772,tokelau,tk,37,1986,-31.0
total net number of migrants,772,tokelau,tk,38,1987,-65.0
total net number of migrants,772,tokelau,tk,39,1988,-66.0
total net number of migrants,772,tokelau,tk,40,1989,-64.0
total net number of migrants,772,tokelau,tk,41,1990,-61.0
total net number of migrants,772,tokelau,tk,42,1991,-40.0
total net number of migrants,772,tokelau,tk,43,1992,-39.0
total net number of migrants,772,tokelau,tk,44,1993,-39.0
total net number of migrants,772,tokelau,tk,45,1994,-40.0
total net number of migrants,772,tokelau,tk,46,1995,-40.0
total net number of migrants,772,tokelau,tk,47,1996,-34.0
total net number of migrants,772,tokelau,tk,48,1997,-21.0
total net number of migrants,772,tokelau,tk,49,1998,-19.0
total net number of migrants,772,tokelau,tk,50,1999,-17.0
total net number of migrants,772,tokelau,tk,51,2000,-14.0
total net number of migrants,772,tokelau,tk,52,2001,-22.0
total net number of migrants,772,tokelau,tk,53,2002,-91.0
total net number of migrants,772,tokelau,tk,54,2003,-96.0
total net number of migrants,772,tokelau,tk,55,2004,-98.0
total net number of migrants,772,tokelau,tk,56,2005,-96.0
total net number of migrants,772,tokelau,tk,57,2006,-66.0
total net number of migrants,772,tokelau,tk,58,2007,-8.0
total net number of migrants,772,tokelau,tk,59,2008,-6.0
total net number of migrants,772,tokelau,tk,60,2009,-3.0
total net number of migrants,772,tokelau,tk,61,2010,-2.0
total net number of migrants,772,tokelau,tk,62,2011,6.0
total net number of migrants,772,tokelau,tk,63,2012,86.0
total net number of migrants,772,tokelau,tk,64,2013,13.0
total net number of migrants,772,tokelau,tk,65,2014,-51.0
total net number of migrants,772,tokelau,tk,66,2015,-51.0
total net number of migrants,772,tokelau,tk,67,2016,-32.0
total net number of migrants,772,tokelau,tk,68,2017,118.0
total net number of migrants,772,tokelau,tk,69,2018,119.0
total net number of migrants,772,tokelau,tk,70,2019,113.0
total net number of migrants,772,tokelau,tk,71,2020,0.0
total net number of migrants,772,tokelau,tk,72,2021,0.0
total net number of migrants,772,tokelau,tk,73,2022,0.0
total net number of migrants,772,tokelau,tk,74,2023,0.0
