indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,776,tonga,to,1,1950,0.0
total net number of migrants,776,tonga,to,2,1951,0.0
total net number of migrants,776,tonga,to,3,1952,0.0
total net number of migrants,776,tonga,to,4,1953,0.0
total net number of migrants,776,tonga,to,5,1954,0.0
total net number of migrants,776,tonga,to,6,1955,0.0
total net number of migrants,776,tonga,to,7,1956,0.0
total net number of migrants,776,tonga,to,8,1957,-278.0
total net number of migrants,776,tonga,to,9,1958,-303.0
total net number of migrants,776,tonga,to,10,1959,-326.0
total net number of migrants,776,tonga,to,11,1960,-342.0
total net number of migrants,776,tonga,to,12,1961,-374.0
total net number of migrants,776,tonga,to,13,1962,-388.0
total net number of migrants,776,tonga,to,14,1963,-397.0
total net number of migrants,776,tonga,to,15,1964,-401.0
total net number of migrants,776,tonga,to,16,1965,-416.0
total net number of migrants,776,tonga,to,17,1966,-577.0
total net number of migrants,776,tonga,to,18,1967,-894.0
total net number of migrants,776,tonga,to,19,1968,-1052.0
total net number of migrants,776,tonga,to,20,1969,-1073.0
total net number of migrants,776,tonga,to,21,1970,-1084.0
total net number of migrants,776,tonga,to,22,1971,-1094.0
total net number of migrants,776,tonga,to,23,1972,-1109.0
total net number of migrants,776,tonga,to,24,1973,-1127.0
total net number of migrants,776,tonga,to,25,1974,-992.0
total net number of migrants,776,tonga,to,26,1975,-1026.0
total net number of migrants,776,tonga,to,27,1976,-1152.0
total net number of migrants,776,tonga,to,28,1977,-2180.0
total net number of migrants,776,tonga,to,29,1978,-2363.0
total net number of migrants,776,tonga,to,30,1979,-2511.0
total net number of migrants,776,tonga,to,31,1980,-2629.0
total net number of migrants,776,tonga,to,32,1981,-2683.0
total net number of migrants,776,tonga,to,33,1982,-2712.0
total net number of migrants,776,tonga,to,34,1983,-2698.0
total net number of migrants,776,tonga,to,35,1984,-2619.0
total net number of migrants,776,tonga,to,36,1985,-2553.0
total net number of migrants,776,tonga,to,37,1986,-2433.0
total net number of migrants,776,tonga,to,38,1987,-1781.0
total net number of migrants,776,tonga,to,39,1988,-1875.0
total net number of migrants,776,tonga,to,40,1989,-1977.0
total net number of migrants,776,tonga,to,41,1990,-2068.0
total net number of migrants,776,tonga,to,42,1991,-2147.0
total net number of migrants,776,tonga,to,43,1992,-2187.0
total net number of migrants,776,tonga,to,44,1993,-2187.0
total net number of migrants,776,tonga,to,45,1994,-2143.0
total net number of migrants,776,tonga,to,46,1995,-2109.0
total net number of migrants,776,tonga,to,47,1996,-2116.0
total net number of migrants,776,tonga,to,48,1997,-1567.0
total net number of migrants,776,tonga,to,49,1998,-1648.0
total net number of migrants,776,tonga,to,50,1999,-1646.0
total net number of migrants,776,tonga,to,51,2000,-1617.0
total net number of migrants,776,tonga,to,52,2001,-1647.0
total net number of migrants,776,tonga,to,53,2002,-1712.0
total net number of migrants,776,tonga,to,54,2003,-1754.0
total net number of migrants,776,tonga,to,55,2004,-1793.0
total net number of migrants,776,tonga,to,56,2005,-1812.0
total net number of migrants,776,tonga,to,57,2006,-1813.0
total net number of migrants,776,tonga,to,58,2007,-1985.0
total net number of migrants,776,tonga,to,59,2008,-2085.0
total net number of migrants,776,tonga,to,60,2009,-2079.0
total net number of migrants,776,tonga,to,61,2010,-1948.0
total net number of migrants,776,tonga,to,62,2011,-2048.0
total net number of migrants,776,tonga,to,63,2012,-2529.0
total net number of migrants,776,tonga,to,64,2013,-2558.0
total net number of migrants,776,tonga,to,65,2014,-2524.0
total net number of migrants,776,tonga,to,66,2015,-2495.0
total net number of migrants,776,tonga,to,67,2016,-2206.0
total net number of migrants,776,tonga,to,68,2017,-2106.0
total net number of migrants,776,tonga,to,69,2018,-2023.0
total net number of migrants,776,tonga,to,70,2019,-1898.0
total net number of migrants,776,tonga,to,71,2020,-948.0
total net number of migrants,776,tonga,to,72,2021,-948.0
total net number of migrants,776,tonga,to,73,2022,-800.0
total net number of migrants,776,tonga,to,74,2023,-800.0
