indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,788,tunisia,tn,1,1950,708.0
crude rate of net migration,788,tunisia,tn,2,1951,353.0
crude rate of net migration,788,tunisia,tn,3,1952,41.0
crude rate of net migration,788,tunisia,tn,4,1953,-223.0
crude rate of net migration,788,tunisia,tn,5,1954,-446.0
crude rate of net migration,788,tunisia,tn,6,1955,-623.0
crude rate of net migration,788,tunisia,tn,7,1956,-7924.0
crude rate of net migration,788,tunisia,tn,8,1957,-15237.0
crude rate of net migration,788,tunisia,tn,9,1958,-15901.0
crude rate of net migration,788,tunisia,tn,10,1959,-15921.0
crude rate of net migration,788,tunisia,tn,11,1960,-15811.0
crude rate of net migration,788,tunisia,tn,12,1961,-15661.0
crude rate of net migration,788,tunisia,tn,13,1962,-15474.0
crude rate of net migration,788,tunisia,tn,14,1963,-15105.0
crude rate of net migration,788,tunisia,tn,15,1964,-14687.0
crude rate of net migration,788,tunisia,tn,16,1965,-12087.0
crude rate of net migration,788,tunisia,tn,17,1966,-6002.0
crude rate of net migration,788,tunisia,tn,18,1967,-4102.0
crude rate of net migration,788,tunisia,tn,19,1968,-2057.0
crude rate of net migration,788,tunisia,tn,20,1969,-2044.0
crude rate of net migration,788,tunisia,tn,21,1970,-1991.0
crude rate of net migration,788,tunisia,tn,22,1971,-1918.0
crude rate of net migration,788,tunisia,tn,23,1972,-1838.0
crude rate of net migration,788,tunisia,tn,24,1973,-1757.0
crude rate of net migration,788,tunisia,tn,25,1974,-1647.0
crude rate of net migration,788,tunisia,tn,26,1975,-1517.0
crude rate of net migration,788,tunisia,tn,27,1976,-1864.0
crude rate of net migration,788,tunisia,tn,28,1977,-2062.0
crude rate of net migration,788,tunisia,tn,29,1978,-1982.0
crude rate of net migration,788,tunisia,tn,30,1979,-1887.0
crude rate of net migration,788,tunisia,tn,31,1980,-1747.0
crude rate of net migration,788,tunisia,tn,32,1981,-1597.0
crude rate of net migration,788,tunisia,tn,33,1982,-1526.0
crude rate of net migration,788,tunisia,tn,34,1983,-816.0
crude rate of net migration,788,tunisia,tn,35,1984,0.81
crude rate of net migration,788,tunisia,tn,36,1985,689.0
crude rate of net migration,788,tunisia,tn,37,1986,801.0
crude rate of net migration,788,tunisia,tn,38,1987,0.84
crude rate of net migration,788,tunisia,tn,39,1988,868.0
crude rate of net migration,788,tunisia,tn,40,1989,881.0
crude rate of net migration,788,tunisia,tn,41,1990,883.0
crude rate of net migration,788,tunisia,tn,42,1991,895.0
crude rate of net migration,788,tunisia,tn,43,1992,909.0
crude rate of net migration,788,tunisia,tn,44,1993,666.0
crude rate of net migration,788,tunisia,tn,45,1994,65.0
crude rate of net migration,788,tunisia,tn,46,1995,-1095.0
crude rate of net migration,788,tunisia,tn,47,1996,-1337.0
crude rate of net migration,788,tunisia,tn,48,1997,-1442.0
crude rate of net migration,788,tunisia,tn,49,1998,-1557.0
crude rate of net migration,788,tunisia,tn,50,1999,-1666.0
crude rate of net migration,788,tunisia,tn,51,2000,-1765.0
crude rate of net migration,788,tunisia,tn,52,2001,-1842.0
crude rate of net migration,788,tunisia,tn,53,2002,-1883.0
crude rate of net migration,788,tunisia,tn,54,2003,-2036.0
crude rate of net migration,788,tunisia,tn,55,2004,-2379.0
crude rate of net migration,788,tunisia,tn,56,2005,-2816.0
crude rate of net migration,788,tunisia,tn,57,2006,-2818.0
crude rate of net migration,788,tunisia,tn,58,2007,-2738.0
crude rate of net migration,788,tunisia,tn,59,2008,-2649.0
crude rate of net migration,788,tunisia,tn,60,2009,-2534.0
crude rate of net migration,788,tunisia,tn,61,2010,-2379.0
crude rate of net migration,788,tunisia,tn,62,2011,1041.0
crude rate of net migration,788,tunisia,tn,63,2012,-2641.0
crude rate of net migration,788,tunisia,tn,64,2013,-2388.0
crude rate of net migration,788,tunisia,tn,65,2014,-2324.0
crude rate of net migration,788,tunisia,tn,66,2015,-2181.0
crude rate of net migration,788,tunisia,tn,67,2016,-2037.0
crude rate of net migration,788,tunisia,tn,68,2017,-1892.0
crude rate of net migration,788,tunisia,tn,69,2018,-1.76
crude rate of net migration,788,tunisia,tn,70,2019,-1626.0
crude rate of net migration,788,tunisia,tn,71,2020,-755.0
crude rate of net migration,788,tunisia,tn,72,2021,-749.0
crude rate of net migration,788,tunisia,tn,73,2022,-324.0
crude rate of net migration,788,tunisia,tn,74,2023,-321.0
