indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,795,turkmenistan,tm,1,1950,-1645.0
total net number of migrants,795,turkmenistan,tm,2,1951,-305.0
total net number of migrants,795,turkmenistan,tm,3,1952,1060.0
total net number of migrants,795,turkmenistan,tm,4,1953,2406.0
total net number of migrants,795,turkmenistan,tm,5,1954,3637.0
total net number of migrants,795,turkmenistan,tm,6,1955,4672.0
total net number of migrants,795,turkmenistan,tm,7,1956,5462.0
total net number of migrants,795,turkmenistan,tm,8,1957,5915.0
total net number of migrants,795,turkmenistan,tm,9,1958,6015.0
total net number of migrants,795,turkmenistan,tm,10,1959,5914.0
total net number of migrants,795,turkmenistan,tm,11,1960,5730.0
total net number of migrants,795,turkmenistan,tm,12,1961,5530.0
total net number of migrants,795,turkmenistan,tm,13,1962,5387.0
total net number of migrants,795,turkmenistan,tm,14,1963,5358.0
total net number of migrants,795,turkmenistan,tm,15,1964,5400.0
total net number of migrants,795,turkmenistan,tm,16,1965,5492.0
total net number of migrants,795,turkmenistan,tm,17,1966,5568.0
total net number of migrants,795,turkmenistan,tm,18,1967,5620.0
total net number of migrants,795,turkmenistan,tm,19,1968,5629.0
total net number of migrants,795,turkmenistan,tm,20,1969,5616.0
total net number of migrants,795,turkmenistan,tm,21,1970,5557.0
total net number of migrants,795,turkmenistan,tm,22,1971,5432.0
total net number of migrants,795,turkmenistan,tm,23,1972,5220.0
total net number of migrants,795,turkmenistan,tm,24,1973,4798.0
total net number of migrants,795,turkmenistan,tm,25,1974,3730.0
total net number of migrants,795,turkmenistan,tm,26,1975,2247.0
total net number of migrants,795,turkmenistan,tm,27,1976,689.0
total net number of migrants,795,turkmenistan,tm,28,1977,-570.0
total net number of migrants,795,turkmenistan,tm,29,1978,-1441.0
total net number of migrants,795,turkmenistan,tm,30,1979,-2761.0
total net number of migrants,795,turkmenistan,tm,31,1980,-4609.0
total net number of migrants,795,turkmenistan,tm,32,1981,-4410.0
total net number of migrants,795,turkmenistan,tm,33,1982,-3861.0
total net number of migrants,795,turkmenistan,tm,34,1983,-5037.0
total net number of migrants,795,turkmenistan,tm,35,1984,-5705.0
total net number of migrants,795,turkmenistan,tm,36,1985,-6209.0
total net number of migrants,795,turkmenistan,tm,37,1986,-6397.0
total net number of migrants,795,turkmenistan,tm,38,1987,-7319.0
total net number of migrants,795,turkmenistan,tm,39,1988,-8791.0
total net number of migrants,795,turkmenistan,tm,40,1989,-3927.0
total net number of migrants,795,turkmenistan,tm,41,1990,798.0
total net number of migrants,795,turkmenistan,tm,42,1991,5400.0
total net number of migrants,795,turkmenistan,tm,43,1992,8347.0
total net number of migrants,795,turkmenistan,tm,44,1993,8183.0
total net number of migrants,795,turkmenistan,tm,45,1994,4802.0
total net number of migrants,795,turkmenistan,tm,46,1995,-462.0
total net number of migrants,795,turkmenistan,tm,47,1996,-25893.0
total net number of migrants,795,turkmenistan,tm,48,1997,-16799.0
total net number of migrants,795,turkmenistan,tm,49,1998,-9721.0
total net number of migrants,795,turkmenistan,tm,50,1999,-9212.0
total net number of migrants,795,turkmenistan,tm,51,2000,-9473.0
total net number of migrants,795,turkmenistan,tm,52,2001,-9062.0
total net number of migrants,795,turkmenistan,tm,53,2002,-8595.0
total net number of migrants,795,turkmenistan,tm,54,2003,-15713.0
total net number of migrants,795,turkmenistan,tm,55,2004,-9254.0
total net number of migrants,795,turkmenistan,tm,56,2005,-8252.0
total net number of migrants,795,turkmenistan,tm,57,2006,-9619.0
total net number of migrants,795,turkmenistan,tm,58,2007,-9637.0
total net number of migrants,795,turkmenistan,tm,59,2008,-9605.0
total net number of migrants,795,turkmenistan,tm,60,2009,-9615.0
total net number of migrants,795,turkmenistan,tm,61,2010,-9627.0
total net number of migrants,795,turkmenistan,tm,62,2011,-9636.0
total net number of migrants,795,turkmenistan,tm,63,2012,-9598.0
total net number of migrants,795,turkmenistan,tm,64,2013,-9603.0
total net number of migrants,795,turkmenistan,tm,65,2014,-9609.0
total net number of migrants,795,turkmenistan,tm,66,2015,-9612.0
total net number of migrants,795,turkmenistan,tm,67,2016,-9616.0
total net number of migrants,795,turkmenistan,tm,68,2017,-9616.0
total net number of migrants,795,turkmenistan,tm,69,2018,-9614.0
total net number of migrants,795,turkmenistan,tm,70,2019,-9612.0
total net number of migrants,795,turkmenistan,tm,71,2020,-4502.0
total net number of migrants,795,turkmenistan,tm,72,2021,-4503.0
total net number of migrants,795,turkmenistan,tm,73,2022,-4000.0
total net number of migrants,795,turkmenistan,tm,74,2023,-4000.0
