indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,796,turks and caicos islands,tc,1,1950,-24198.0
crude rate of net migration,796,turks and caicos islands,tc,2,1951,-27477.0
crude rate of net migration,796,turks and caicos islands,tc,3,1952,-29637.0
crude rate of net migration,796,turks and caicos islands,tc,4,1953,-32429.0
crude rate of net migration,796,turks and caicos islands,tc,5,1954,-13798.0
crude rate of net migration,796,turks and caicos islands,tc,6,1955,-7766.0
crude rate of net migration,796,turks and caicos islands,tc,7,1956,-8553.0
crude rate of net migration,796,turks and caicos islands,tc,8,1957,-8943.0
crude rate of net migration,796,turks and caicos islands,tc,9,1958,-8.96
crude rate of net migration,796,turks and caicos islands,tc,10,1959,-7365.0
crude rate of net migration,796,turks and caicos islands,tc,11,1960,-20113.0
crude rate of net migration,796,turks and caicos islands,tc,12,1961,-23014.0
crude rate of net migration,796,turks and caicos islands,tc,13,1962,-23684.0
crude rate of net migration,796,turks and caicos islands,tc,14,1963,-24011.0
crude rate of net migration,796,turks and caicos islands,tc,15,1964,-23985.0
crude rate of net migration,796,turks and caicos islands,tc,16,1965,-23437.0
crude rate of net migration,796,turks and caicos islands,tc,17,1966,-23065.0
crude rate of net migration,796,turks and caicos islands,tc,18,1967,-21836.0
crude rate of net migration,796,turks and caicos islands,tc,19,1968,-20785.0
crude rate of net migration,796,turks and caicos islands,tc,20,1969,-20276.0
crude rate of net migration,796,turks and caicos islands,tc,21,1970,-15414.0
crude rate of net migration,796,turks and caicos islands,tc,22,1971,8743.0
crude rate of net migration,796,turks and caicos islands,tc,23,1972,10056.0
crude rate of net migration,796,turks and caicos islands,tc,24,1973,10608.0
crude rate of net migration,796,turks and caicos islands,tc,25,1974,9967.0
crude rate of net migration,796,turks and caicos islands,tc,26,1975,9652.0
crude rate of net migration,796,turks and caicos islands,tc,27,1976,8585.0
crude rate of net migration,796,turks and caicos islands,tc,28,1977,8455.0
crude rate of net migration,796,turks and caicos islands,tc,29,1978,17380.0
crude rate of net migration,796,turks and caicos islands,tc,30,1979,6154.0
crude rate of net migration,796,turks and caicos islands,tc,31,1980,19915.0
crude rate of net migration,796,turks and caicos islands,tc,32,1981,28004.0
crude rate of net migration,796,turks and caicos islands,tc,33,1982,25422.0
crude rate of net migration,796,turks and caicos islands,tc,34,1983,23063.0
crude rate of net migration,796,turks and caicos islands,tc,35,1984,20797.0
crude rate of net migration,796,turks and caicos islands,tc,36,1985,18618.0
crude rate of net migration,796,turks and caicos islands,tc,37,1986,16824.0
crude rate of net migration,796,turks and caicos islands,tc,38,1987,15273.0
crude rate of net migration,796,turks and caicos islands,tc,39,1988,44999.0
crude rate of net migration,796,turks and caicos islands,tc,40,1989,12702.0
crude rate of net migration,796,turks and caicos islands,tc,41,1990,25108.0
crude rate of net migration,796,turks and caicos islands,tc,42,1991,33272.0
crude rate of net migration,796,turks and caicos islands,tc,43,1992,30799.0
crude rate of net migration,796,turks and caicos islands,tc,44,1993,29066.0
crude rate of net migration,796,turks and caicos islands,tc,45,1994,27424.0
crude rate of net migration,796,turks and caicos islands,tc,46,1995,25599.0
crude rate of net migration,796,turks and caicos islands,tc,47,1996,23601.0
crude rate of net migration,796,turks and caicos islands,tc,48,1997,22633.0
crude rate of net migration,796,turks and caicos islands,tc,49,1998,21731.0
crude rate of net migration,796,turks and caicos islands,tc,50,1999,21627.0
crude rate of net migration,796,turks and caicos islands,tc,51,2000,22545.0
crude rate of net migration,796,turks and caicos islands,tc,52,2001,28.39
crude rate of net migration,796,turks and caicos islands,tc,53,2002,38518.0
crude rate of net migration,796,turks and caicos islands,tc,54,2003,36.98
crude rate of net migration,796,turks and caicos islands,tc,55,2004,34797.0
crude rate of net migration,796,turks and caicos islands,tc,56,2005,33646.0
crude rate of net migration,796,turks and caicos islands,tc,57,2006,32805.0
crude rate of net migration,796,turks and caicos islands,tc,58,2007,32.82
crude rate of net migration,796,turks and caicos islands,tc,59,2008,32368.0
crude rate of net migration,796,turks and caicos islands,tc,60,2009,31622.0
crude rate of net migration,796,turks and caicos islands,tc,61,2010,30731.0
crude rate of net migration,796,turks and caicos islands,tc,62,2011,27012.0
crude rate of net migration,796,turks and caicos islands,tc,63,2012,39906.0
crude rate of net migration,796,turks and caicos islands,tc,64,2013,40597.0
crude rate of net migration,796,turks and caicos islands,tc,65,2014,29141.0
crude rate of net migration,796,turks and caicos islands,tc,66,2015,46571.0
crude rate of net migration,796,turks and caicos islands,tc,67,2016,34892.0
crude rate of net migration,796,turks and caicos islands,tc,68,2017,36407.0
crude rate of net migration,796,turks and caicos islands,tc,69,2018,34395.0
crude rate of net migration,796,turks and caicos islands,tc,70,2019,32031.0
crude rate of net migration,796,turks and caicos islands,tc,71,2020,15523.0
crude rate of net migration,796,turks and caicos islands,tc,72,2021,15233.0
crude rate of net migration,796,turks and caicos islands,tc,73,2022,4386.0
crude rate of net migration,796,turks and caicos islands,tc,74,2023,4352.0
