indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,798,tuvalu,tv,1,1950,46.0
total net number of migrants,798,tuvalu,tv,2,1951,33.0
total net number of migrants,798,tuvalu,tv,3,1952,4.0
total net number of migrants,798,tuvalu,tv,4,1953,-5.0
total net number of migrants,798,tuvalu,tv,5,1954,-36.0
total net number of migrants,798,tuvalu,tv,6,1955,-51.0
total net number of migrants,798,tuvalu,tv,7,1956,-55.0
total net number of migrants,798,tuvalu,tv,8,1957,-57.0
total net number of migrants,798,tuvalu,tv,9,1958,-56.0
total net number of migrants,798,tuvalu,tv,10,1959,-55.0
total net number of migrants,798,tuvalu,tv,11,1960,-58.0
total net number of migrants,798,tuvalu,tv,12,1961,-55.0
total net number of migrants,798,tuvalu,tv,13,1962,-38.0
total net number of migrants,798,tuvalu,tv,14,1963,-32.0
total net number of migrants,798,tuvalu,tv,15,1964,-28.0
total net number of migrants,798,tuvalu,tv,16,1965,-9.0
total net number of migrants,798,tuvalu,tv,17,1966,5.0
total net number of migrants,798,tuvalu,tv,18,1967,9.0
total net number of migrants,798,tuvalu,tv,19,1968,-5.0
total net number of migrants,798,tuvalu,tv,20,1969,-47.0
total net number of migrants,798,tuvalu,tv,21,1970,-49.0
total net number of migrants,798,tuvalu,tv,22,1971,-51.0
total net number of migrants,798,tuvalu,tv,23,1972,-49.0
total net number of migrants,798,tuvalu,tv,24,1973,-42.0
total net number of migrants,798,tuvalu,tv,25,1974,185.0
total net number of migrants,798,tuvalu,tv,26,1975,189.0
total net number of migrants,798,tuvalu,tv,27,1976,192.0
total net number of migrants,798,tuvalu,tv,28,1977,190.0
total net number of migrants,798,tuvalu,tv,29,1978,181.0
total net number of migrants,798,tuvalu,tv,30,1979,40.0
total net number of migrants,798,tuvalu,tv,31,1980,0.0
total net number of migrants,798,tuvalu,tv,32,1981,-52.0
total net number of migrants,798,tuvalu,tv,33,1982,-74.0
total net number of migrants,798,tuvalu,tv,34,1983,-102.0
total net number of migrants,798,tuvalu,tv,35,1984,-113.0
total net number of migrants,798,tuvalu,tv,36,1985,-41.0
total net number of migrants,798,tuvalu,tv,37,1986,-42.0
total net number of migrants,798,tuvalu,tv,38,1987,-39.0
total net number of migrants,798,tuvalu,tv,39,1988,-34.0
total net number of migrants,798,tuvalu,tv,40,1989,-35.0
total net number of migrants,798,tuvalu,tv,41,1990,-37.0
total net number of migrants,798,tuvalu,tv,42,1991,-51.0
total net number of migrants,798,tuvalu,tv,43,1992,-145.0
total net number of migrants,798,tuvalu,tv,44,1993,-160.0
total net number of migrants,798,tuvalu,tv,45,1994,-163.0
total net number of migrants,798,tuvalu,tv,46,1995,-163.0
total net number of migrants,798,tuvalu,tv,47,1996,-165.0
total net number of migrants,798,tuvalu,tv,48,1997,-166.0
total net number of migrants,798,tuvalu,tv,49,1998,-163.0
total net number of migrants,798,tuvalu,tv,50,1999,-163.0
total net number of migrants,798,tuvalu,tv,51,2000,-161.0
total net number of migrants,798,tuvalu,tv,52,2001,-162.0
total net number of migrants,798,tuvalu,tv,53,2002,-146.0
total net number of migrants,798,tuvalu,tv,54,2003,-14.0
total net number of migrants,798,tuvalu,tv,55,2004,-12.0
total net number of migrants,798,tuvalu,tv,56,2005,-10.0
total net number of migrants,798,tuvalu,tv,57,2006,-14.0
total net number of migrants,798,tuvalu,tv,58,2007,-6.0
total net number of migrants,798,tuvalu,tv,59,2008,-1.0
total net number of migrants,798,tuvalu,tv,60,2009,9.0
total net number of migrants,798,tuvalu,tv,61,2010,17.0
total net number of migrants,798,tuvalu,tv,62,2011,26.0
total net number of migrants,798,tuvalu,tv,63,2012,8.0
total net number of migrants,798,tuvalu,tv,64,2013,-150.0
total net number of migrants,798,tuvalu,tv,65,2014,-152.0
total net number of migrants,798,tuvalu,tv,66,2015,-159.0
total net number of migrants,798,tuvalu,tv,67,2016,-170.0
total net number of migrants,798,tuvalu,tv,68,2017,-155.0
total net number of migrants,798,tuvalu,tv,69,2018,-57.0
total net number of migrants,798,tuvalu,tv,70,2019,-57.0
total net number of migrants,798,tuvalu,tv,71,2020,-15.0
total net number of migrants,798,tuvalu,tv,72,2021,-15.0
total net number of migrants,798,tuvalu,tv,73,2022,-60.0
total net number of migrants,798,tuvalu,tv,74,2023,-60.0
