indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,784,united arab emirates,ae,1,1950,3304.0
total net number of migrants,784,united arab emirates,ae,2,1951,3419.0
total net number of migrants,784,united arab emirates,ae,3,1952,3454.0
total net number of migrants,784,united arab emirates,ae,4,1953,3434.0
total net number of migrants,784,united arab emirates,ae,5,1954,3372.0
total net number of migrants,784,united arab emirates,ae,6,1955,3289.0
total net number of migrants,784,united arab emirates,ae,7,1956,3201.0
total net number of migrants,784,united arab emirates,ae,8,1957,3119.0
total net number of migrants,784,united arab emirates,ae,9,1958,3402.0
total net number of migrants,784,united arab emirates,ae,10,1959,3688.0
total net number of migrants,784,united arab emirates,ae,11,1960,3916.0
total net number of migrants,784,united arab emirates,ae,12,1961,4081.0
total net number of migrants,784,united arab emirates,ae,13,1962,4108.0
total net number of migrants,784,united arab emirates,ae,14,1963,4037.0
total net number of migrants,784,united arab emirates,ae,15,1964,3922.0
total net number of migrants,784,united arab emirates,ae,16,1965,3866.0
total net number of migrants,784,united arab emirates,ae,17,1966,3789.0
total net number of migrants,784,united arab emirates,ae,18,1967,3629.0
total net number of migrants,784,united arab emirates,ae,19,1968,29767.0
total net number of migrants,784,united arab emirates,ae,20,1969,37673.0
total net number of migrants,784,united arab emirates,ae,21,1970,38490.0
total net number of migrants,784,united arab emirates,ae,22,1971,39031.0
total net number of migrants,784,united arab emirates,ae,23,1972,39360.0
total net number of migrants,784,united arab emirates,ae,24,1973,39563.0
total net number of migrants,784,united arab emirates,ae,25,1974,39700.0
total net number of migrants,784,united arab emirates,ae,26,1975,39556.0
total net number of migrants,784,united arab emirates,ae,27,1976,76314.0
total net number of migrants,784,united arab emirates,ae,28,1977,79336.0
total net number of migrants,784,united arab emirates,ae,29,1978,81531.0
total net number of migrants,784,united arab emirates,ae,30,1979,82586.0
total net number of migrants,784,united arab emirates,ae,31,1980,79756.0
total net number of migrants,784,united arab emirates,ae,32,1981,37758.0
total net number of migrants,784,united arab emirates,ae,33,1982,38243.0
total net number of migrants,784,united arab emirates,ae,34,1983,38014.0
total net number of migrants,784,united arab emirates,ae,35,1984,36660.0
total net number of migrants,784,united arab emirates,ae,36,1985,35496.0
total net number of migrants,784,united arab emirates,ae,37,1986,68733.0
total net number of migrants,784,united arab emirates,ae,38,1987,68141.0
total net number of migrants,784,united arab emirates,ae,39,1988,67441.0
total net number of migrants,784,united arab emirates,ae,40,1989,66283.0
total net number of migrants,784,united arab emirates,ae,41,1990,64939.0
total net number of migrants,784,united arab emirates,ae,42,1991,64706.0
total net number of migrants,784,united arab emirates,ae,43,1992,63263.0
total net number of migrants,784,united arab emirates,ae,44,1993,62946.0
total net number of migrants,784,united arab emirates,ae,45,1994,59748.0
total net number of migrants,784,united arab emirates,ae,46,1995,64261.0
total net number of migrants,784,united arab emirates,ae,47,1996,130051.0
total net number of migrants,784,united arab emirates,ae,48,1997,131906.0
total net number of migrants,784,united arab emirates,ae,49,1998,133350.0
total net number of migrants,784,united arab emirates,ae,50,1999,133289.0
total net number of migrants,784,united arab emirates,ae,51,2000,131735.0
total net number of migrants,784,united arab emirates,ae,52,2001,130241.0
total net number of migrants,784,united arab emirates,ae,53,2002,128160.0
total net number of migrants,784,united arab emirates,ae,54,2003,124550.0
total net number of migrants,784,united arab emirates,ae,55,2004,122863.0
total net number of migrants,784,united arab emirates,ae,56,2005,339380.0
total net number of migrants,784,united arab emirates,ae,57,2006,781672.0
total net number of migrants,784,united arab emirates,ae,58,2007,1037187.0
total net number of migrants,784,united arab emirates,ae,59,2008,1040422.0
total net number of migrants,784,united arab emirates,ae,60,2009,783241.0
total net number of migrants,784,united arab emirates,ae,61,2010,-13726.0
total net number of migrants,784,united arab emirates,ae,62,2011,-15738.0
total net number of migrants,784,united arab emirates,ae,63,2012,-16401.0
total net number of migrants,784,united arab emirates,ae,64,2013,-15566.0
total net number of migrants,784,united arab emirates,ae,65,2014,-14954.0
total net number of migrants,784,united arab emirates,ae,66,2015,-14154.0
total net number of migrants,784,united arab emirates,ae,67,2016,-13520.0
total net number of migrants,784,united arab emirates,ae,68,2017,-12895.0
total net number of migrants,784,united arab emirates,ae,69,2018,-8582.0
total net number of migrants,784,united arab emirates,ae,70,2019,-4466.0
total net number of migrants,784,united arab emirates,ae,71,2020,-2762.0
total net number of migrants,784,united arab emirates,ae,72,2021,-2762.0
total net number of migrants,784,united arab emirates,ae,73,2022,0.0
total net number of migrants,784,united arab emirates,ae,74,2023,0.0
