indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,826,united kingdom,gb,1,1950,295.0
crude rate of net migration,826,united kingdom,gb,2,1951,387.0
crude rate of net migration,826,united kingdom,gb,3,1952,387.0
crude rate of net migration,826,united kingdom,gb,4,1953,336.0
crude rate of net migration,826,united kingdom,gb,5,1954,301.0
crude rate of net migration,826,united kingdom,gb,6,1955,291.0
crude rate of net migration,826,united kingdom,gb,7,1956,254.0
crude rate of net migration,826,united kingdom,gb,8,1957,219.0
crude rate of net migration,826,united kingdom,gb,9,1958,153.0
crude rate of net migration,826,united kingdom,gb,10,1959,71.0
crude rate of net migration,826,united kingdom,gb,11,1960,45.0
crude rate of net migration,826,united kingdom,gb,12,1961,-38.0
crude rate of net migration,826,united kingdom,gb,13,1962,-198.0
crude rate of net migration,826,united kingdom,gb,14,1963,-325.0
crude rate of net migration,826,united kingdom,gb,15,1964,-395.0
crude rate of net migration,826,united kingdom,gb,16,1965,-443.0
crude rate of net migration,826,united kingdom,gb,17,1966,-484.0
crude rate of net migration,826,united kingdom,gb,18,1967,-479.0
crude rate of net migration,826,united kingdom,gb,19,1968,-478.0
crude rate of net migration,826,united kingdom,gb,20,1969,-475.0
crude rate of net migration,826,united kingdom,gb,21,1970,-0.48
crude rate of net migration,826,united kingdom,gb,22,1971,-484.0
crude rate of net migration,826,united kingdom,gb,23,1972,-431.0
crude rate of net migration,826,united kingdom,gb,24,1973,-397.0
crude rate of net migration,826,united kingdom,gb,25,1974,-375.0
crude rate of net migration,826,united kingdom,gb,26,1975,-352.0
crude rate of net migration,826,united kingdom,gb,27,1976,-323.0
crude rate of net migration,826,united kingdom,gb,28,1977,-0.3
crude rate of net migration,826,united kingdom,gb,29,1978,-268.0
crude rate of net migration,826,united kingdom,gb,30,1979,-248.0
crude rate of net migration,826,united kingdom,gb,31,1980,-215.0
crude rate of net migration,826,united kingdom,gb,32,1981,-195.0
crude rate of net migration,826,united kingdom,gb,33,1982,-187.0
crude rate of net migration,826,united kingdom,gb,34,1983,-185.0
crude rate of net migration,826,united kingdom,gb,35,1984,-167.0
crude rate of net migration,826,united kingdom,gb,36,1985,-153.0
crude rate of net migration,826,united kingdom,gb,37,1986,-132.0
crude rate of net migration,826,united kingdom,gb,38,1987,-115.0
crude rate of net migration,826,united kingdom,gb,39,1988,-85.0
crude rate of net migration,826,united kingdom,gb,40,1989,-56.0
crude rate of net migration,826,united kingdom,gb,41,1990,-12.0
crude rate of net migration,826,united kingdom,gb,42,1991,57.0
crude rate of net migration,826,united kingdom,gb,43,1992,174.0
crude rate of net migration,826,united kingdom,gb,44,1993,362.0
crude rate of net migration,826,united kingdom,gb,45,1994,578.0
crude rate of net migration,826,united kingdom,gb,46,1995,842.0
crude rate of net migration,826,united kingdom,gb,47,1996,1142.0
crude rate of net migration,826,united kingdom,gb,48,1997,1483.0
crude rate of net migration,826,united kingdom,gb,49,1998,1861.0
crude rate of net migration,826,united kingdom,gb,50,1999,2275.0
crude rate of net migration,826,united kingdom,gb,51,2000,2743.0
crude rate of net migration,826,united kingdom,gb,52,2001,3165.0
crude rate of net migration,826,united kingdom,gb,53,2002,3553.0
crude rate of net migration,826,united kingdom,gb,54,2003,3869.0
crude rate of net migration,826,united kingdom,gb,55,2004,4132.0
crude rate of net migration,826,united kingdom,gb,56,2005,4337.0
crude rate of net migration,826,united kingdom,gb,57,2006,4494.0
crude rate of net migration,826,united kingdom,gb,58,2007,4577.0
crude rate of net migration,826,united kingdom,gb,59,2008,4606.0
crude rate of net migration,826,united kingdom,gb,60,2009,4586.0
crude rate of net migration,826,united kingdom,gb,61,2010,4497.0
crude rate of net migration,826,united kingdom,gb,62,2011,4395.0
crude rate of net migration,826,united kingdom,gb,63,2012,4281.0
crude rate of net migration,826,united kingdom,gb,64,2013,4178.0
crude rate of net migration,826,united kingdom,gb,65,2014,4044.0
crude rate of net migration,826,united kingdom,gb,66,2015,3905.0
crude rate of net migration,826,united kingdom,gb,67,2016,3768.0
crude rate of net migration,826,united kingdom,gb,68,2017,3625.0
crude rate of net migration,826,united kingdom,gb,69,2018,3477.0
crude rate of net migration,826,united kingdom,gb,70,2019,3318.0
crude rate of net migration,826,united kingdom,gb,71,2020,3153.0
crude rate of net migration,826,united kingdom,gb,72,2021,3007.0
crude rate of net migration,826,united kingdom,gb,73,2022,2459.0
crude rate of net migration,826,united kingdom,gb,74,2023,2451.0
