indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,826,united kingdom,gb,1,1950,14763.0
total net number of migrants,826,united kingdom,gb,2,1951,19460.0
total net number of migrants,826,united kingdom,gb,3,1952,19516.0
total net number of migrants,826,united kingdom,gb,4,1953,17028.0
total net number of migrants,826,united kingdom,gb,5,1954,15343.0
total net number of migrants,826,united kingdom,gb,6,1955,14885.0
total net number of migrants,826,united kingdom,gb,7,1956,13081.0
total net number of migrants,826,united kingdom,gb,8,1957,11333.0
total net number of migrants,826,united kingdom,gb,9,1958,7947.0
total net number of migrants,826,united kingdom,gb,10,1959,3716.0
total net number of migrants,826,united kingdom,gb,11,1960,2344.0
total net number of migrants,826,united kingdom,gb,12,1961,-1995.0
total net number of migrants,826,united kingdom,gb,13,1962,-10512.0
total net number of migrants,826,united kingdom,gb,14,1963,-17416.0
total net number of migrants,826,united kingdom,gb,15,1964,-21275.0
total net number of migrants,826,united kingdom,gb,16,1965,-24045.0
total net number of migrants,826,united kingdom,gb,17,1966,-26429.0
total net number of migrants,826,united kingdom,gb,18,1967,-26277.0
total net number of migrants,826,united kingdom,gb,19,1968,-26361.0
total net number of migrants,826,united kingdom,gb,20,1969,-26316.0
total net number of migrants,826,united kingdom,gb,21,1970,-26696.0
total net number of migrants,826,united kingdom,gb,22,1971,-27068.0
total net number of migrants,826,united kingdom,gb,23,1972,-24157.0
total net number of migrants,826,united kingdom,gb,24,1973,-22267.0
total net number of migrants,826,united kingdom,gb,25,1974,-21077.0
total net number of migrants,826,united kingdom,gb,26,1975,-19790.0
total net number of migrants,826,united kingdom,gb,27,1976,-18150.0
total net number of migrants,826,united kingdom,gb,28,1977,-16875.0
total net number of migrants,826,united kingdom,gb,29,1978,-15087.0
total net number of migrants,826,united kingdom,gb,30,1979,-13965.0
total net number of migrants,826,united kingdom,gb,31,1980,-12117.0
total net number of migrants,826,united kingdom,gb,32,1981,-10985.0
total net number of migrants,826,united kingdom,gb,33,1982,-10558.0
total net number of migrants,826,united kingdom,gb,34,1983,-10463.0
total net number of migrants,826,united kingdom,gb,35,1984,-9430.0
total net number of migrants,826,united kingdom,gb,36,1985,-8661.0
total net number of migrants,826,united kingdom,gb,37,1986,-7507.0
total net number of migrants,826,united kingdom,gb,38,1987,-6563.0
total net number of migrants,826,united kingdom,gb,39,1988,-4833.0
total net number of migrants,826,united kingdom,gb,40,1989,-3187.0
total net number of migrants,826,united kingdom,gb,41,1990,-701.0
total net number of migrants,826,united kingdom,gb,42,1991,3255.0
total net number of migrants,826,united kingdom,gb,43,1992,10003.0
total net number of migrants,826,united kingdom,gb,44,1993,20837.0
total net number of migrants,826,united kingdom,gb,45,1994,33409.0
total net number of migrants,826,united kingdom,gb,46,1995,48732.0
total net number of migrants,826,united kingdom,gb,47,1996,66293.0
total net number of migrants,826,united kingdom,gb,48,1997,86309.0
total net number of migrants,826,united kingdom,gb,49,1998,108637.0
total net number of migrants,826,united kingdom,gb,50,1999,133216.0
total net number of migrants,826,united kingdom,gb,51,2000,161157.0
total net number of migrants,826,united kingdom,gb,52,2001,186701.0
total net number of migrants,826,united kingdom,gb,53,2002,210510.0
total net number of migrants,826,united kingdom,gb,54,2003,230387.0
total net number of migrants,826,united kingdom,gb,55,2004,247447.0
total net number of migrants,826,united kingdom,gb,56,2005,261300.0
total net number of migrants,826,united kingdom,gb,57,2006,272651.0
total net number of migrants,826,united kingdom,gb,58,2007,279808.0
total net number of migrants,826,united kingdom,gb,59,2008,283762.0
total net number of migrants,826,united kingdom,gb,60,2009,284800.0
total net number of migrants,826,united kingdom,gb,61,2010,281588.0
total net number of migrants,826,united kingdom,gb,62,2011,277521.0
total net number of migrants,826,united kingdom,gb,63,2012,272601.0
total net number of migrants,826,united kingdom,gb,64,2013,268067.0
total net number of migrants,826,united kingdom,gb,65,2014,261389.0
total net number of migrants,826,united kingdom,gb,66,2015,254218.0
total net number of migrants,826,united kingdom,gb,67,2016,246940.0
total net number of migrants,826,united kingdom,gb,68,2017,239014.0
total net number of migrants,826,united kingdom,gb,69,2018,230577.0
total net number of migrants,826,united kingdom,gb,70,2019,221179.0
total net number of migrants,826,united kingdom,gb,71,2020,211063.0
total net number of migrants,826,united kingdom,gb,72,2021,202027.0
total net number of migrants,826,united kingdom,gb,73,2022,165790.0
total net number of migrants,826,united kingdom,gb,74,2023,165790.0
