indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,834,united republic of tanzania,tz,1,1950,1226.0
total net number of migrants,834,united republic of tanzania,tz,2,1951,1226.0
total net number of migrants,834,united republic of tanzania,tz,3,1952,1226.0
total net number of migrants,834,united republic of tanzania,tz,4,1953,1226.0
total net number of migrants,834,united republic of tanzania,tz,5,1954,1226.0
total net number of migrants,834,united republic of tanzania,tz,6,1955,1226.0
total net number of migrants,834,united republic of tanzania,tz,7,1956,1226.0
total net number of migrants,834,united republic of tanzania,tz,8,1957,1226.0
total net number of migrants,834,united republic of tanzania,tz,9,1958,1260.0
total net number of migrants,834,united republic of tanzania,tz,10,1959,1525.0
total net number of migrants,834,united republic of tanzania,tz,11,1960,1953.0
total net number of migrants,834,united republic of tanzania,tz,12,1961,7359.0
total net number of migrants,834,united republic of tanzania,tz,13,1962,2892.0
total net number of migrants,834,united republic of tanzania,tz,14,1963,3212.0
total net number of migrants,834,united republic of tanzania,tz,15,1964,7966.0
total net number of migrants,834,united republic of tanzania,tz,16,1965,3644.0
total net number of migrants,834,united republic of tanzania,tz,17,1966,3876.0
total net number of migrants,834,united republic of tanzania,tz,18,1967,4204.0
total net number of migrants,834,united republic of tanzania,tz,19,1968,33345.0
total net number of migrants,834,united republic of tanzania,tz,20,1969,35754.0
total net number of migrants,834,united republic of tanzania,tz,21,1970,38628.0
total net number of migrants,834,united republic of tanzania,tz,22,1971,41913.0
total net number of migrants,834,united republic of tanzania,tz,23,1972,57460.0
total net number of migrants,834,united republic of tanzania,tz,24,1973,48340.0
total net number of migrants,834,united republic of tanzania,tz,25,1974,51112.0
total net number of migrants,834,united republic of tanzania,tz,26,1975,53248.0
total net number of migrants,834,united republic of tanzania,tz,27,1976,54819.0
total net number of migrants,834,united republic of tanzania,tz,28,1977,49981.0
total net number of migrants,834,united republic of tanzania,tz,29,1978,27301.0
total net number of migrants,834,united republic of tanzania,tz,30,1979,-4806.0
total net number of migrants,834,united republic of tanzania,tz,31,1980,-46294.0
total net number of migrants,834,united republic of tanzania,tz,32,1981,-46800.0
total net number of migrants,834,united republic of tanzania,tz,33,1982,-45146.0
total net number of migrants,834,united republic of tanzania,tz,34,1983,45680.0
total net number of migrants,834,united republic of tanzania,tz,35,1984,-39236.0
total net number of migrants,834,united republic of tanzania,tz,36,1985,75784.0
total net number of migrants,834,united republic of tanzania,tz,37,1986,19500.0
total net number of migrants,834,united republic of tanzania,tz,38,1987,87941.0
total net number of migrants,834,united republic of tanzania,tz,39,1988,-76750.0
total net number of migrants,834,united republic of tanzania,tz,40,1989,-76094.0
total net number of migrants,834,united republic of tanzania,tz,41,1990,-88284.0
total net number of migrants,834,united republic of tanzania,tz,42,1991,-91874.0
total net number of migrants,834,united republic of tanzania,tz,43,1992,-95865.0
total net number of migrants,834,united republic of tanzania,tz,44,1993,288072.0
total net number of migrants,834,united republic of tanzania,tz,45,1994,349345.0
total net number of migrants,834,united republic of tanzania,tz,46,1995,-109903.0
total net number of migrants,834,united republic of tanzania,tz,47,1996,-472926.0
total net number of migrants,834,united republic of tanzania,tz,48,1997,-13340.0
total net number of migrants,834,united republic of tanzania,tz,49,1998,-119727.0
total net number of migrants,834,united republic of tanzania,tz,50,1999,-11552.0
total net number of migrants,834,united republic of tanzania,tz,51,2000,-12539.0
total net number of migrants,834,united republic of tanzania,tz,52,2001,-124527.0
total net number of migrants,834,united republic of tanzania,tz,53,2002,-118044.0
total net number of migrants,834,united republic of tanzania,tz,54,2003,-127010.0
total net number of migrants,834,united republic of tanzania,tz,55,2004,-126446.0
total net number of migrants,834,united republic of tanzania,tz,56,2005,-128147.0
total net number of migrants,834,united republic of tanzania,tz,57,2006,-128070.0
total net number of migrants,834,united republic of tanzania,tz,58,2007,-126739.0
total net number of migrants,834,united republic of tanzania,tz,59,2008,-184748.0
total net number of migrants,834,united republic of tanzania,tz,60,2009,-324470.0
total net number of migrants,834,united republic of tanzania,tz,61,2010,-121993.0
total net number of migrants,834,united republic of tanzania,tz,62,2011,-84433.0
total net number of migrants,834,united republic of tanzania,tz,63,2012,-49713.0
total net number of migrants,834,united republic of tanzania,tz,64,2013,1346.0
total net number of migrants,834,united republic of tanzania,tz,65,2014,-21079.0
total net number of migrants,834,united republic of tanzania,tz,66,2015,201562.0
total net number of migrants,834,united republic of tanzania,tz,67,2016,124444.0
total net number of migrants,834,united republic of tanzania,tz,68,2017,101235.0
total net number of migrants,834,united republic of tanzania,tz,69,2018,-56813.0
total net number of migrants,834,united republic of tanzania,tz,70,2019,-64819.0
total net number of migrants,834,united republic of tanzania,tz,71,2020,-15795.0
total net number of migrants,834,united republic of tanzania,tz,72,2021,-4865.0
total net number of migrants,834,united republic of tanzania,tz,73,2022,-39997.0
total net number of migrants,834,united republic of tanzania,tz,74,2023,-39997.0
