indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,850,united states virgin islands,vi,1,1950,12489.0
crude rate of net migration,850,united states virgin islands,vi,2,1951,-4.43
crude rate of net migration,850,united states virgin islands,vi,3,1952,-5088.0
crude rate of net migration,850,united states virgin islands,vi,4,1953,-5016.0
crude rate of net migration,850,united states virgin islands,vi,5,1954,-5157.0
crude rate of net migration,850,united states virgin islands,vi,6,1955,-5034.0
crude rate of net migration,850,united states virgin islands,vi,7,1956,-5183.0
crude rate of net migration,850,united states virgin islands,vi,8,1957,-6102.0
crude rate of net migration,850,united states virgin islands,vi,9,1958,-7455.0
crude rate of net migration,850,united states virgin islands,vi,10,1959,-4165.0
crude rate of net migration,850,united states virgin islands,vi,11,1960,32.23
crude rate of net migration,850,united states virgin islands,vi,12,1961,48742.0
crude rate of net migration,850,united states virgin islands,vi,13,1962,49523.0
crude rate of net migration,850,united states virgin islands,vi,14,1963,46857.0
crude rate of net migration,850,united states virgin islands,vi,15,1964,43793.0
crude rate of net migration,850,united states virgin islands,vi,16,1965,46747.0
crude rate of net migration,850,united states virgin islands,vi,17,1966,45438.0
crude rate of net migration,850,united states virgin islands,vi,18,1967,36692.0
crude rate of net migration,850,united states virgin islands,vi,19,1968,31011.0
crude rate of net migration,850,united states virgin islands,vi,20,1969,25008.0
crude rate of net migration,850,united states virgin islands,vi,21,1970,19399.0
crude rate of net migration,850,united states virgin islands,vi,22,1971,23339.0
crude rate of net migration,850,united states virgin islands,vi,23,1972,21677.0
crude rate of net migration,850,united states virgin islands,vi,24,1973,20242.0
crude rate of net migration,850,united states virgin islands,vi,25,1974,18.75
crude rate of net migration,850,united states virgin islands,vi,26,1975,18825.0
crude rate of net migration,850,united states virgin islands,vi,27,1976,17962.0
crude rate of net migration,850,united states virgin islands,vi,28,1977,16872.0
crude rate of net migration,850,united states virgin islands,vi,29,1978,13668.0
crude rate of net migration,850,united states virgin islands,vi,30,1979,14831.0
crude rate of net migration,850,united states virgin islands,vi,31,1980,-1085.0
crude rate of net migration,850,united states virgin islands,vi,32,1981,-4089.0
crude rate of net migration,850,united states virgin islands,vi,33,1982,-6275.0
crude rate of net migration,850,united states virgin islands,vi,34,1983,-7705.0
crude rate of net migration,850,united states virgin islands,vi,35,1984,-10808.0
crude rate of net migration,850,united states virgin islands,vi,36,1985,-14891.0
crude rate of net migration,850,united states virgin islands,vi,37,1986,-18802.0
crude rate of net migration,850,united states virgin islands,vi,38,1987,-21341.0
crude rate of net migration,850,united states virgin islands,vi,39,1988,-21442.0
crude rate of net migration,850,united states virgin islands,vi,40,1989,-19174.0
crude rate of net migration,850,united states virgin islands,vi,41,1990,-15601.0
crude rate of net migration,850,united states virgin islands,vi,42,1991,-11.97
crude rate of net migration,850,united states virgin islands,vi,43,1992,-9536.0
crude rate of net migration,850,united states virgin islands,vi,44,1993,-8923.0
crude rate of net migration,850,united states virgin islands,vi,45,1994,-8569.0
crude rate of net migration,850,united states virgin islands,vi,46,1995,1394.0
crude rate of net migration,850,united states virgin islands,vi,47,1996,2192.0
crude rate of net migration,850,united states virgin islands,vi,48,1997,747.0
crude rate of net migration,850,united states virgin islands,vi,49,1998,1236.0
crude rate of net migration,850,united states virgin islands,vi,50,1999,714.0
crude rate of net migration,850,united states virgin islands,vi,51,2000,-8474.0
crude rate of net migration,850,united states virgin islands,vi,52,2001,-9104.0
crude rate of net migration,850,united states virgin islands,vi,53,2002,-9.62
crude rate of net migration,850,united states virgin islands,vi,54,2003,-9807.0
crude rate of net migration,850,united states virgin islands,vi,55,2004,-10454.0
crude rate of net migration,850,united states virgin islands,vi,56,2005,-4021.0
crude rate of net migration,850,united states virgin islands,vi,57,2006,-4998.0
crude rate of net migration,850,united states virgin islands,vi,58,2007,-5333.0
crude rate of net migration,850,united states virgin islands,vi,59,2008,-6378.0
crude rate of net migration,850,united states virgin islands,vi,60,2009,-5308.0
crude rate of net migration,850,united states virgin islands,vi,61,2010,-10213.0
crude rate of net migration,850,united states virgin islands,vi,62,2011,-9609.0
crude rate of net migration,850,united states virgin islands,vi,63,2012,-8859.0
crude rate of net migration,850,united states virgin islands,vi,64,2013,-8212.0
crude rate of net migration,850,united states virgin islands,vi,65,2014,-7.21
crude rate of net migration,850,united states virgin islands,vi,66,2015,-6.11
crude rate of net migration,850,united states virgin islands,vi,67,2016,-5128.0
crude rate of net migration,850,united states virgin islands,vi,68,2017,-4614.0
crude rate of net migration,850,united states virgin islands,vi,69,2018,-4509.0
crude rate of net migration,850,united states virgin islands,vi,70,2019,-4533.0
crude rate of net migration,850,united states virgin islands,vi,71,2020,0.0
crude rate of net migration,850,united states virgin islands,vi,72,2021,-2236.0
crude rate of net migration,850,united states virgin islands,vi,73,2022,-4514.0
crude rate of net migration,850,united states virgin islands,vi,74,2023,-4547.0
