indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,850,united states virgin islands,vi,1,1950,336.0
total net number of migrants,850,united states virgin islands,vi,2,1951,-123.0
total net number of migrants,850,united states virgin islands,vi,3,1952,-143.0
total net number of migrants,850,united states virgin islands,vi,4,1953,-143.0
total net number of migrants,850,united states virgin islands,vi,5,1954,-149.0
total net number of migrants,850,united states virgin islands,vi,6,1955,-148.0
total net number of migrants,850,united states virgin islands,vi,7,1956,-155.0
total net number of migrants,850,united states virgin islands,vi,8,1957,-186.0
total net number of migrants,850,united states virgin islands,vi,9,1958,-232.0
total net number of migrants,850,united states virgin islands,vi,10,1959,-132.0
total net number of migrants,850,united states virgin islands,vi,11,1960,1043.0
total net number of migrants,850,united states virgin islands,vi,12,1961,1665.0
total net number of migrants,850,united states virgin islands,vi,13,1962,1816.0
total net number of migrants,850,united states virgin islands,vi,14,1963,1843.0
total net number of migrants,850,united states virgin islands,vi,15,1964,1850.0
total net number of migrants,850,united states virgin islands,vi,16,1965,2116.0
total net number of migrants,850,united states virgin islands,vi,17,1966,2208.0
total net number of migrants,850,united states virgin islands,vi,18,1967,1918.0
total net number of migrants,850,united states virgin islands,vi,19,1968,1732.0
total net number of migrants,850,united states virgin islands,vi,20,1969,1486.0
total net number of migrants,850,united states virgin islands,vi,21,1970,1225.0
total net number of migrants,850,united states virgin islands,vi,22,1971,1548.0
total net number of migrants,850,united states virgin islands,vi,23,1972,1520.0
total net number of migrants,850,united states virgin islands,vi,24,1973,1492.0
total net number of migrants,850,united states virgin islands,vi,25,1974,1448.0
total net number of migrants,850,united states virgin islands,vi,26,1975,1517.0
total net number of migrants,850,united states virgin islands,vi,27,1976,1508.0
total net number of migrants,850,united states virgin islands,vi,28,1977,1472.0
total net number of migrants,850,united states virgin islands,vi,29,1978,1238.0
total net number of migrants,850,united states virgin islands,vi,30,1979,1388.0
total net number of migrants,850,united states virgin islands,vi,31,1980,-105.0
total net number of migrants,850,united states virgin islands,vi,32,1981,-402.0
total net number of migrants,850,united states virgin islands,vi,33,1982,-626.0
total net number of migrants,850,united states virgin islands,vi,34,1983,-778.0
total net number of migrants,850,united states virgin islands,vi,35,1984,-1102.0
total net number of migrants,850,united states virgin islands,vi,36,1985,-1529.0
total net number of migrants,850,united states virgin islands,vi,37,1986,-1934.0
total net number of migrants,850,united states virgin islands,vi,38,1987,-2192.0
total net number of migrants,850,united states virgin islands,vi,39,1988,-2191.0
total net number of migrants,850,united states virgin islands,vi,40,1989,-1951.0
total net number of migrants,850,united states virgin islands,vi,41,1990,-1583.0
total net number of migrants,850,united states virgin islands,vi,42,1991,-1216.0
total net number of migrants,850,united states virgin islands,vi,43,1992,-973.0
total net number of migrants,850,united states virgin islands,vi,44,1993,-915.0
total net number of migrants,850,united states virgin islands,vi,45,1994,-883.0
total net number of migrants,850,united states virgin islands,vi,46,1995,144.0
total net number of migrants,850,united states virgin islands,vi,47,1996,229.0
total net number of migrants,850,united states virgin islands,vi,48,1997,79.0
total net number of migrants,850,united states virgin islands,vi,49,1998,132.0
total net number of migrants,850,united states virgin islands,vi,50,1999,77.0
total net number of migrants,850,united states virgin islands,vi,51,2000,-921.0
total net number of migrants,850,united states virgin islands,vi,52,2001,-988.0
total net number of migrants,850,united states virgin islands,vi,53,2002,-1041.0
total net number of migrants,850,united states virgin islands,vi,54,2003,-1057.0
total net number of migrants,850,united states virgin islands,vi,55,2004,-1122.0
total net number of migrants,850,united states virgin islands,vi,56,2005,-429.0
total net number of migrants,850,united states virgin islands,vi,57,2006,-534.0
total net number of migrants,850,united states virgin islands,vi,58,2007,-570.0
total net number of migrants,850,united states virgin islands,vi,59,2008,-682.0
total net number of migrants,850,united states virgin islands,vi,60,2009,-567.0
total net number of migrants,850,united states virgin islands,vi,61,2010,-1090.0
total net number of migrants,850,united states virgin islands,vi,62,2011,-1018.0
total net number of migrants,850,united states virgin islands,vi,63,2012,-932.0
total net number of migrants,850,united states virgin islands,vi,64,2013,-858.0
total net number of migrants,850,united states virgin islands,vi,65,2014,-748.0
total net number of migrants,850,united states virgin islands,vi,66,2015,-630.0
total net number of migrants,850,united states virgin islands,vi,67,2016,-526.0
total net number of migrants,850,united states virgin islands,vi,68,2017,-471.0
total net number of migrants,850,united states virgin islands,vi,69,2018,-458.0
total net number of migrants,850,united states virgin islands,vi,70,2019,-458.0
total net number of migrants,850,united states virgin islands,vi,71,2020,0.0
total net number of migrants,850,united states virgin islands,vi,72,2021,-224.0
total net number of migrants,850,united states virgin islands,vi,73,2022,-450.0
total net number of migrants,850,united states virgin islands,vi,74,2023,-450.0
