indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,860,uzbekistan,uz,1,1950,0.78
crude rate of net migration,860,uzbekistan,uz,2,1951,0.66
crude rate of net migration,860,uzbekistan,uz,3,1952,0.56
crude rate of net migration,860,uzbekistan,uz,4,1953,477.0
crude rate of net migration,860,uzbekistan,uz,5,1954,409.0
crude rate of net migration,860,uzbekistan,uz,6,1955,0.59
crude rate of net migration,860,uzbekistan,uz,7,1956,618.0
crude rate of net migration,860,uzbekistan,uz,8,1957,682.0
crude rate of net migration,860,uzbekistan,uz,9,1958,825.0
crude rate of net migration,860,uzbekistan,uz,10,1959,1274.0
crude rate of net migration,860,uzbekistan,uz,11,1960,2634.0
crude rate of net migration,860,uzbekistan,uz,12,1961,5554.0
crude rate of net migration,860,uzbekistan,uz,13,1962,5828.0
crude rate of net migration,860,uzbekistan,uz,14,1963,6086.0
crude rate of net migration,860,uzbekistan,uz,15,1964,6323.0
crude rate of net migration,860,uzbekistan,uz,16,1965,6495.0
crude rate of net migration,860,uzbekistan,uz,17,1966,6642.0
crude rate of net migration,860,uzbekistan,uz,18,1967,6827.0
crude rate of net migration,860,uzbekistan,uz,19,1968,6943.0
crude rate of net migration,860,uzbekistan,uz,20,1969,23863.0
crude rate of net migration,860,uzbekistan,uz,21,1970,3112.0
crude rate of net migration,860,uzbekistan,uz,22,1971,1944.0
crude rate of net migration,860,uzbekistan,uz,23,1972,2103.0
crude rate of net migration,860,uzbekistan,uz,24,1973,2298.0
crude rate of net migration,860,uzbekistan,uz,25,1974,2493.0
crude rate of net migration,860,uzbekistan,uz,26,1975,25965.0
crude rate of net migration,860,uzbekistan,uz,27,1976,2946.0
crude rate of net migration,860,uzbekistan,uz,28,1977,3102.0
crude rate of net migration,860,uzbekistan,uz,29,1978,1835.0
crude rate of net migration,860,uzbekistan,uz,30,1979,-698.0
crude rate of net migration,860,uzbekistan,uz,31,1980,-1938.0
crude rate of net migration,860,uzbekistan,uz,32,1981,-1892.0
crude rate of net migration,860,uzbekistan,uz,33,1982,-1773.0
crude rate of net migration,860,uzbekistan,uz,34,1983,-1618.0
crude rate of net migration,860,uzbekistan,uz,35,1984,-1404.0
crude rate of net migration,860,uzbekistan,uz,36,1985,-1104.0
crude rate of net migration,860,uzbekistan,uz,37,1986,-716.0
crude rate of net migration,860,uzbekistan,uz,38,1987,-328.0
crude rate of net migration,860,uzbekistan,uz,39,1988,-24.0
crude rate of net migration,860,uzbekistan,uz,40,1989,-2071.0
crude rate of net migration,860,uzbekistan,uz,41,1990,-3564.0
crude rate of net migration,860,uzbekistan,uz,42,1991,-1378.0
crude rate of net migration,860,uzbekistan,uz,43,1992,-1.54
crude rate of net migration,860,uzbekistan,uz,44,1993,-1691.0
crude rate of net migration,860,uzbekistan,uz,45,1994,-1851.0
crude rate of net migration,860,uzbekistan,uz,46,1995,-1991.0
crude rate of net migration,860,uzbekistan,uz,47,1996,-2143.0
crude rate of net migration,860,uzbekistan,uz,48,1997,-2024.0
crude rate of net migration,860,uzbekistan,uz,49,1998,-2055.0
crude rate of net migration,860,uzbekistan,uz,50,1999,-2516.0
crude rate of net migration,860,uzbekistan,uz,51,2000,-2667.0
crude rate of net migration,860,uzbekistan,uz,52,2001,-1925.0
crude rate of net migration,860,uzbekistan,uz,53,2002,-1863.0
crude rate of net migration,860,uzbekistan,uz,54,2003,-1701.0
crude rate of net migration,860,uzbekistan,uz,55,2004,-1479.0
crude rate of net migration,860,uzbekistan,uz,56,2005,-1256.0
crude rate of net migration,860,uzbekistan,uz,57,2006,-1084.0
crude rate of net migration,860,uzbekistan,uz,58,2007,-989.0
crude rate of net migration,860,uzbekistan,uz,59,2008,-866.0
crude rate of net migration,860,uzbekistan,uz,60,2009,-723.0
crude rate of net migration,860,uzbekistan,uz,61,2010,-712.0
crude rate of net migration,860,uzbekistan,uz,62,2011,-701.0
crude rate of net migration,860,uzbekistan,uz,63,2012,-691.0
crude rate of net migration,860,uzbekistan,uz,64,2013,-0.68
crude rate of net migration,860,uzbekistan,uz,65,2014,-669.0
crude rate of net migration,860,uzbekistan,uz,66,2015,-658.0
crude rate of net migration,860,uzbekistan,uz,67,2016,-1119.0
crude rate of net migration,860,uzbekistan,uz,68,2017,-1519.0
crude rate of net migration,860,uzbekistan,uz,69,2018,-1848.0
crude rate of net migration,860,uzbekistan,uz,70,2019,-2102.0
crude rate of net migration,860,uzbekistan,uz,71,2020,-1168.0
crude rate of net migration,860,uzbekistan,uz,72,2021,-1.15
crude rate of net migration,860,uzbekistan,uz,73,2022,-578.0
crude rate of net migration,860,uzbekistan,uz,74,2023,-569.0
