indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,704,viet nam,vn,1,1950,0.0
crude rate of net migration,704,viet nam,vn,2,1951,0.0
crude rate of net migration,704,viet nam,vn,3,1952,0.0
crude rate of net migration,704,viet nam,vn,4,1953,0.0
crude rate of net migration,704,viet nam,vn,5,1954,0.0
crude rate of net migration,704,viet nam,vn,6,1955,0.0
crude rate of net migration,704,viet nam,vn,7,1956,0.0
crude rate of net migration,704,viet nam,vn,8,1957,0.0
crude rate of net migration,704,viet nam,vn,9,1958,0.0
crude rate of net migration,704,viet nam,vn,10,1959,0.0
crude rate of net migration,704,viet nam,vn,11,1960,0.0
crude rate of net migration,704,viet nam,vn,12,1961,0.0
crude rate of net migration,704,viet nam,vn,13,1962,0.0
crude rate of net migration,704,viet nam,vn,14,1963,0.0
crude rate of net migration,704,viet nam,vn,15,1964,-274.0
crude rate of net migration,704,viet nam,vn,16,1965,-133.0
crude rate of net migration,704,viet nam,vn,17,1966,-52.0
crude rate of net migration,704,viet nam,vn,18,1967,-76.0
crude rate of net migration,704,viet nam,vn,19,1968,-0.05
crude rate of net migration,704,viet nam,vn,20,1969,0.0
crude rate of net migration,704,viet nam,vn,21,1970,48.0
crude rate of net migration,704,viet nam,vn,22,1971,1795.0
crude rate of net migration,704,viet nam,vn,23,1972,-46.0
crude rate of net migration,704,viet nam,vn,24,1973,-445.0
crude rate of net migration,704,viet nam,vn,25,1974,-762.0
crude rate of net migration,704,viet nam,vn,26,1975,-45.0
crude rate of net migration,704,viet nam,vn,27,1976,-39.0
crude rate of net migration,704,viet nam,vn,28,1977,1004.0
crude rate of net migration,704,viet nam,vn,29,1978,-0.13
crude rate of net migration,704,viet nam,vn,30,1979,-6492.0
crude rate of net migration,704,viet nam,vn,31,1980,-0.99
crude rate of net migration,704,viet nam,vn,32,1981,-1062.0
crude rate of net migration,704,viet nam,vn,33,1982,-1056.0
crude rate of net migration,704,viet nam,vn,34,1983,-1004.0
crude rate of net migration,704,viet nam,vn,35,1984,-936.0
crude rate of net migration,704,viet nam,vn,36,1985,-938.0
crude rate of net migration,704,viet nam,vn,37,1986,-961.0
crude rate of net migration,704,viet nam,vn,38,1987,-898.0
crude rate of net migration,704,viet nam,vn,39,1988,-712.0
crude rate of net migration,704,viet nam,vn,40,1989,-104.0
crude rate of net migration,704,viet nam,vn,41,1990,-153.0
crude rate of net migration,704,viet nam,vn,42,1991,-12.0
crude rate of net migration,704,viet nam,vn,43,1992,-81.0
crude rate of net migration,704,viet nam,vn,44,1993,-76.0
crude rate of net migration,704,viet nam,vn,45,1994,-0.04
crude rate of net migration,704,viet nam,vn,46,1995,593.0
crude rate of net migration,704,viet nam,vn,47,1996,678.0
crude rate of net migration,704,viet nam,vn,48,1997,691.0
crude rate of net migration,704,viet nam,vn,49,1998,939.0
crude rate of net migration,704,viet nam,vn,50,1999,-399.0
crude rate of net migration,704,viet nam,vn,51,2000,-1909.0
crude rate of net migration,704,viet nam,vn,52,2001,-2035.0
crude rate of net migration,704,viet nam,vn,53,2002,-1977.0
crude rate of net migration,704,viet nam,vn,54,2003,-1887.0
crude rate of net migration,704,viet nam,vn,55,2004,-1825.0
crude rate of net migration,704,viet nam,vn,56,2005,-1732.0
crude rate of net migration,704,viet nam,vn,57,2006,-1566.0
crude rate of net migration,704,viet nam,vn,58,2007,-1408.0
crude rate of net migration,704,viet nam,vn,59,2008,-1186.0
crude rate of net migration,704,viet nam,vn,60,2009,-214.0
crude rate of net migration,704,viet nam,vn,61,2010,-0.05
crude rate of net migration,704,viet nam,vn,62,2011,-0.05
crude rate of net migration,704,viet nam,vn,63,2012,-51.0
crude rate of net migration,704,viet nam,vn,64,2013,-53.0
crude rate of net migration,704,viet nam,vn,65,2014,-53.0
crude rate of net migration,704,viet nam,vn,66,2015,-52.0
crude rate of net migration,704,viet nam,vn,67,2016,-48.0
crude rate of net migration,704,viet nam,vn,68,2017,-41.0
crude rate of net migration,704,viet nam,vn,69,2018,-32.0
crude rate of net migration,704,viet nam,vn,70,2019,-42.0
crude rate of net migration,704,viet nam,vn,71,2020,-21.0
crude rate of net migration,704,viet nam,vn,72,2021,-0.01
crude rate of net migration,704,viet nam,vn,73,2022,-842.0
crude rate of net migration,704,viet nam,vn,74,2023,-836.0
