indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,704,viet nam,vn,1,1950,0.0
total net number of migrants,704,viet nam,vn,2,1951,0.0
total net number of migrants,704,viet nam,vn,3,1952,0.0
total net number of migrants,704,viet nam,vn,4,1953,0.0
total net number of migrants,704,viet nam,vn,5,1954,0.0
total net number of migrants,704,viet nam,vn,6,1955,0.0
total net number of migrants,704,viet nam,vn,7,1956,0.0
total net number of migrants,704,viet nam,vn,8,1957,0.0
total net number of migrants,704,viet nam,vn,9,1958,0.0
total net number of migrants,704,viet nam,vn,10,1959,0.0
total net number of migrants,704,viet nam,vn,11,1960,0.0
total net number of migrants,704,viet nam,vn,12,1961,0.0
total net number of migrants,704,viet nam,vn,13,1962,0.0
total net number of migrants,704,viet nam,vn,14,1963,0.0
total net number of migrants,704,viet nam,vn,15,1964,-10004.0
total net number of migrants,704,viet nam,vn,16,1965,-4997.0
total net number of migrants,704,viet nam,vn,17,1966,-2001.0
total net number of migrants,704,viet nam,vn,18,1967,-2999.0
total net number of migrants,704,viet nam,vn,19,1968,-2001.0
total net number of migrants,704,viet nam,vn,20,1969,0.0
total net number of migrants,704,viet nam,vn,21,1970,2002.0
total net number of migrants,704,viet nam,vn,22,1971,76999.0
total net number of migrants,704,viet nam,vn,23,1972,-2001.0
total net number of migrants,704,viet nam,vn,24,1973,-19999.0
total net number of migrants,704,viet nam,vn,25,1974,-34997.0
total net number of migrants,704,viet nam,vn,26,1975,-2117.0
total net number of migrants,704,viet nam,vn,27,1976,-1881.0
total net number of migrants,704,viet nam,vn,28,1977,49617.0
total net number of migrants,704,viet nam,vn,29,1978,-6609.0
total net number of migrants,704,viet nam,vn,30,1979,-337639.0
total net number of migrants,704,viet nam,vn,31,1980,-52498.0
total net number of migrants,704,viet nam,vn,32,1981,-57715.0
total net number of migrants,704,viet nam,vn,33,1982,-58798.0
total net number of migrants,704,viet nam,vn,34,1983,-57271.0
total net number of migrants,704,viet nam,vn,35,1984,-54728.0
total net number of migrants,704,viet nam,vn,36,1985,-56107.0
total net number of migrants,704,viet nam,vn,37,1986,-58879.0
total net number of migrants,704,viet nam,vn,38,1987,-56261.0
total net number of migrants,704,viet nam,vn,39,1988,-45612.0
total net number of migrants,704,viet nam,vn,40,1989,-6835.0
total net number of migrants,704,viet nam,vn,41,1990,-10252.0
total net number of migrants,704,viet nam,vn,42,1991,-824.0
total net number of migrants,704,viet nam,vn,43,1992,-5664.0
total net number of migrants,704,viet nam,vn,44,1993,-5426.0
total net number of migrants,704,viet nam,vn,45,1994,-2891.0
total net number of migrants,704,viet nam,vn,46,1995,43672.0
total net number of migrants,704,viet nam,vn,47,1996,50794.0
total net number of migrants,704,viet nam,vn,48,1997,52526.0
total net number of migrants,704,viet nam,vn,49,1998,72370.0
total net number of migrants,704,viet nam,vn,50,1999,-31169.0
total net number of migrants,704,viet nam,vn,51,2000,-150955.0
total net number of migrants,704,viet nam,vn,52,2001,-162571.0
total net number of migrants,704,viet nam,vn,53,2002,-159577.0
total net number of migrants,704,viet nam,vn,54,2003,-153880.0
total net number of migrants,704,viet nam,vn,55,2004,-150349.0
total net number of migrants,704,viet nam,vn,56,2005,-144080.0
total net number of migrants,704,viet nam,vn,57,2006,-131559.0
total net number of migrants,704,viet nam,vn,58,2007,-119471.0
total net number of migrants,704,viet nam,vn,59,2008,-101560.0
total net number of migrants,704,viet nam,vn,60,2009,-18546.0
total net number of migrants,704,viet nam,vn,61,2010,-4382.0
total net number of migrants,704,viet nam,vn,62,2011,-4378.0
total net number of migrants,704,viet nam,vn,63,2012,-4545.0
total net number of migrants,704,viet nam,vn,64,2013,-4786.0
total net number of migrants,704,viet nam,vn,65,2014,-4875.0
total net number of migrants,704,viet nam,vn,66,2015,-4761.0
total net number of migrants,704,viet nam,vn,67,2016,-4432.0
total net number of migrants,704,viet nam,vn,68,2017,-3847.0
total net number of migrants,704,viet nam,vn,69,2018,-3080.0
total net number of migrants,704,viet nam,vn,70,2019,-4028.0
total net number of migrants,704,viet nam,vn,71,2020,-2016.0
total net number of migrants,704,viet nam,vn,72,2021,-992.0
total net number of migrants,704,viet nam,vn,73,2022,-82700.0
total net number of migrants,704,viet nam,vn,74,2023,-82700.0
