indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,876,wallis and futuna islands,wf,1,1950,-4201.0
crude rate of net migration,876,wallis and futuna islands,wf,2,1951,11633.0
crude rate of net migration,876,wallis and futuna islands,wf,3,1952,11187.0
crude rate of net migration,876,wallis and futuna islands,wf,4,1953,10755.0
crude rate of net migration,876,wallis and futuna islands,wf,5,1954,-34.86
crude rate of net migration,876,wallis and futuna islands,wf,6,1955,-38338.0
crude rate of net migration,876,wallis and futuna islands,wf,7,1956,-40989.0
crude rate of net migration,876,wallis and futuna islands,wf,8,1957,-42721.0
crude rate of net migration,876,wallis and futuna islands,wf,9,1958,-44579.0
crude rate of net migration,876,wallis and futuna islands,wf,10,1959,-45839.0
crude rate of net migration,876,wallis and futuna islands,wf,11,1960,-47.53
crude rate of net migration,876,wallis and futuna islands,wf,12,1961,-49586.0
crude rate of net migration,876,wallis and futuna islands,wf,13,1962,-2946.0
crude rate of net migration,876,wallis and futuna islands,wf,14,1963,0.0
crude rate of net migration,876,wallis and futuna islands,wf,15,1964,0.0
crude rate of net migration,876,wallis and futuna islands,wf,16,1965,-16399.0
crude rate of net migration,876,wallis and futuna islands,wf,17,1966,-13993.0
crude rate of net migration,876,wallis and futuna islands,wf,18,1967,-13418.0
crude rate of net migration,876,wallis and futuna islands,wf,19,1968,-14199.0
crude rate of net migration,876,wallis and futuna islands,wf,20,1969,-18371.0
crude rate of net migration,876,wallis and futuna islands,wf,21,1970,-22245.0
crude rate of net migration,876,wallis and futuna islands,wf,22,1971,-23494.0
crude rate of net migration,876,wallis and futuna islands,wf,23,1972,-23919.0
crude rate of net migration,876,wallis and futuna islands,wf,24,1973,-24143.0
crude rate of net migration,876,wallis and futuna islands,wf,25,1974,-22679.0
crude rate of net migration,876,wallis and futuna islands,wf,26,1975,-22.07
crude rate of net migration,876,wallis and futuna islands,wf,27,1976,1622.0
crude rate of net migration,876,wallis and futuna islands,wf,28,1977,8291.0
crude rate of net migration,876,wallis and futuna islands,wf,29,1978,7624.0
crude rate of net migration,876,wallis and futuna islands,wf,30,1979,9114.0
crude rate of net migration,876,wallis and futuna islands,wf,31,1980,12634.0
crude rate of net migration,876,wallis and futuna islands,wf,32,1981,10351.0
crude rate of net migration,876,wallis and futuna islands,wf,33,1982,13376.0
crude rate of net migration,876,wallis and futuna islands,wf,34,1983,-9791.0
crude rate of net migration,876,wallis and futuna islands,wf,35,1984,-14806.0
crude rate of net migration,876,wallis and futuna islands,wf,36,1985,-15.19
crude rate of net migration,876,wallis and futuna islands,wf,37,1986,-17309.0
crude rate of net migration,876,wallis and futuna islands,wf,38,1987,-18934.0
crude rate of net migration,876,wallis and futuna islands,wf,39,1988,-15419.0
crude rate of net migration,876,wallis and futuna islands,wf,40,1989,-13566.0
crude rate of net migration,876,wallis and futuna islands,wf,41,1990,-14659.0
crude rate of net migration,876,wallis and futuna islands,wf,42,1991,-13204.0
crude rate of net migration,876,wallis and futuna islands,wf,43,1992,-11704.0
crude rate of net migration,876,wallis and futuna islands,wf,44,1993,-9807.0
crude rate of net migration,876,wallis and futuna islands,wf,45,1994,-8.44
crude rate of net migration,876,wallis and futuna islands,wf,46,1995,-7384.0
crude rate of net migration,876,wallis and futuna islands,wf,47,1996,-8368.0
crude rate of net migration,876,wallis and futuna islands,wf,48,1997,-10704.0
crude rate of net migration,876,wallis and futuna islands,wf,49,1998,-7152.0
crude rate of net migration,876,wallis and futuna islands,wf,50,1999,-6215.0
crude rate of net migration,876,wallis and futuna islands,wf,51,2000,-5219.0
crude rate of net migration,876,wallis and futuna islands,wf,52,2001,-5106.0
crude rate of net migration,876,wallis and futuna islands,wf,53,2002,-3466.0
crude rate of net migration,876,wallis and futuna islands,wf,54,2003,-15138.0
crude rate of net migration,876,wallis and futuna islands,wf,55,2004,-30391.0
crude rate of net migration,876,wallis and futuna islands,wf,56,2005,-29788.0
crude rate of net migration,876,wallis and futuna islands,wf,57,2006,-29249.0
crude rate of net migration,876,wallis and futuna islands,wf,58,2007,-30001.0
crude rate of net migration,876,wallis and futuna islands,wf,59,2008,-28734.0
crude rate of net migration,876,wallis and futuna islands,wf,60,2009,-26823.0
crude rate of net migration,876,wallis and futuna islands,wf,61,2010,-26795.0
crude rate of net migration,876,wallis and futuna islands,wf,62,2011,-26844.0
crude rate of net migration,876,wallis and futuna islands,wf,63,2012,-26107.0
crude rate of net migration,876,wallis and futuna islands,wf,64,2013,-22312.0
crude rate of net migration,876,wallis and futuna islands,wf,65,2014,-17.25
crude rate of net migration,876,wallis and futuna islands,wf,66,2015,-17017.0
crude rate of net migration,876,wallis and futuna islands,wf,67,2016,-16534.0
crude rate of net migration,876,wallis and futuna islands,wf,68,2017,-16706.0
crude rate of net migration,876,wallis and futuna islands,wf,69,2018,-14368.0
crude rate of net migration,876,wallis and futuna islands,wf,70,2019,-14489.0
crude rate of net migration,876,wallis and futuna islands,wf,71,2020,-7096.0
crude rate of net migration,876,wallis and futuna islands,wf,72,2021,-7112.0
crude rate of net migration,876,wallis and futuna islands,wf,73,2022,-11.68
crude rate of net migration,876,wallis and futuna islands,wf,74,2023,-10291.0
