indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,876,wallis and futuna islands,wf,1,1950,-36.0
total net number of migrants,876,wallis and futuna islands,wf,2,1951,102.0
total net number of migrants,876,wallis and futuna islands,wf,3,1952,102.0
total net number of migrants,876,wallis and futuna islands,wf,4,1953,102.0
total net number of migrants,876,wallis and futuna islands,wf,5,1954,-344.0
total net number of migrants,876,wallis and futuna islands,wf,6,1955,-376.0
total net number of migrants,876,wallis and futuna islands,wf,7,1956,-398.0
total net number of migrants,876,wallis and futuna islands,wf,8,1957,-409.0
total net number of migrants,876,wallis and futuna islands,wf,9,1958,-419.0
total net number of migrants,876,wallis and futuna islands,wf,10,1959,-422.0
total net number of migrants,876,wallis and futuna islands,wf,11,1960,-427.0
total net number of migrants,876,wallis and futuna islands,wf,12,1961,-434.0
total net number of migrants,876,wallis and futuna islands,wf,13,1962,-25.0
total net number of migrants,876,wallis and futuna islands,wf,14,1963,0.0
total net number of migrants,876,wallis and futuna islands,wf,15,1964,0.0
total net number of migrants,876,wallis and futuna islands,wf,16,1965,-147.0
total net number of migrants,876,wallis and futuna islands,wf,17,1966,-126.0
total net number of migrants,876,wallis and futuna islands,wf,18,1967,-122.0
total net number of migrants,876,wallis and futuna islands,wf,19,1968,-131.0
total net number of migrants,876,wallis and futuna islands,wf,20,1969,-172.0
total net number of migrants,876,wallis and futuna islands,wf,21,1970,-211.0
total net number of migrants,876,wallis and futuna islands,wf,22,1971,-225.0
total net number of migrants,876,wallis and futuna islands,wf,23,1972,-231.0
total net number of migrants,876,wallis and futuna islands,wf,24,1973,-235.0
total net number of migrants,876,wallis and futuna islands,wf,25,1974,-222.0
total net number of migrants,876,wallis and futuna islands,wf,26,1975,-217.0
total net number of migrants,876,wallis and futuna islands,wf,27,1976,16.0
total net number of migrants,876,wallis and futuna islands,wf,28,1977,84.0
total net number of migrants,876,wallis and futuna islands,wf,29,1978,80.0
total net number of migrants,876,wallis and futuna islands,wf,30,1979,99.0
total net number of migrants,876,wallis and futuna islands,wf,31,1980,142.0
total net number of migrants,876,wallis and futuna islands,wf,32,1981,121.0
total net number of migrants,876,wallis and futuna islands,wf,33,1982,162.0
total net number of migrants,876,wallis and futuna islands,wf,34,1983,-123.0
total net number of migrants,876,wallis and futuna islands,wf,35,1984,-189.0
total net number of migrants,876,wallis and futuna islands,wf,36,1985,-196.0
total net number of migrants,876,wallis and futuna islands,wf,37,1986,-226.0
total net number of migrants,876,wallis and futuna islands,wf,38,1987,-250.0
total net number of migrants,876,wallis and futuna islands,wf,39,1988,-205.0
total net number of migrants,876,wallis and futuna islands,wf,40,1989,-182.0
total net number of migrants,876,wallis and futuna islands,wf,41,1990,-199.0
total net number of migrants,876,wallis and futuna islands,wf,42,1991,-181.0
total net number of migrants,876,wallis and futuna islands,wf,43,1992,-162.0
total net number of migrants,876,wallis and futuna islands,wf,44,1993,-137.0
total net number of migrants,876,wallis and futuna islands,wf,45,1994,-119.0
total net number of migrants,876,wallis and futuna islands,wf,46,1995,-105.0
total net number of migrants,876,wallis and futuna islands,wf,47,1996,-120.0
total net number of migrants,876,wallis and futuna islands,wf,48,1997,-155.0
total net number of migrants,876,wallis and futuna islands,wf,49,1998,-104.0
total net number of migrants,876,wallis and futuna islands,wf,50,1999,-91.0
total net number of migrants,876,wallis and futuna islands,wf,51,2000,-77.0
total net number of migrants,876,wallis and futuna islands,wf,52,2001,-76.0
total net number of migrants,876,wallis and futuna islands,wf,53,2002,-52.0
total net number of migrants,876,wallis and futuna islands,wf,54,2003,-229.0
total net number of migrants,876,wallis and futuna islands,wf,55,2004,-458.0
total net number of migrants,876,wallis and futuna islands,wf,56,2005,-440.0
total net number of migrants,876,wallis and futuna islands,wf,57,2006,-423.0
total net number of migrants,876,wallis and futuna islands,wf,58,2007,-425.0
total net number of migrants,876,wallis and futuna islands,wf,59,2008,-398.0
total net number of migrants,876,wallis and futuna islands,wf,60,2009,-364.0
total net number of migrants,876,wallis and futuna islands,wf,61,2010,-357.0
total net number of migrants,876,wallis and futuna islands,wf,62,2011,-351.0
total net number of migrants,876,wallis and futuna islands,wf,63,2012,-335.0
total net number of migrants,876,wallis and futuna islands,wf,64,2013,-281.0
total net number of migrants,876,wallis and futuna islands,wf,65,2014,-214.0
total net number of migrants,876,wallis and futuna islands,wf,66,2015,-209.0
total net number of migrants,876,wallis and futuna islands,wf,67,2016,-201.0
total net number of migrants,876,wallis and futuna islands,wf,68,2017,-201.0
total net number of migrants,876,wallis and futuna islands,wf,69,2018,-171.0
total net number of migrants,876,wallis and futuna islands,wf,70,2019,-171.0
total net number of migrants,876,wallis and futuna islands,wf,71,2020,-83.0
total net number of migrants,876,wallis and futuna islands,wf,72,2021,-83.0
total net number of migrants,876,wallis and futuna islands,wf,73,2022,-136.0
total net number of migrants,876,wallis and futuna islands,wf,74,2023,-119.0
