indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,922,western asia,wb,1,1950,-2426.0
total net number of migrants,922,western asia,wb,2,1951,26741.0
total net number of migrants,922,western asia,wb,3,1952,44325.0
total net number of migrants,922,western asia,wb,4,1953,26543.0
total net number of migrants,922,western asia,wb,5,1954,-13385.0
total net number of migrants,922,western asia,wb,6,1955,-22474.0
total net number of migrants,922,western asia,wb,7,1956,151719.0
total net number of migrants,922,western asia,wb,8,1957,169072.0
total net number of migrants,922,western asia,wb,9,1958,140753.0
total net number of migrants,922,western asia,wb,10,1959,129413.0
total net number of migrants,922,western asia,wb,11,1960,72053.0
total net number of migrants,922,western asia,wb,12,1961,89328.0
total net number of migrants,922,western asia,wb,13,1962,113647.0
total net number of migrants,922,western asia,wb,14,1963,107045.0
total net number of migrants,922,western asia,wb,15,1964,76854.0
total net number of migrants,922,western asia,wb,16,1965,49958.0
total net number of migrants,922,western asia,wb,17,1966,163142.0
total net number of migrants,922,western asia,wb,18,1967,202609.0
total net number of migrants,922,western asia,wb,19,1968,201995.0
total net number of migrants,922,western asia,wb,20,1969,144982.0
total net number of migrants,922,western asia,wb,21,1970,47226.0
total net number of migrants,922,western asia,wb,22,1971,10450.0
total net number of migrants,922,western asia,wb,23,1972,17060.0
total net number of migrants,922,western asia,wb,24,1973,19566.0
total net number of migrants,922,western asia,wb,25,1974,-13114.0
total net number of migrants,922,western asia,wb,26,1975,-41962.0
total net number of migrants,922,western asia,wb,27,1976,750599.0
total net number of migrants,922,western asia,wb,28,1977,130234.0
total net number of migrants,922,western asia,wb,29,1978,-598613.0
total net number of migrants,922,western asia,wb,30,1979,-8698.0
total net number of migrants,922,western asia,wb,31,1980,50604.0
total net number of migrants,922,western asia,wb,32,1981,-70926.0
total net number of migrants,922,western asia,wb,33,1982,155269.0
total net number of migrants,922,western asia,wb,34,1983,256017.0
total net number of migrants,922,western asia,wb,35,1984,240453.0
total net number of migrants,922,western asia,wb,36,1985,10459.0
total net number of migrants,922,western asia,wb,37,1986,304588.0
total net number of migrants,922,western asia,wb,38,1987,212075.0
total net number of migrants,922,western asia,wb,39,1988,209965.0
total net number of migrants,922,western asia,wb,40,1989,302736.0
total net number of migrants,922,western asia,wb,41,1990,-1569089.0
total net number of migrants,922,western asia,wb,42,1991,564173.0
total net number of migrants,922,western asia,wb,43,1992,54268.0
total net number of migrants,922,western asia,wb,44,1993,462662.0
total net number of migrants,922,western asia,wb,45,1994,-125858.0
total net number of migrants,922,western asia,wb,46,1995,-136750.0
total net number of migrants,922,western asia,wb,47,1996,-134501.0
total net number of migrants,922,western asia,wb,48,1997,-181338.0
total net number of migrants,922,western asia,wb,49,1998,-172653.0
total net number of migrants,922,western asia,wb,50,1999,-129378.0
total net number of migrants,922,western asia,wb,51,2000,-88916.0
total net number of migrants,922,western asia,wb,52,2001,-141010.0
total net number of migrants,922,western asia,wb,53,2002,-22832.0
total net number of migrants,922,western asia,wb,54,2003,-32748.0
total net number of migrants,922,western asia,wb,55,2004,157344.0
total net number of migrants,922,western asia,wb,56,2005,996287.0
total net number of migrants,922,western asia,wb,57,2006,1504561.0
total net number of migrants,922,western asia,wb,58,2007,1706474.0
total net number of migrants,922,western asia,wb,59,2008,1723480.0
total net number of migrants,922,western asia,wb,60,2009,1476935.0
total net number of migrants,922,western asia,wb,61,2010,630921.0
total net number of migrants,922,western asia,wb,62,2011,615368.0
total net number of migrants,922,western asia,wb,63,2012,578796.0
total net number of migrants,922,western asia,wb,64,2013,803241.0
total net number of migrants,922,western asia,wb,65,2014,533261.0
total net number of migrants,922,western asia,wb,66,2015,324287.0
total net number of migrants,922,western asia,wb,67,2016,260329.0
total net number of migrants,922,western asia,wb,68,2017,-330681.0
total net number of migrants,922,western asia,wb,69,2018,331372.0
total net number of migrants,922,western asia,wb,70,2019,107227.0
total net number of migrants,922,western asia,wb,71,2020,-1589195.0
total net number of migrants,922,western asia,wb,72,2021,-381951.0
total net number of migrants,922,western asia,wb,73,2022,131292.0
total net number of migrants,922,western asia,wb,74,2023,104403.0
