indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,926,western europe,wu,1,1950,-4235.0
crude rate of net migration,926,western europe,wu,2,1951,-2689.0
crude rate of net migration,926,western europe,wu,3,1952,-1738.0
crude rate of net migration,926,western europe,wu,4,1953,-1061.0
crude rate of net migration,926,western europe,wu,5,1954,-0.42
crude rate of net migration,926,western europe,wu,6,1955,28.0
crude rate of net migration,926,western europe,wu,7,1956,376.0
crude rate of net migration,926,western europe,wu,8,1957,867.0
crude rate of net migration,926,western europe,wu,9,1958,1202.0
crude rate of net migration,926,western europe,wu,10,1959,1575.0
crude rate of net migration,926,western europe,wu,11,1960,1927.0
crude rate of net migration,926,western europe,wu,12,1961,2701.0
crude rate of net migration,926,western europe,wu,13,1962,2786.0
crude rate of net migration,926,western europe,wu,14,1963,2794.0
crude rate of net migration,926,western europe,wu,15,1964,2634.0
crude rate of net migration,926,western europe,wu,16,1965,2579.0
crude rate of net migration,926,western europe,wu,17,1966,2732.0
crude rate of net migration,926,western europe,wu,18,1967,2766.0
crude rate of net migration,926,western europe,wu,19,1968,2504.0
crude rate of net migration,926,western europe,wu,20,1969,2419.0
crude rate of net migration,926,western europe,wu,21,1970,2042.0
crude rate of net migration,926,western europe,wu,22,1971,2126.0
crude rate of net migration,926,western europe,wu,23,1972,2053.0
crude rate of net migration,926,western europe,wu,24,1973,27395.0
crude rate of net migration,926,western europe,wu,25,1974,1179.0
crude rate of net migration,926,western europe,wu,26,1975,529.0
crude rate of net migration,926,western europe,wu,27,1976,466.0
crude rate of net migration,926,western europe,wu,28,1977,0.49
crude rate of net migration,926,western europe,wu,29,1978,344.0
crude rate of net migration,926,western europe,wu,30,1979,398.0
crude rate of net migration,926,western europe,wu,31,1980,598.0
crude rate of net migration,926,western europe,wu,32,1981,857.0
crude rate of net migration,926,western europe,wu,33,1982,708.0
crude rate of net migration,926,western europe,wu,34,1983,978.0
crude rate of net migration,926,western europe,wu,35,1984,1366.0
crude rate of net migration,926,western europe,wu,36,1985,45139.0
crude rate of net migration,926,western europe,wu,37,1986,2352.0
crude rate of net migration,926,western europe,wu,38,1987,2723.0
crude rate of net migration,926,western europe,wu,39,1988,3112.0
crude rate of net migration,926,western europe,wu,40,1989,3456.0
crude rate of net migration,926,western europe,wu,41,1990,3728.0
crude rate of net migration,926,western europe,wu,42,1991,3871.0
crude rate of net migration,926,western europe,wu,43,1992,3589.0
crude rate of net migration,926,western europe,wu,44,1993,3208.0
crude rate of net migration,926,western europe,wu,45,1994,2741.0
crude rate of net migration,926,western europe,wu,46,1995,2388.0
crude rate of net migration,926,western europe,wu,47,1996,1852.0
crude rate of net migration,926,western europe,wu,48,1997,1532.0
crude rate of net migration,926,western europe,wu,49,1998,1448.0
crude rate of net migration,926,western europe,wu,50,1999,17899.0
crude rate of net migration,926,western europe,wu,51,2000,16438.0
crude rate of net migration,926,western europe,wu,52,2001,1653.0
crude rate of net migration,926,western europe,wu,53,2002,28491.0
crude rate of net migration,926,western europe,wu,54,2003,1903.0
crude rate of net migration,926,western europe,wu,55,2004,2082.0
crude rate of net migration,926,western europe,wu,56,2005,2208.0
crude rate of net migration,926,western europe,wu,57,2006,2317.0
crude rate of net migration,926,western europe,wu,58,2007,2659.0
crude rate of net migration,926,western europe,wu,59,2008,2916.0
crude rate of net migration,926,western europe,wu,60,2009,2812.0
crude rate of net migration,926,western europe,wu,61,2010,2933.0
crude rate of net migration,926,western europe,wu,62,2011,3003.0
crude rate of net migration,926,western europe,wu,63,2012,3135.0
crude rate of net migration,926,western europe,wu,64,2013,3367.0
crude rate of net migration,926,western europe,wu,65,2014,3526.0
crude rate of net migration,926,western europe,wu,66,2015,3817.0
crude rate of net migration,926,western europe,wu,67,2016,25993.0
crude rate of net migration,926,western europe,wu,68,2017,15766.0
crude rate of net migration,926,western europe,wu,69,2018,3151.0
crude rate of net migration,926,western europe,wu,70,2019,3028.0
crude rate of net migration,926,western europe,wu,71,2020,2804.0
crude rate of net migration,926,western europe,wu,72,2021,2535.0
crude rate of net migration,926,western europe,wu,73,2022,1743.0
crude rate of net migration,926,western europe,wu,74,2023,1751.0
