indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,926,western europe,wu,1,1950,-608832.0
total net number of migrants,926,western europe,wu,2,1951,-387466.0
total net number of migrants,926,western europe,wu,3,1952,-251320.0
total net number of migrants,926,western europe,wu,4,1953,-154025.0
total net number of migrants,926,western europe,wu,5,1954,-61261.0
total net number of migrants,926,western europe,wu,6,1955,4077.0
total net number of migrants,926,western europe,wu,7,1956,55538.0
total net number of migrants,926,western europe,wu,8,1957,128794.0
total net number of migrants,926,western europe,wu,9,1958,179771.0
total net number of migrants,926,western europe,wu,10,1959,237297.0
total net number of migrants,926,western europe,wu,11,1960,292703.0
total net number of migrants,926,western europe,wu,12,1961,413949.0
total net number of migrants,926,western europe,wu,13,1962,430996.0
total net number of migrants,926,western europe,wu,14,1963,436459.0
total net number of migrants,926,western europe,wu,15,1964,415390.0
total net number of migrants,926,western europe,wu,16,1965,410512.0
total net number of migrants,926,western europe,wu,17,1966,438687.0
total net number of migrants,926,western europe,wu,18,1967,447963.0
total net number of migrants,926,western europe,wu,19,1968,408691.0
total net number of migrants,926,western europe,wu,20,1969,397467.0
total net number of migrants,926,western europe,wu,21,1970,337515.0
total net number of migrants,926,western europe,wu,22,1971,353461.0
total net number of migrants,926,western europe,wu,23,1972,342930.0
total net number of migrants,926,western europe,wu,24,1973,293592.0
total net number of migrants,926,western europe,wu,25,1974,198375.0
total net number of migrants,926,western europe,wu,26,1975,89141.0
total net number of migrants,926,western europe,wu,27,1976,78657.0
total net number of migrants,926,western europe,wu,28,1977,82753.0
total net number of migrants,926,western europe,wu,29,1978,58255.0
total net number of migrants,926,western europe,wu,30,1979,67516.0
total net number of migrants,926,western europe,wu,31,1980,101535.0
total net number of migrants,926,western europe,wu,32,1981,145635.0
total net number of migrants,926,western europe,wu,33,1982,120590.0
total net number of migrants,926,western europe,wu,34,1983,166941.0
total net number of migrants,926,western europe,wu,35,1984,233649.0
total net number of migrants,926,western europe,wu,36,1985,308645.0
total net number of migrants,926,western europe,wu,37,1986,404446.0
total net number of migrants,926,western europe,wu,38,1987,470077.0
total net number of migrants,926,western europe,wu,39,1988,539650.0
total net number of migrants,926,western europe,wu,40,1989,602297.0
total net number of migrants,926,western europe,wu,41,1990,653116.0
total net number of migrants,926,western europe,wu,42,1991,681724.0
total net number of migrants,926,western europe,wu,43,1992,635570.0
total net number of migrants,926,western europe,wu,44,1993,570682.0
total net number of migrants,926,western europe,wu,45,1994,489645.0
total net number of migrants,926,western europe,wu,46,1995,428243.0
total net number of migrants,926,western europe,wu,47,1996,333324.0
total net number of migrants,926,western europe,wu,48,1997,276560.0
total net number of migrants,926,western europe,wu,49,1998,262097.0
total net number of migrants,926,western europe,wu,50,1999,270405.0
total net number of migrants,926,western europe,wu,51,2000,263902.0
total net number of migrants,926,western europe,wu,52,2001,301581.0
total net number of migrants,926,western europe,wu,53,2002,325656.0
total net number of migrants,926,western europe,wu,54,2003,349032.0
total net number of migrants,926,western europe,wu,55,2004,382945.0
total net number of migrants,926,western europe,wu,56,2005,407424.0
total net number of migrants,926,western europe,wu,57,2006,428780.0
total net number of migrants,926,western europe,wu,58,2007,493755.0
total net number of migrants,926,western europe,wu,59,2008,543503.0
total net number of migrants,926,western europe,wu,60,2009,525960.0
total net number of migrants,926,western europe,wu,61,2010,550733.0
total net number of migrants,926,western europe,wu,62,2011,565984.0
total net number of migrants,926,western europe,wu,63,2012,593061.0
total net number of migrants,926,western europe,wu,64,2013,639224.0
total net number of migrants,926,western europe,wu,65,2014,672076.0
total net number of migrants,926,western europe,wu,66,2015,730559.0
total net number of migrants,926,western europe,wu,67,2016,713100.0
total net number of migrants,926,western europe,wu,68,2017,661743.0
total net number of migrants,926,western europe,wu,69,2018,610183.0
total net number of migrants,926,western europe,wu,70,2019,588234.0
total net number of migrants,926,western europe,wu,71,2020,546080.0
total net number of migrants,926,western europe,wu,72,2021,494716.0
total net number of migrants,926,western europe,wu,73,2022,340735.0
total net number of migrants,926,western europe,wu,74,2023,342710.0
