indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,732,western sahara,eh,1,1950,968.0
total net number of migrants,732,western sahara,eh,2,1951,1014.0
total net number of migrants,732,western sahara,eh,3,1952,1073.0
total net number of migrants,732,western sahara,eh,4,1953,1154.0
total net number of migrants,732,western sahara,eh,5,1954,1242.0
total net number of migrants,732,western sahara,eh,6,1955,1347.0
total net number of migrants,732,western sahara,eh,7,1956,1468.0
total net number of migrants,732,western sahara,eh,8,1957,1588.0
total net number of migrants,732,western sahara,eh,9,1958,1722.0
total net number of migrants,732,western sahara,eh,10,1959,1895.0
total net number of migrants,732,western sahara,eh,11,1960,2078.0
total net number of migrants,732,western sahara,eh,12,1961,2264.0
total net number of migrants,732,western sahara,eh,13,1962,2430.0
total net number of migrants,732,western sahara,eh,14,1963,2578.0
total net number of migrants,732,western sahara,eh,15,1964,2793.0
total net number of migrants,732,western sahara,eh,16,1965,3049.0
total net number of migrants,732,western sahara,eh,17,1966,3277.0
total net number of migrants,732,western sahara,eh,18,1967,3723.0
total net number of migrants,732,western sahara,eh,19,1968,3936.0
total net number of migrants,732,western sahara,eh,20,1969,3948.0
total net number of migrants,732,western sahara,eh,21,1970,3648.0
total net number of migrants,732,western sahara,eh,22,1971,-2047.0
total net number of migrants,732,western sahara,eh,23,1972,-2093.0
total net number of migrants,732,western sahara,eh,24,1973,-2275.0
total net number of migrants,732,western sahara,eh,25,1974,-3329.0
total net number of migrants,732,western sahara,eh,26,1975,-18665.0
total net number of migrants,732,western sahara,eh,27,1976,11794.0
total net number of migrants,732,western sahara,eh,28,1977,11785.0
total net number of migrants,732,western sahara,eh,29,1978,11793.0
total net number of migrants,732,western sahara,eh,30,1979,11793.0
total net number of migrants,732,western sahara,eh,31,1980,7340.0
total net number of migrants,732,western sahara,eh,32,1981,4513.0
total net number of migrants,732,western sahara,eh,33,1982,2469.0
total net number of migrants,732,western sahara,eh,34,1983,1198.0
total net number of migrants,732,western sahara,eh,35,1984,1198.0
total net number of migrants,732,western sahara,eh,36,1985,1198.0
total net number of migrants,732,western sahara,eh,37,1986,1198.0
total net number of migrants,732,western sahara,eh,38,1987,1198.0
total net number of migrants,732,western sahara,eh,39,1988,1198.0
total net number of migrants,732,western sahara,eh,40,1989,1197.0
total net number of migrants,732,western sahara,eh,41,1990,1198.0
total net number of migrants,732,western sahara,eh,42,1991,1197.0
total net number of migrants,732,western sahara,eh,43,1992,1198.0
total net number of migrants,732,western sahara,eh,44,1993,1197.0
total net number of migrants,732,western sahara,eh,45,1994,1197.0
total net number of migrants,732,western sahara,eh,46,1995,6442.0
total net number of migrants,732,western sahara,eh,47,1996,8059.0
total net number of migrants,732,western sahara,eh,48,1997,8059.0
total net number of migrants,732,western sahara,eh,49,1998,8058.0
total net number of migrants,732,western sahara,eh,50,1999,8058.0
total net number of migrants,732,western sahara,eh,51,2000,8440.0
total net number of migrants,732,western sahara,eh,52,2001,8439.0
total net number of migrants,732,western sahara,eh,53,2002,8440.0
total net number of migrants,732,western sahara,eh,54,2003,8440.0
total net number of migrants,732,western sahara,eh,55,2004,8439.0
total net number of migrants,732,western sahara,eh,56,2005,8389.0
total net number of migrants,732,western sahara,eh,57,2006,8978.0
total net number of migrants,732,western sahara,eh,58,2007,8560.0
total net number of migrants,732,western sahara,eh,59,2008,8145.0
total net number of migrants,732,western sahara,eh,60,2009,8603.0
total net number of migrants,732,western sahara,eh,61,2010,9085.0
total net number of migrants,732,western sahara,eh,62,2011,9553.0
total net number of migrants,732,western sahara,eh,63,2012,10013.0
total net number of migrants,732,western sahara,eh,64,2013,10282.0
total net number of migrants,732,western sahara,eh,65,2014,7407.0
total net number of migrants,732,western sahara,eh,66,2015,7226.0
total net number of migrants,732,western sahara,eh,67,2016,7051.0
total net number of migrants,732,western sahara,eh,68,2017,6861.0
total net number of migrants,732,western sahara,eh,69,2018,6688.0
total net number of migrants,732,western sahara,eh,70,2019,6516.0
total net number of migrants,732,western sahara,eh,71,2020,3498.0
total net number of migrants,732,western sahara,eh,72,2021,3498.0
total net number of migrants,732,western sahara,eh,73,2022,5600.0
total net number of migrants,732,western sahara,eh,74,2023,5600.0
