indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,887,yemen,ye,1,1950,-2971.0
crude rate of net migration,887,yemen,ye,2,1951,-2987.0
crude rate of net migration,887,yemen,ye,3,1952,-2999.0
crude rate of net migration,887,yemen,ye,4,1953,-3013.0
crude rate of net migration,887,yemen,ye,5,1954,-3026.0
crude rate of net migration,887,yemen,ye,6,1955,-3.04
crude rate of net migration,887,yemen,ye,7,1956,-3.05
crude rate of net migration,887,yemen,ye,8,1957,-3062.0
crude rate of net migration,887,yemen,ye,9,1958,-3072.0
crude rate of net migration,887,yemen,ye,10,1959,-3.08
crude rate of net migration,887,yemen,ye,11,1960,-3088.0
crude rate of net migration,887,yemen,ye,12,1961,-3093.0
crude rate of net migration,887,yemen,ye,13,1962,-3096.0
crude rate of net migration,887,yemen,ye,14,1963,-3103.0
crude rate of net migration,887,yemen,ye,15,1964,-3105.0
crude rate of net migration,887,yemen,ye,16,1965,-3105.0
crude rate of net migration,887,yemen,ye,17,1966,-3102.0
crude rate of net migration,887,yemen,ye,18,1967,-3096.0
crude rate of net migration,887,yemen,ye,19,1968,-3088.0
crude rate of net migration,887,yemen,ye,20,1969,-3076.0
crude rate of net migration,887,yemen,ye,21,1970,-3.06
crude rate of net migration,887,yemen,ye,22,1971,-3042.0
crude rate of net migration,887,yemen,ye,23,1972,-3022.0
crude rate of net migration,887,yemen,ye,24,1973,-3001.0
crude rate of net migration,887,yemen,ye,25,1974,-2977.0
crude rate of net migration,887,yemen,ye,26,1975,-2.95
crude rate of net migration,887,yemen,ye,27,1976,-2922.0
crude rate of net migration,887,yemen,ye,28,1977,-3028.0
crude rate of net migration,887,yemen,ye,29,1978,-3076.0
crude rate of net migration,887,yemen,ye,30,1979,-3041.0
crude rate of net migration,887,yemen,ye,31,1980,-2903.0
crude rate of net migration,887,yemen,ye,32,1981,-2674.0
crude rate of net migration,887,yemen,ye,33,1982,-2428.0
crude rate of net migration,887,yemen,ye,34,1983,-2163.0
crude rate of net migration,887,yemen,ye,35,1984,-1801.0
crude rate of net migration,887,yemen,ye,36,1985,-1329.0
crude rate of net migration,887,yemen,ye,37,1986,-972.0
crude rate of net migration,887,yemen,ye,38,1987,-763.0
crude rate of net migration,887,yemen,ye,39,1988,-1449.0
crude rate of net migration,887,yemen,ye,40,1989,-1311.0
crude rate of net migration,887,yemen,ye,41,1990,-1185.0
crude rate of net migration,887,yemen,ye,42,1991,-1077.0
crude rate of net migration,887,yemen,ye,43,1992,-996.0
crude rate of net migration,887,yemen,ye,44,1993,-956.0
crude rate of net migration,887,yemen,ye,45,1994,-838.0
crude rate of net migration,887,yemen,ye,46,1995,-3439.0
crude rate of net migration,887,yemen,ye,47,1996,-4509.0
crude rate of net migration,887,yemen,ye,48,1997,-4473.0
crude rate of net migration,887,yemen,ye,49,1998,-4483.0
crude rate of net migration,887,yemen,ye,50,1999,-4557.0
crude rate of net migration,887,yemen,ye,51,2000,-4699.0
crude rate of net migration,887,yemen,ye,52,2001,-4885.0
crude rate of net migration,887,yemen,ye,53,2002,-5058.0
crude rate of net migration,887,yemen,ye,54,2003,-5176.0
crude rate of net migration,887,yemen,ye,55,2004,-4.94
crude rate of net migration,887,yemen,ye,56,2005,-2405.0
crude rate of net migration,887,yemen,ye,57,2006,-1095.0
crude rate of net migration,887,yemen,ye,58,2007,-1.19
crude rate of net migration,887,yemen,ye,59,2008,-1.21
crude rate of net migration,887,yemen,ye,60,2009,-1159.0
crude rate of net migration,887,yemen,ye,61,2010,-1033.0
crude rate of net migration,887,yemen,ye,62,2011,-854.0
crude rate of net migration,887,yemen,ye,63,2012,-0.8
crude rate of net migration,887,yemen,ye,64,2013,-879.0
crude rate of net migration,887,yemen,ye,65,2014,-1082.0
crude rate of net migration,887,yemen,ye,66,2015,-1344.0
crude rate of net migration,887,yemen,ye,67,2016,-1355.0
crude rate of net migration,887,yemen,ye,68,2017,-1.32
crude rate of net migration,887,yemen,ye,69,2018,-1288.0
crude rate of net migration,887,yemen,ye,70,2019,-1.26
crude rate of net migration,887,yemen,ye,71,2020,-2663.0
crude rate of net migration,887,yemen,ye,72,2021,-3072.0
crude rate of net migration,887,yemen,ye,73,2022,-0.89
crude rate of net migration,887,yemen,ye,74,2023,-868.0
