indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,887,yemen,ye,1,1950,-14022.0
total net number of migrants,887,yemen,ye,2,1951,-14309.0
total net number of migrants,887,yemen,ye,3,1952,-14587.0
total net number of migrants,887,yemen,ye,4,1953,-14883.0
total net number of migrants,887,yemen,ye,5,1954,-15189.0
total net number of migrants,887,yemen,ye,6,1955,-15503.0
total net number of migrants,887,yemen,ye,7,1956,-15812.0
total net number of migrants,887,yemen,ye,8,1957,-16135.0
total net number of migrants,887,yemen,ye,9,1958,-16464.0
total net number of migrants,887,yemen,ye,10,1959,-16796.0
total net number of migrants,887,yemen,ye,11,1960,-17145.0
total net number of migrants,887,yemen,ye,12,1961,-17494.0
total net number of migrants,887,yemen,ye,13,1962,-17846.0
total net number of migrants,887,yemen,ye,14,1963,-18217.0
total net number of migrants,887,yemen,ye,15,1964,-18583.0
total net number of migrants,887,yemen,ye,16,1965,-18968.0
total net number of migrants,887,yemen,ye,17,1966,-19357.0
total net number of migrants,887,yemen,ye,18,1967,-19748.0
total net number of migrants,887,yemen,ye,19,1968,-20155.0
total net number of migrants,887,yemen,ye,20,1969,-20562.0
total net number of migrants,887,yemen,ye,21,1970,-20982.0
total net number of migrants,887,yemen,ye,22,1971,-21407.0
total net number of migrants,887,yemen,ye,23,1972,-21847.0
total net number of migrants,887,yemen,ye,24,1973,-22301.0
total net number of migrants,887,yemen,ye,25,1974,-22751.0
total net number of migrants,887,yemen,ye,26,1975,-23214.0
total net number of migrants,887,yemen,ye,27,1976,-23691.0
total net number of migrants,887,yemen,ye,28,1977,-25325.0
total net number of migrants,887,yemen,ye,29,1978,-26545.0
total net number of migrants,887,yemen,ye,30,1979,-27112.0
total net number of migrants,887,yemen,ye,31,1980,-26773.0
total net number of migrants,887,yemen,ye,32,1981,-25521.0
total net number of migrants,887,yemen,ye,33,1982,-24008.0
total net number of migrants,887,yemen,ye,34,1983,-22173.0
total net number of migrants,887,yemen,ye,35,1984,-19160.0
total net number of migrants,887,yemen,ye,36,1985,-14678.0
total net number of migrants,887,yemen,ye,37,1986,-11151.0
total net number of migrants,887,yemen,ye,38,1987,-9098.0
total net number of migrants,887,yemen,ye,39,1988,-17969.0
total net number of migrants,887,yemen,ye,40,1989,-16888.0
total net number of migrants,887,yemen,ye,41,1990,-15868.0
total net number of migrants,887,yemen,ye,42,1991,-14971.0
total net number of migrants,887,yemen,ye,43,1992,-14380.0
total net number of migrants,887,yemen,ye,44,1993,-14335.0
total net number of migrants,887,yemen,ye,45,1994,-13045.0
total net number of migrants,887,yemen,ye,46,1995,-55482.0
total net number of migrants,887,yemen,ye,47,1996,-75067.0
total net number of migrants,887,yemen,ye,48,1997,-76708.0
total net number of migrants,887,yemen,ye,49,1998,-79125.0
total net number of migrants,887,yemen,ye,50,1999,-82761.0
total net number of migrants,887,yemen,ye,51,2000,-87753.0
total net number of migrants,887,yemen,ye,52,2001,-93742.0
total net number of migrants,887,yemen,ye,53,2002,-99706.0
total net number of migrants,887,yemen,ye,54,2003,-104794.0
total net number of migrants,887,yemen,ye,55,2004,-102701.0
total net number of migrants,887,yemen,ye,56,2005,-51360.0
total net number of migrants,887,yemen,ye,57,2006,-24072.0
total net number of migrants,887,yemen,ye,58,2007,-26971.0
total net number of migrants,887,yemen,ye,59,2008,-28242.0
total net number of migrants,887,yemen,ye,60,2009,-27870.0
total net number of migrants,887,yemen,ye,61,2010,-25573.0
total net number of migrants,887,yemen,ye,62,2011,-21770.0
total net number of migrants,887,yemen,ye,63,2012,-20983.0
total net number of migrants,887,yemen,ye,64,2013,-23747.0
total net number of migrants,887,yemen,ye,65,2014,-30048.0
total net number of migrants,887,yemen,ye,66,2015,-38355.0
total net number of migrants,887,yemen,ye,67,2016,-39688.0
total net number of migrants,887,yemen,ye,68,2017,-39672.0
total net number of migrants,887,yemen,ye,69,2018,-39699.0
total net number of migrants,887,yemen,ye,70,2019,-39769.0
total net number of migrants,887,yemen,ye,71,2020,-86100.0
total net number of migrants,887,yemen,ye,72,2021,-101468.0
total net number of migrants,887,yemen,ye,73,2022,-29998.0
total net number of migrants,887,yemen,ye,74,2023,-29914.0
