indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,894,zambia,zm,1,1950,-604.0
crude rate of net migration,894,zambia,zm,2,1951,-656.0
crude rate of net migration,894,zambia,zm,3,1952,-709.0
crude rate of net migration,894,zambia,zm,4,1953,-767.0
crude rate of net migration,894,zambia,zm,5,1954,-0.82
crude rate of net migration,894,zambia,zm,6,1955,-875.0
crude rate of net migration,894,zambia,zm,7,1956,-926.0
crude rate of net migration,894,zambia,zm,8,1957,-979.0
crude rate of net migration,894,zambia,zm,9,1958,-1038.0
crude rate of net migration,894,zambia,zm,10,1959,-1135.0
crude rate of net migration,894,zambia,zm,11,1960,-1247.0
crude rate of net migration,894,zambia,zm,12,1961,-1352.0
crude rate of net migration,894,zambia,zm,13,1962,-1.43
crude rate of net migration,894,zambia,zm,14,1963,-1464.0
crude rate of net migration,894,zambia,zm,15,1964,-1.47
crude rate of net migration,894,zambia,zm,16,1965,-1467.0
crude rate of net migration,894,zambia,zm,17,1966,-1455.0
crude rate of net migration,894,zambia,zm,18,1967,-1444.0
crude rate of net migration,894,zambia,zm,19,1968,-1438.0
crude rate of net migration,894,zambia,zm,20,1969,-2849.0
crude rate of net migration,894,zambia,zm,21,1970,-7298.0
crude rate of net migration,894,zambia,zm,22,1971,-7166.0
crude rate of net migration,894,zambia,zm,23,1972,-6977.0
crude rate of net migration,894,zambia,zm,24,1973,-6.74
crude rate of net migration,894,zambia,zm,25,1974,-6489.0
crude rate of net migration,894,zambia,zm,26,1975,-6243.0
crude rate of net migration,894,zambia,zm,27,1976,-6.01
crude rate of net migration,894,zambia,zm,28,1977,-5796.0
crude rate of net migration,894,zambia,zm,29,1978,-5599.0
crude rate of net migration,894,zambia,zm,30,1979,-5299.0
crude rate of net migration,894,zambia,zm,31,1980,-4494.0
crude rate of net migration,894,zambia,zm,32,1981,-2939.0
crude rate of net migration,894,zambia,zm,33,1982,-0.96
crude rate of net migration,894,zambia,zm,34,1983,-2473.0
crude rate of net migration,894,zambia,zm,35,1984,-3434.0
crude rate of net migration,894,zambia,zm,36,1985,-3.25
crude rate of net migration,894,zambia,zm,37,1986,-2605.0
crude rate of net migration,894,zambia,zm,38,1987,-3976.0
crude rate of net migration,894,zambia,zm,39,1988,-4507.0
crude rate of net migration,894,zambia,zm,40,1989,-5.08
crude rate of net migration,894,zambia,zm,41,1990,-5306.0
crude rate of net migration,894,zambia,zm,42,1991,-5593.0
crude rate of net migration,894,zambia,zm,43,1992,-5826.0
crude rate of net migration,894,zambia,zm,44,1993,-5752.0
crude rate of net migration,894,zambia,zm,45,1994,-5354.0
crude rate of net migration,894,zambia,zm,46,1995,-5214.0
crude rate of net migration,894,zambia,zm,47,1996,-4296.0
crude rate of net migration,894,zambia,zm,48,1997,-2871.0
crude rate of net migration,894,zambia,zm,49,1998,-3299.0
crude rate of net migration,894,zambia,zm,50,1999,-1964.0
crude rate of net migration,894,zambia,zm,51,2000,-521.0
crude rate of net migration,894,zambia,zm,52,2001,2341.0
crude rate of net migration,894,zambia,zm,53,2002,305.0
crude rate of net migration,894,zambia,zm,54,2003,1927.0
crude rate of net migration,894,zambia,zm,55,2004,0.7
crude rate of net migration,894,zambia,zm,56,2005,3061.0
crude rate of net migration,894,zambia,zm,57,2006,2471.0
crude rate of net migration,894,zambia,zm,58,2007,4036.0
crude rate of net migration,894,zambia,zm,59,2008,3059.0
crude rate of net migration,894,zambia,zm,60,2009,3374.0
crude rate of net migration,894,zambia,zm,61,2010,1652.0
crude rate of net migration,894,zambia,zm,62,2011,954.0
crude rate of net migration,894,zambia,zm,63,2012,611.0
crude rate of net migration,894,zambia,zm,64,2013,1023.0
crude rate of net migration,894,zambia,zm,65,2014,1054.0
crude rate of net migration,894,zambia,zm,66,2015,1003.0
crude rate of net migration,894,zambia,zm,67,2016,1031.0
crude rate of net migration,894,zambia,zm,68,2017,1172.0
crude rate of net migration,894,zambia,zm,69,2018,1011.0
crude rate of net migration,894,zambia,zm,70,2019,981.0
crude rate of net migration,894,zambia,zm,71,2020,476.0
crude rate of net migration,894,zambia,zm,72,2021,463.0
crude rate of net migration,894,zambia,zm,73,2022,-0.25
crude rate of net migration,894,zambia,zm,74,2023,-243.0
