indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,894,zambia,zm,1,1950,-1402.0
total net number of migrants,894,zambia,zm,2,1951,-1566.0
total net number of migrants,894,zambia,zm,3,1952,-1741.0
total net number of migrants,894,zambia,zm,4,1953,-1939.0
total net number of migrants,894,zambia,zm,5,1954,-2133.0
total net number of migrants,894,zambia,zm,6,1955,-2343.0
total net number of migrants,894,zambia,zm,7,1956,-2555.0
total net number of migrants,894,zambia,zm,8,1957,-2786.0
total net number of migrants,894,zambia,zm,9,1958,-3044.0
total net number of migrants,894,zambia,zm,10,1959,-3434.0
total net number of migrants,894,zambia,zm,11,1960,-3894.0
total net number of migrants,894,zambia,zm,12,1961,-4357.0
total net number of migrants,894,zambia,zm,13,1962,-4756.0
total net number of migrants,894,zambia,zm,14,1963,-5029.0
total net number of migrants,894,zambia,zm,15,1964,-5214.0
total net number of migrants,894,zambia,zm,16,1965,-5370.0
total net number of migrants,894,zambia,zm,17,1966,-5502.0
total net number of migrants,894,zambia,zm,18,1967,-5638.0
total net number of migrants,894,zambia,zm,19,1968,-5798.0
total net number of migrants,894,zambia,zm,20,1969,-11871.0
total net number of migrants,894,zambia,zm,21,1970,-31372.0
total net number of migrants,894,zambia,zm,22,1971,-31650.0
total net number of migrants,894,zambia,zm,23,1972,-31681.0
total net number of migrants,894,zambia,zm,24,1973,-31479.0
total net number of migrants,894,zambia,zm,25,1974,-31183.0
total net number of migrants,894,zambia,zm,26,1975,-30891.0
total net number of migrants,894,zambia,zm,27,1976,-30629.0
total net number of migrants,894,zambia,zm,28,1977,-30427.0
total net number of migrants,894,zambia,zm,29,1978,-30280.0
total net number of migrants,894,zambia,zm,30,1979,-29514.0
total net number of migrants,894,zambia,zm,31,1980,-25771.0
total net number of migrants,894,zambia,zm,32,1981,-17361.0
total net number of migrants,894,zambia,zm,33,1982,-5851.0
total net number of migrants,894,zambia,zm,34,1983,-15583.0
total net number of migrants,894,zambia,zm,35,1984,-22324.0
total net number of migrants,894,zambia,zm,36,1985,-21769.0
total net number of migrants,894,zambia,zm,37,1986,-17979.0
total net number of migrants,894,zambia,zm,38,1987,-28275.0
total net number of migrants,894,zambia,zm,39,1988,-32960.0
total net number of migrants,894,zambia,zm,40,1989,-38160.0
total net number of migrants,894,zambia,zm,41,1990,-40900.0
total net number of migrants,894,zambia,zm,42,1991,-44211.0
total net number of migrants,894,zambia,zm,43,1992,-47186.0
total net number of migrants,894,zambia,zm,44,1993,-47719.0
total net number of migrants,894,zambia,zm,45,1994,-45505.0
total net number of migrants,894,zambia,zm,46,1995,-45408.0
total net number of migrants,894,zambia,zm,47,1996,-38331.0
total net number of migrants,894,zambia,zm,48,1997,-26263.0
total net number of migrants,894,zambia,zm,49,1998,-30975.0
total net number of migrants,894,zambia,zm,50,1999,-18917.0
total net number of migrants,894,zambia,zm,51,2000,-5152.0
total net number of migrants,894,zambia,zm,52,2001,23832.0
total net number of migrants,894,zambia,zm,53,2002,3209.0
total net number of migrants,894,zambia,zm,54,2003,20873.0
total net number of migrants,894,zambia,zm,55,2004,7828.0
total net number of migrants,894,zambia,zm,56,2005,35351.0
total net number of migrants,894,zambia,zm,57,2006,29559.0
total net number of migrants,894,zambia,zm,58,2007,49966.0
total net number of migrants,894,zambia,zm,59,2008,39266.0
total net number of migrants,894,zambia,zm,60,2009,44865.0
total net number of migrants,894,zambia,zm,61,2010,22765.0
total net number of migrants,894,zambia,zm,62,2011,13605.0
total net number of migrants,894,zambia,zm,63,2012,9009.0
total net number of migrants,894,zambia,zm,64,2013,15574.0
total net number of migrants,894,zambia,zm,65,2014,16580.0
total net number of migrants,894,zambia,zm,66,2015,16283.0
total net number of migrants,894,zambia,zm,67,2016,17285.0
total net number of migrants,894,zambia,zm,68,2017,20268.0
total net number of migrants,894,zambia,zm,69,2018,18019.0
total net number of migrants,894,zambia,zm,70,2019,18019.0
total net number of migrants,894,zambia,zm,71,2020,9015.0
total net number of migrants,894,zambia,zm,72,2021,9015.0
total net number of migrants,894,zambia,zm,73,2022,-5000.0
total net number of migrants,894,zambia,zm,74,2023,-5000.0
