indicatorshortname,locationid,location,iso2,timeid,time,value
crude rate of net migration,716,zimbabwe,zw,1,1950,-1665.0
crude rate of net migration,716,zimbabwe,zw,2,1951,-1723.0
crude rate of net migration,716,zimbabwe,zw,3,1952,-1785.0
crude rate of net migration,716,zimbabwe,zw,4,1953,-1851.0
crude rate of net migration,716,zimbabwe,zw,5,1954,-1.92
crude rate of net migration,716,zimbabwe,zw,6,1955,-1986.0
crude rate of net migration,716,zimbabwe,zw,7,1956,-2042.0
crude rate of net migration,716,zimbabwe,zw,8,1957,-2088.0
crude rate of net migration,716,zimbabwe,zw,9,1958,-2121.0
crude rate of net migration,716,zimbabwe,zw,10,1959,-2147.0
crude rate of net migration,716,zimbabwe,zw,11,1960,-2166.0
crude rate of net migration,716,zimbabwe,zw,12,1961,-2183.0
crude rate of net migration,716,zimbabwe,zw,13,1962,-2202.0
crude rate of net migration,716,zimbabwe,zw,14,1963,-2239.0
crude rate of net migration,716,zimbabwe,zw,15,1964,-2332.0
crude rate of net migration,716,zimbabwe,zw,16,1965,-2445.0
crude rate of net migration,716,zimbabwe,zw,17,1966,-2539.0
crude rate of net migration,716,zimbabwe,zw,18,1967,-2577.0
crude rate of net migration,716,zimbabwe,zw,19,1968,-2538.0
crude rate of net migration,716,zimbabwe,zw,20,1969,-2477.0
crude rate of net migration,716,zimbabwe,zw,21,1970,-4.62
crude rate of net migration,716,zimbabwe,zw,22,1971,-4225.0
crude rate of net migration,716,zimbabwe,zw,23,1972,-3782.0
crude rate of net migration,716,zimbabwe,zw,24,1973,-3274.0
crude rate of net migration,716,zimbabwe,zw,25,1974,-2724.0
crude rate of net migration,716,zimbabwe,zw,26,1975,-4744.0
crude rate of net migration,716,zimbabwe,zw,27,1976,-5156.0
crude rate of net migration,716,zimbabwe,zw,28,1977,-13736.0
crude rate of net migration,716,zimbabwe,zw,29,1978,-25727.0
crude rate of net migration,716,zimbabwe,zw,30,1979,-10155.0
crude rate of net migration,716,zimbabwe,zw,31,1980,56766.0
crude rate of net migration,716,zimbabwe,zw,32,1981,1318.0
crude rate of net migration,716,zimbabwe,zw,33,1982,3868.0
crude rate of net migration,716,zimbabwe,zw,34,1983,504.0
crude rate of net migration,716,zimbabwe,zw,35,1984,164.0
crude rate of net migration,716,zimbabwe,zw,36,1985,205.0
crude rate of net migration,716,zimbabwe,zw,37,1986,208.0
crude rate of net migration,716,zimbabwe,zw,38,1987,944.0
crude rate of net migration,716,zimbabwe,zw,39,1988,856.0
crude rate of net migration,716,zimbabwe,zw,40,1989,202.0
crude rate of net migration,716,zimbabwe,zw,41,1990,233.0
crude rate of net migration,716,zimbabwe,zw,42,1991,96.0
crude rate of net migration,716,zimbabwe,zw,43,1992,761.0
crude rate of net migration,716,zimbabwe,zw,44,1993,-18502.0
crude rate of net migration,716,zimbabwe,zw,45,1994,-13211.0
crude rate of net migration,716,zimbabwe,zw,46,1995,-2994.0
crude rate of net migration,716,zimbabwe,zw,47,1996,-3075.0
crude rate of net migration,716,zimbabwe,zw,48,1997,-3167.0
crude rate of net migration,716,zimbabwe,zw,49,1998,-3239.0
crude rate of net migration,716,zimbabwe,zw,50,1999,-6245.0
crude rate of net migration,716,zimbabwe,zw,51,2000,-11534.0
crude rate of net migration,716,zimbabwe,zw,52,2001,-11432.0
crude rate of net migration,716,zimbabwe,zw,53,2002,-12199.0
crude rate of net migration,716,zimbabwe,zw,54,2003,-9775.0
crude rate of net migration,716,zimbabwe,zw,55,2004,-12792.0
crude rate of net migration,716,zimbabwe,zw,56,2005,-13386.0
crude rate of net migration,716,zimbabwe,zw,57,2006,-5.68
crude rate of net migration,716,zimbabwe,zw,58,2007,-11592.0
crude rate of net migration,716,zimbabwe,zw,59,2008,-11071.0
crude rate of net migration,716,zimbabwe,zw,60,2009,-10464.0
crude rate of net migration,716,zimbabwe,zw,61,2010,-10334.0
crude rate of net migration,716,zimbabwe,zw,62,2011,-10189.0
crude rate of net migration,716,zimbabwe,zw,63,2012,-5016.0
crude rate of net migration,716,zimbabwe,zw,64,2013,-4.41
crude rate of net migration,716,zimbabwe,zw,65,2014,-4315.0
crude rate of net migration,716,zimbabwe,zw,66,2015,-4225.0
crude rate of net migration,716,zimbabwe,zw,67,2016,-4137.0
crude rate of net migration,716,zimbabwe,zw,68,2017,-4054.0
crude rate of net migration,716,zimbabwe,zw,69,2018,-3972.0
crude rate of net migration,716,zimbabwe,zw,70,2019,-3895.0
crude rate of net migration,716,zimbabwe,zw,71,2020,-1.91
crude rate of net migration,716,zimbabwe,zw,72,2021,-1562.0
crude rate of net migration,716,zimbabwe,zw,73,2022,-612.0
crude rate of net migration,716,zimbabwe,zw,74,2023,-0.6
