indicatorshortname,locationid,location,iso2,timeid,time,value
total net number of migrants,716,zimbabwe,zw,1,1950,-4654.0
total net number of migrants,716,zimbabwe,zw,2,1951,-4971.0
total net number of migrants,716,zimbabwe,zw,3,1952,-5314.0
total net number of migrants,716,zimbabwe,zw,4,1953,-5685.0
total net number of migrants,716,zimbabwe,zw,5,1954,-6084.0
total net number of migrants,716,zimbabwe,zw,6,1955,-6491.0
total net number of migrants,716,zimbabwe,zw,7,1956,-6882.0
total net number of migrants,716,zimbabwe,zw,8,1957,-7255.0
total net number of migrants,716,zimbabwe,zw,9,1958,-7602.0
total net number of migrants,716,zimbabwe,zw,10,1959,-7936.0
total net number of migrants,716,zimbabwe,zw,11,1960,-8256.0
total net number of migrants,716,zimbabwe,zw,12,1961,-8582.0
total net number of migrants,716,zimbabwe,zw,13,1962,-8931.0
total net number of migrants,716,zimbabwe,zw,14,1963,-9369.0
total net number of migrants,716,zimbabwe,zw,15,1964,-10064.0
total net number of migrants,716,zimbabwe,zw,16,1965,-10889.0
total net number of migrants,716,zimbabwe,zw,17,1966,-11667.0
total net number of migrants,716,zimbabwe,zw,18,1967,-12222.0
total net number of migrants,716,zimbabwe,zw,19,1968,-12423.0
total net number of migrants,716,zimbabwe,zw,20,1969,-12511.0
total net number of migrants,716,zimbabwe,zw,21,1970,-24103.0
total net number of migrants,716,zimbabwe,zw,22,1971,-22714.0
total net number of migrants,716,zimbabwe,zw,23,1972,-20972.0
total net number of migrants,716,zimbabwe,zw,24,1973,-18743.0
total net number of migrants,716,zimbabwe,zw,25,1974,-16111.0
total net number of migrants,716,zimbabwe,zw,26,1975,-29003.0
total net number of migrants,716,zimbabwe,zw,27,1976,-32516.0
total net number of migrants,716,zimbabwe,zw,28,1977,-89271.0
total net number of migrants,716,zimbabwe,zw,29,1978,-170730.0
total net number of migrants,716,zimbabwe,zw,30,1979,-67943.0
total net number of migrants,716,zimbabwe,zw,31,1980,389244.0
total net number of migrants,716,zimbabwe,zw,32,1981,9895.0
total net number of migrants,716,zimbabwe,zw,33,1982,30135.0
total net number of migrants,716,zimbabwe,zw,34,1983,4086.0
total net number of migrants,716,zimbabwe,zw,35,1984,1379.0
total net number of migrants,716,zimbabwe,zw,36,1985,1785.0
total net number of migrants,716,zimbabwe,zw,37,1986,1864.0
total net number of migrants,716,zimbabwe,zw,38,1987,8754.0
total net number of migrants,716,zimbabwe,zw,39,1988,8184.0
total net number of migrants,716,zimbabwe,zw,40,1989,1990.0
total net number of migrants,716,zimbabwe,zw,41,1990,2355.0
total net number of migrants,716,zimbabwe,zw,42,1991,998.0
total net number of migrants,716,zimbabwe,zw,43,1992,8095.0
total net number of migrants,716,zimbabwe,zw,44,1993,-201588.0
total net number of migrants,716,zimbabwe,zw,45,1994,-144401.0
total net number of migrants,716,zimbabwe,zw,46,1995,-32961.0
total net number of migrants,716,zimbabwe,zw,47,1996,-34438.0
total net number of migrants,716,zimbabwe,zw,48,1997,-36050.0
total net number of migrants,716,zimbabwe,zw,49,1998,-37480.0
total net number of migrants,716,zimbabwe,zw,50,1999,-73419.0
total net number of migrants,716,zimbabwe,zw,51,2000,-137321.0
total net number of migrants,716,zimbabwe,zw,52,2001,-136966.0
total net number of migrants,716,zimbabwe,zw,53,2002,-147110.0
total net number of migrants,716,zimbabwe,zw,54,2003,-118634.0
total net number of migrants,716,zimbabwe,zw,55,2004,-156566.0
total net number of migrants,716,zimbabwe,zw,56,2005,-164732.0
total net number of migrants,716,zimbabwe,zw,57,2006,-70231.0
total net number of migrants,716,zimbabwe,zw,58,2007,-145201.0
total net number of migrants,716,zimbabwe,zw,59,2008,-139762.0
total net number of migrants,716,zimbabwe,zw,60,2009,-133436.0
total net number of migrants,716,zimbabwe,zw,61,2010,-133402.0
total net number of migrants,716,zimbabwe,zw,62,2011,-133434.0
total net number of migrants,716,zimbabwe,zw,63,2012,-66709.0
total net number of migrants,716,zimbabwe,zw,64,2013,-59918.0
total net number of migrants,716,zimbabwe,zw,65,2014,-59918.0
total net number of migrants,716,zimbabwe,zw,66,2015,-59918.0
total net number of migrants,716,zimbabwe,zw,67,2016,-59918.0
total net number of migrants,716,zimbabwe,zw,68,2017,-59918.0
total net number of migrants,716,zimbabwe,zw,69,2018,-59918.0
total net number of migrants,716,zimbabwe,zw,70,2019,-59918.0
total net number of migrants,716,zimbabwe,zw,71,2020,-29955.0
total net number of migrants,716,zimbabwe,zw,72,2021,-25005.0
total net number of migrants,716,zimbabwe,zw,73,2022,-9999.0
total net number of migrants,716,zimbabwe,zw,74,2023,-9999.0
